"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","phylum","order","scientificNameAuthorship","identifiedBy","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","minimumDepthInMeters","maximumDepthInMeters","infraspecificEpithet","typeStatus"
"1","2020-09-23 10:38:39-03","E","E","208220","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","rugosa","Rhynchospora rugosa","Harley, R.M.","21615","1980","04","23","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:218897","<a href=http://data.rbge.org.uk/herb/E00208220 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00208220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:38:39-03","E","E","304443","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","rugosa","Rhynchospora rugosa","Stannard, B.; Nic Lughadha, E.; Queiroz, R.F.",NA,"1992","02","06","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:312692","<a href=http://data.rbge.org.uk/herb/E00304443 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00304443","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:38:39-03","E","E","205557","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","rugosa","Rhynchospora rugosa","Proença, C.; Silva, A.P.; Ribeiro, J.F.","1955","1998","02","23","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:218549","<a href=http://data.rbge.org.uk/herb/E00205557 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00205557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00939107","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","rugosa","Rhynchospora rugosa","J. R. Stehmann","1135","1992","08","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951775' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939107","Minas Gerais","Magnoliophyta","Poales","(Vahl) Gale","W. W. Thomas","Itambé do Mato Dentro","Estrada para a Serra da Cabeça de Boi.","-43.3208","-19.4144","NY00939107_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-28 14:30:00-03","NY","NYBG","668291","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","rugosa","Rhynchospora rugosa","O. Huber","8276","1983","09","01","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=104299' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668291","Bolívar","Magnoliophyta","Poales",NA,"E. R. Guaglianone","Heres","Sabanita al pié de los primeros farallones orientales del Cerro Guaiquinima, cabeceras del valle del Río Marirupá.","-63.22","6",NA,"420","420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-10-28 17:42:00-02","NY","NYBG","00939101","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","rugosa","Rhynchospora rugosa","D. A. Romariz","0206","1947","02","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951681' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939101","Minas Gerais","Magnoliophyta","Poales",NA,"E. R. Guaglianone",NA,"São João da Chapada.",NA,NA,"NY00939101_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00939044","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","rugosa","Rhynchospora rugosa","H. S. Irwin","5776","1964","08","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949742' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939044","Distrito Federal","Magnoliophyta","Poales","(Vahl) Gale","T. M. Koyama","Brasília","Ca. 15 km E. of Brasília.","-47.85","-15.68","NY00939044_01","700","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-10-28 17:40:00-02","NY","NYBG","00939114","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","rugosa","Rhynchospora rugosa","A. F. M. Glaziou","17349","1888","07",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951822' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939114","Minas Gerais","Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,"NY00939114_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00939090","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","rugosa","Rhynchospora rugosa","G. C. G. Argent","6443","1968","07","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950339' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939090","Mato Grosso","Magnoliophyta","Poales","(Vahl) Gale","E. R. Guaglianone",NA,"Xavantina","-52.23","-14.63","NY00939090_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","613032","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","rugosa","Rhynchospora rugosa","P. K. H. Dusén","14405","1914","01","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=104306' target='other'> <mi>dwc_moreinfo</mi></a>","NY00613032","Paraná","Magnoliophyta","Poales","(Vahl) Gale","E. R. Guaglianone",NA,"Ypiranga, locis graminosis subpaludosis.",NA,NA,"NY00613032_01","830","830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
