"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","continentOcean","individualCount"
"1","2020-11-04 11:01:40-03","ESALQ","ESA","71763","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Eremanthus","praetermissus","Eremanthus praetermissus","Loeuille","Loeuille, B.","2015","Franco, G.A.D.C.; Baptista, V.R.; Ferreira, L.; Cielo Filho, R.; Zidko, A.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.","3006.0","2000","04","25","Brasil","São Paulo","Salesópolis","Estrada intermediária, Parque Estadual da Serra do Mar, Km 45. Vegetação campo de altitude. Borda de mata","-454.156","-233.816","-454,156","-233,816","Árvore, ca. 2,5m alt., frutos imaturos verdes","ESA071763","ESA071763",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 10:55:07-03","ESALQ","ESA","142062","PreservedSpecimen","Plantae",NA,"Asteraceae","Eremanthus","praetermissus","Eremanthus praetermissus","Loeuille & Pirani","Gibau, A.","2016","Toledo, C. A. P.; Flores, T. B. Gayoso; Coelho, R. G. & Colleta, D. C.","212.0","2015","09","09","Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina, Pedra da Macela. Campo de altitude.","-44.813889","-23.140278","44°48'50W","23°08'25S","Arbusto, ca. 1,5 m alt., flores brancas a lilases, folhas discolores.","ESA142062",NA,"12","28","1800","1800",NA,NA,NA,NA,NA
"3","2020-11-04 11:01:40-03","ESALQ","ESA","68950","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Eremanthus","praetermissus","Eremanthus praetermissus","Loeuille","Loeuille, B.","2015","Franco, G.A.D.C.; Baptista, V.R.; Ferreira, L.; Cielo Filho, R.; Zidko, A.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.","3016.0","2000","04","25","Brasil","São Paulo","Salesópolis","Estrada intermediária, Parque Estadual da Serra do Mar, Km 45. Vegetação campo de altitude. Borda de mata","-454.156","-233.816","-454,156","-233,816","Árvore, ca. 6m alt., frutos imaturos verdes, flores brancas","ESA068950","ESA068950",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 10:55:07-03","ESALQ","ESA","142063","PreservedSpecimen","Plantae",NA,"Asteraceae","Eremanthus","praetermissus","Eremanthus praetermissus","Loeuille & Pirani","Gibau, A.","2016","Toledo, C. A. P.; Flores, T. B. Gayoso; Coelho, R. G. & Colleta, D. C.","325.0","2015","10","09","Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina. Ao longo da estrada de acesso à Pedra da Macela.","-44.815278","-23.141111","44°48'55W","23°08'28S","Arbusto, ca. 1,5 m alt., flores rosadas.","ESA142063",NA,"12","28","1760","1760",NA,NA,NA,NA,NA
"5","2020-11-04 11:01:40-03","ESALQ","ESA","123052","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Eremanthus","praetermissus","Eremanthus praetermissus","Loeuille","Loeuille, B.","2015","Luize, B.G. ; Zipparro, V.B.","19.0","2007","07","22","Brasil","São Paulo","Ubatuba","Parque Estadual da Ilha Anchieta (PEIA).","-45.0699996948242","-23.4300003051758",NA,NA,NA,"ESA123052",NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA
"6","2020-11-04 10:55:07-03","ESALQ","ESA","140594","PreservedSpecimen","Plantae",NA,"Asteraceae","Eremanthus","praetermissus","Eremanthus praetermissus","Loeuille & Pirani","Gibau, A.","2017","Gibau, A.; Gissi, D.S.; Orlandini, P.","229.0","2017","03","11","Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina - Pedra da Macela -","-44.7131004333496","-23.2178001403809",NA,NA,"Arvoreta ca. 2m.","ESA140594",NA,"09","15",NA,NA,"34470","auto",NA,NA,NA
"7","2020-11-04 10:55:07-03","ESALQ","ESA","140741","PreservedSpecimen","Plantae",NA,"Asteraceae","Eremanthus","praetermissus","Eremanthus praetermissus","Loeuille & Pirani","Gibau, A.","2017","Gibau, A.; Flores, T.B.; Valdemarin, K.S.","376.0","2017","08","25","Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina - Pedra da Macela -","-44.7131004333496","-23.2178001403809",NA,NA,"Arbusto ca. 1,5m. Pápus rosado.","ESA140741",NA,"09","15",NA,NA,"34470","auto",NA,NA,NA
"8","2020-11-04 10:55:07-03","ESALQ","ESA","140699","PreservedSpecimen","Plantae",NA,"Asteraceae","Eremanthus","praetermissus","Eremanthus praetermissus","Loeuille & Pirani","Gibau, A.",NA,"Gibau, A.; Montrazi, M.","334.0","2017","06","11","Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina - Pedra da Macela -","-44.7131004333496","-23.2178001403809",NA,NA,"Arbusto ca. 1,5m","ESA140699",NA,NA,NA,NA,NA,"34470","auto",NA,NA,NA
"9","2020-11-04 10:55:07-03","ESALQ","ESA","140742","PreservedSpecimen","Plantae",NA,"Asteraceae","Eremanthus","praetermissus","Eremanthus praetermissus","Loeuille & Pirani","Gibau, A.","2017","Gibau, A.; Flores, T.B.; Valdemarin, K.S.","377.0","2017","08","25","Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina - Pedra da Macela -","-44.7131004333496","-23.2178001403809",NA,NA,"Arbusto ca. 1,5m. Pápus rosado.","ESA140742",NA,"09","15",NA,NA,"34470","auto",NA,NA,NA
"10","2020-11-04 11:01:40-03","ESALQ","ESA","128885","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Eremanthus","praetermissus","Eremanthus praetermissus","Loeuille","Loeuille, B.","2015","Colletta, G.D.","1258.0","2013","06","19","Brasil","São Paulo","Ilhabela","Trilha do Bonete, antes da segunda placa, tpo do morro","-45.3499984741211","-23.7700004577637",NA,NA,"Árvore, 3m, tronco fissurado, casca interna enegrescida","ESA128885",NA,NA,NA,NA,NA,"23719","auto",NA,NA,NA
