"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","year","month","day","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","375957","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Xylosma","glaberrima","Xylosma glaberrima","Sleumer","H. O. Sleumer","L. Riedel","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=344696' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375957","NY00375957_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","375958","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Xylosma","glaberrima","Xylosma glaberrima","Sleumer",NA,"Collector info in notes","South America","Brazil","sheet","Col. anônimo <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=344697' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375958","NY00375958_01","s.n.","São Paulo","Sao Paulo","Sao Paulo: Parque Estadual","-46.621883","-23.654505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","375961","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Xylosma","glaberrima","Xylosma glaberrima","Sleumer","H. O. Sleumer","P. K. H. Dusén","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=344694' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375961","NY00375961_01","11408","Paraná","Jaguariaíva","Jacareí","-49.7056","-24.2511","1911","03","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","375956","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Xylosma","glaberrima","Xylosma glaberrima","Sleumer","H. O. Sleumer","P. K. H. Dusén","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=344693' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375956","NY00375956_01","17277","Paraná","Jaguariaíva","Jacareí","-49.7056","-24.2511","1915","09","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","375960","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Xylosma","glaberrima","Xylosma glaberrima","Sleumer","H. O. Sleumer","D. S. D. de Araújo","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=344692' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375960","NY00375960_01","1745","Rio de Janeiro","Rio de Janeiro","Parq. Nac. Tijuca, Caminho de Encanamento","-43.2075","-22.9031","1977","06","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","375962","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Xylosma","glaberrima","Xylosma glaberrima","Sleumer","H. O. Sleumer","P. K. H. Dusén","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=344695' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375962","NY00375962_01","8729","Paraná","Jaguariaíva","Jacareí","-49.7056","-24.2511","1909","10","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","375955","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Xylosma","glaberrima","Xylosma glaberrima","Sleumer","E. A. da Anunciação","O. Handro","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=344690' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375955","NY00375955_01","867","São Paulo","Salesópolis","Salesopolis, Boraceia","-45.886229","-23.65179","1959","06","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","108205","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Xylosma","glaberrima","Xylosma glaberrima","Sleumer","H. O. Sleumer","F. C. Hoehne","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=344688' target='other'> <mi>dwc_moreinfo</mi></a>","NY00108205","NY00108205_01","33522","São Paulo","Sao Paulo","Sao Paulo.","-46.63","-23.5403","1935","06","16","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","375959","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Xylosma","glaberrima","Xylosma glaberrima","Sleumer","H. O. Sleumer","D. S. D. de Araújo","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=344691' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375959","NY00375959_01","1745","Rio de Janeiro","Rio de Janeiro","Parq. Nac. Tijuca, Caminho de Encanamento","-43.2075","-22.9031","1977","06","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","108204","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Xylosma","glaberrima","Xylosma glaberrima","Sleumer","H. O. Sleumer","F. C. Hoehne","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=344689' target='other'> <mi>dwc_moreinfo</mi></a>","NY00108204","NY00108204_01","33522","São Paulo","Sao Paulo","Jardim Botanico, S. Paulo.","-46.618358","-23.646109","1935","06","16","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
