"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","class","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","01318300","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","angelana","Miconia angelana","R.Romero & R.Goldenb.","M. K. Caddah","M. K. Caddah","341","2009","03","24","South America","Brazil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, nascente do rio São Francisco.","-46.6644","-20.1714","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305495' target='other'> <mi>dwc_moreinfo</mi></a>","NY01318300","NY01318300_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-20 21:18:22-03","UFV","VIC","23585","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","angelana","Miconia angelana","R. Romero & R. Goldenb.","Romero, R.; Goldenberg, R.","Romero, R.; Nakajima, J.N.","3783","1996","11","20",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Nascente do Rio São Francisco. Beira de uma vertente.","-46.3657989501953","-20.2453002929688",NA,"Arvoreta, c.a. de 2,0 metros de altura. Corola e estames creme. Flores com odor desagradável. PARÁTIPO.","VIC023585","VIC023585","1999","01","Parátipo","57119","auto",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:34:33-03","UNICAMP","UEC","143676","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","angelana","Miconia angelana","R.Romero & R.Goldenb.","Goldenberg, R","Almeda, F; Belinello, R; Aranha, JLM; Fritsch, PW","8849","2004","11","17",NA,"Brazil","Minas Gerais",NA,"Parque do Caraça, Along the trail from the Santuário to the Cascatinha","-43.491111","-21.127778",NA,"Shrub 2m tall. Petals and anthers white. Occasional; Successional ombrophilous forest and cerrado","UEC135895","UEC135895","2017",NA,NA,NA,NA,"-43.491111","-21.127778","1240","1240",NA,NA,NA
"4","2021-03-01 16:34:33-03","UNICAMP","UEC","107566","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","angelana","Miconia angelana","R.Romero & R.Goldenb.","Romero, R; Goldenberg, R","Nakajima, JN; Romero, R; Zanini, E; Simão, DG","1509","1995","11","19",NA,"Brazil","Minas Gerais","São Roque de Minas","Nascente do Rio São Francisco","-46.3657989501953","-20.2453002929688",NA,"Borda de córrego. Arvoreta, ca. 2 m. Corola e estames cremes. Odoríferas","UEC055454","UEC055454","1999","01","paratypus","57119","auto",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:34:33-03","UNICAMP","UEC","107567","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","angelana","Miconia angelana","R.Romero & R.Goldenb.","Romero, R; Goldenberg, R","Romero, R; Nakajima, JN","3773","1996","11","20",NA,"Brazil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Vale da nascente do Rio São Francisco, lado das matas","-46.3657989501953","-20.2453002929688",NA,"Beira do córrego. Arvoreta, ca. 2 m. Corola e estames creme. Flores com odor desagradável","UEC055453","UEC055453","1999","01","isotypus","57119","auto",NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:34:29-03","MBM","MBM","238079","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","angelana","Miconia angelana","R. Romero & R. Goldenberg","Romero, R.","Nakajima, J.N.; Romero, R.; Zanini, E.; Simão, D.G.; Romero, R.; Zanini, E.; Simão, D.G.","1509","1995","11","19","Southern America","Brazil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Nascente do Rio São Francisco","-46.3657989501953","-20.2453002929688",NA,"Borda do córrego. Arvoreta, ca. 2m. Corola e estames cremes. Flores odoríferas.; Arvoreta, ca. 2m. Corola e estames cremes. Flores odoríferas.; Borda de córrego","MBM238079","MBM238079","1999","01","PARATYPE","57119","auto",NA,NA,NA,NA,NA,NA,NA
"7","2020-12-11 11:38:21-03","UFMG","BHCB","48552","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Miconia","angelana","Miconia angelana","R.Romero & R.Goldenb.",NA,"Nakajima, JN; Romero, R; Zanini, E; Simão, DG","1509",NA,NA,NA,"Southern America","Brasil","Minas Gerais","São Roque de Minas","nascente do Rio São Francisco","-46.3657989501953","-20.2453002929688",NA,"Arvoreta, ca. 2m. Corola e estames cremes. Odoríferas.; Borda de córrego","BHCB032909",NA,"1999",NA,"Paratypus","57119","auto",NA,NA,NA,NA,NA,NA,NA
"8","2021-02-11 17:19:54-03","UFPR","UPCB","77388","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","angelana","Miconia angelana","R.Romero & R.Goldenb.","Goldenberg, R.","Almeda, F. | Fritsch, W. | Aranha Filho, J.L.M. | Belinello, R.","8849","2004","11","17",NA,"Brasil","Minas Gerais","Serra do Caraça","Parque do Caraça. Along trail from Santuário to the Cascatinha. Elev. 1240m","-43.484111","-20.10075",NA,"Succecional ombrophilous forest and cerrado. Shrub 2m tall. Petals and anthers white. Occasional..","UPCB0016641","UPCB0016641","2009",NA,NA,NA,NA,"-43.484111","-20.100750",NA,NA,NA,NA,NA
"9","2021-02-11 17:19:54-03","UFPR","UPCB","80482","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","angelana","Miconia angelana","R.Romero & R.Goldenb.","Goldenberg, R.","Pirani, J.R.","5742","2009","02","03",NA,"Brasil","Minas Gerais","Congonhas do Norte","Serra Talhada (setor nordeste da Serra do Cipó), 9 km S de Congonhas do Norte na estrada para Conceição do Mato Dentro, entrada para Extrema seguindo 11 km - Fazenda Imbaúbas (propriedade do Sr. Helvécio Lacerda de Queiroz). Elev. Ca. 1130m. Campo rupestr","-43.678","-18.917",NA,"Arvoreta 2m alt., na orla da mata ciliar. Folhas discolores, ocráceo-ferrugíneas na face abaxial. Frutos imaturos verdes a parcialmente ferrugíneos..",NA,NA,"2013",NA,NA,NA,NA,"-43.678","-18.917",NA,NA,NA,NA,NA
"10","2021-02-11 17:19:54-03","UFPR","UPCB","39181","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","angelana","Miconia angelana","R.Romero & R.Goldenberg","Romero, R. & Goldenberg, R.","Romero, R.","3783","1996","11","20",NA,"Brasil","Minas Gerais","São Roque de Minas","Nascente do Rio São Francisco, Parque Nacional da Serra da Canastra","-46.3657989501953","-20.2453002929688",NA,"Arvoreta ca. 2m, corola e estames creme, flor com odor desagradável. Beira de uma vertente..","UPCB0002457","UPCB0002457","1999","01","Paratype","57119","auto",NA,NA,NA,NA,NA,NA,NA
