"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","maximumElevationInMeters","typeStatus","coordinatePrecision","individualCount","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","02679429","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","exilis","Inga exilis","T.D.Penn.","A. A. dos Santos","3603","2012","06","17","South America","Brazil","Rondônia","Porto Velho","BR-364, entrada da linha de transmissão (LT) 22.2 na direção de Nova Mutum Paraná","-64.4564","-9.2697","93","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2951206' target='other'> <mi>dwc_moreinfo</mi></a>","NY02679429","NY02679429_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02713606","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","exilis","Inga exilis","T.D.Penn.","D. M. Torres","226","2014","01","25","South America","Brazil","Rondônia","Porto Velho","Ilha de Pedras: Módulo Pedra-T2 500","-64.6139","-9.1728","105","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3034293' target='other'> <mi>dwc_moreinfo</mi></a>","NY02713606","NY02713606_01","F. Bonadeu","105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-11 09:35:00-03","MO","MOBOT","101197116","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","exilis","Inga exilis","T.D. Penn.","C.D.A. da Mota","Mota s.n.",NA,NA,NA,"South America","Brazil","Amazonas","Lábrea","Mun. Lábrea, on road to Airport.","-64.7981033325195","-7.25860977172852",NA,NA,NA,NA,NA,NA,NA,"Holotype","376410","1","auto",NA,NA,NA,NA,NA,NA
"4","2019-09-17 15:14:00-03","MO","MOBOT","2891705","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","exilis","Inga exilis","T.D. Penn.","C.A. Cid Ferreira","Cid Ferreira 5740","1985","4","24","South America","Brazil","Amazonas",NA,"Mun. de Novo Aripuana, BR 230. Rod. Transamazônica a 300 km de Humaitá, atrás do acampamento do DNER. Mata de terra firme, solo arg. úmido.","-60.66666","-7.55",NA,NA,NA,NA,NA,"Carolina Romero (MO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-08-31 09:14:43-03","INPA","INPA","251703","S","Plantae","Dicotyledon Rosids","Fabales","Leguminosae-Mim","Inga","exilis","Inga exilis","T.D.Penn.","Amaral-Santos, A","3603","2012","06","17","Southern America","Brasil","Rondônia","Porto Velho","Ramal Arrependido.","-64.713333","-9.360833","111",NA,NA,"INPA0251703","INPA0251703 INPA0251703_e","Koenen, EJM","111",NA,NA,NA,NA,"2012","07","-64.713333","-9.360833",NA,NA
"6","2020-08-31 09:14:43-03","INPA","INPA","60448","S","Plantae","Dicotyledon Rosids","Fabales","Leguminosae-Mim","Inga","exilis","Inga exilis","T.D.Penn.","Mota, CDA da","INPA60448","1976","06","30","Southern America","Brasil","Amazonas","Lábrea","Estrada do Aeroporto, Estrada do Aeroporto.","-64.8","-7.266667",NA,NA,NA,"INPA0060448","INPA0060448 INPA0060448_e","Pennington, TD",NA,NA,NA,NA,NA,"1996",NA,"-64.8","-7.266667",NA,NA
"7","2020-09-02 16:28:56-03","Cenargen","CEN","83320","PreservedSpecimen","Plantae",NA,NA,"Fabaceae Mimosoideae","Inga","exilis","Inga exilis","T.D.Penn.","Aécio Amaral-Santos","3603","2012","06","17",NA,"Brasil","RO","PORTO VELHO","BR -364, entrada da linha de transmissão (LT) 22.2 na direção de Nova Mutum Paraná.","-64.456388","-9.2697222","93","Exsicatas","Filetes brancos.","CEN00083320","CEN00083320","Erik J. M. Koenen","93",NA,NA,"8",NA,"2012","07","-64.456388","-9.2697222",NA,NA
"8","2020-05-08 11:10:27-03","UEFS","HUEFS","200875","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Inga","exilis","Inga exilis","T.D.Penn.","Santos, A.A.","3603","2012","06","17",NA,"Brasil","Rondônia","Porto Velho","BR-364, entrada da linha de transmissão(LT)22.2 na direção de Nova Mutum Paraná.","-64.456389","-9.269722","93",NA,"Floresta Ombrófila Aberta.","HUEFS0200875",NA,NA,"93",NA,NA,NA,NA,NA,NA,"64W27'23''","9S16'11''","Rosanae",NA
"9","2018-12-04 20:28:35-02","UNIR","RON","6156","S","Plantae","Angiosperma","Fabales","Fabaceae","Inga","exilis","Inga exilis","T.D.Penn.","Simon, MF","1204","2011","03","27","Southern America","Brasil","Rondônia","Porto Velho","Ao longo do acesso secundário para o canteiro de o, Floresta secundária, relevo plano, solo argiloso profundo. Área de influência da LT Jirau.","-64.600556","-9.266944","90",NA,"Arvoreta 5m. Frutos imaturos verdes. Floresta com áreas sazonalmente alagadas e palmeiras. Borda da mata. Planta ocasional.","RON00006156","RON00006156","Bonadeu, F","90",NA,NA,NA,NA,"2014","01","-64.600556","-9.266944",NA,"29"
"10","2018-12-04 20:28:35-02","UNIR","RON","8476","S","Plantae","Angiosperma","Fabales","Fabaceae","Inga","exilis","Inga exilis","T.D.Penn.","Torres, DM","226","2014","01","25","Southern America","Brasil","Rondônia","Porto Velho","Ilha de Pedras, Módulo Pedra-T2 500","-64.613806","-9.172694","105",NA,"Árvore de várzea.","RON00008476","RON00008476","Bonadeu, F","105",NA,NA,NA,NA,"2014","11","-64.613806","-9.172694",NA,NA
