"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","class","monthIdentified","dayIdentified","relatedCatalogItem","fieldNumber","individualCount","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","486866","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","nitidiflora","Symplocos nitidiflora","Brand","K. Kubitzki","8410","1984","02","28","South America","Brazil","Rio de Janeiro","Itatiaia","Serra da Mantiqueira, nahe Serra das Agulhas Negras","-44.658333","-22.384444","2300","2300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=324067' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486866","NY00486866_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","486871","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","nitidiflora","Symplocos nitidiflora","Brand","F. C. Hoehne","28275",NA,NA,NA,"South America","Brazil","São Paulo","Sao Paulo",NA,"-46.63","-23.5403",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=324069' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486871","NY00486871_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","486870","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","nitidiflora","Symplocos nitidiflora","Brand","F. C. Hoehne","28275","1931","09","23","South America","Brazil","São Paulo","Sao Paulo","Jardim Botanico","-46.618358","-23.646109",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=324063' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486870","NY00486870_01","F. C. Hoehne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","486872","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","nitidiflora","Symplocos nitidiflora","Brand","P. K. H. Dusén","14240","1912","10","03","South America","Brazil","São Paulo",NA,"Alto do Serra",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=324061' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486872","NY00486872_01","P. K. H. Dusén",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","486869","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","nitidiflora","Symplocos nitidiflora","Brand","P. K. H. Dusén","13001","1911","09","13","South America","Brazil","Paraná","Piraquara","Serra do Mar, Carvalho (Caixa de Agua)","-48.981355","-25.49628",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=324062' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486869","NY00486869_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","486874","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","nitidiflora","Symplocos nitidiflora","Brand","P. E. Gibbs","5635","1977","08","12","South America","Brazil","São Paulo","Ubatuba","Ca. 15 km. N de Ubatuba. Estaçao Experimental do Instituto Agronômico","-45.0697","-23.4303",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=324070' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486874","NY00486874_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","486875","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","nitidiflora","Symplocos nitidiflora","Brand","G. G. Hatschbach","48990","1984","08","10","South America","Brazil","Paraná","Sao José dos Pinhais","Col. Santos Andrade","-49.2064","-25.5347",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=324066' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486875","NY00486875_01","G. G. Hatschbach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1146301","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","nitidiflora","Symplocos nitidiflora","Brand","P. W. Fritsch","1823","2005","10","17","South America","Brazil","Paraná","Piraquara","Road to and vicinity of SANEPAR Water Company. 500 m from Represa do Carvalhinho, ca. 23 km from BR-277.","-48.97672","-25.49081","1048","1048","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1336726' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","486868","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","nitidiflora","Symplocos nitidiflora","Brand","G. G. Hatschbach","45289","1982","09","10","South America","Brazil","Paraná","Sao José dos Pinhais","Purgatório","-49.2064","-25.5347",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=324065' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486868","NY00486868_01","G. G. Hatschbach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","486867","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","nitidiflora","Symplocos nitidiflora","Brand","A. Bidá","636","1990","10","28","South America","Brazil","Paraná","Morretes","Estrada da Graciosa, (Serra do Mar, Vista Eng. Lacerda). Próx. ao caminho dos Jesuítas","-48.9","-25.6",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=324068' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486867","NY00486867_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
