"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","class","order","typeStatus","relatedCatalogItem","occurrenceRemarks","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","fieldNumber","individualCount","infraspecificEpithet"
"1","2021-03-30 12:46:56-03","EAO","IAN","93822","PreservedSpecimen","Plantae","Dicotiledônea","Podostemaceae","Podostemum","weddellianum","Podostemum weddellianum","(Tul.) C.T.Philbrick","Nascimento, EAP","2016","10","03","Glaziou","12194","1880","05","03","Southern America","Brasil","Rio de Janeiro","Petrópolis","Dans le Rio Piabanha.","-43.1786003112793","-22.5049991607666","36524","IAN093822","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L 0442925","PreservedSpecimen","Plantae",NA,"Podostemaceae","Podostemum","weddellianum","Podostemum weddellianum","(Tul.) C.T.Philbrick & Novelo","Philbrick CT","2004","01","01","Glaziou AFM",NA,NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"Brasilie. Rio Grande near Nova Friburgo",NA,NA,NA,"NL-L0442925",NA,"Magnoliopsidae","Malpighiales","isotype","96239060","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200442925 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0442925",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L 0442934","PreservedSpecimen","Plantae",NA,"Podostemaceae","Podostemum","weddellianum","Podostemum weddellianum","(Tul.) C.T.Philbrick & Novelo","Philbrick CT","2004","01","01","Weddell HA",NA,NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"Rio de Janeiro. Piabanha-river",NA,NA,NA,"NL-L0442934",NA,"Magnoliopsidae","Malpighiales","isotype","96238682","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200442934 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0442934",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857911","PreservedSpecimen","Plantae",NA,"Podostemaceae","Podostemum","weddellianum","Podostemum weddellianum","(Tul.) C.T.Philbrick & Novelo","Philbrick CT","2004","01","01","Schwacke CAW",NA,"1888","06","27","Southern America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"NL-L1857911",NA,"Magnoliopsidae","Malpighiales",NA,"L 0442922","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857911 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857911",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857912","PreservedSpecimen","Plantae",NA,"Podostemaceae","Podostemum","weddellianum","Podostemum weddellianum","(Tul.) C.T.Philbrick & Novelo","Philbrick CT","2004","01","01","Regnell AF",NA,"1800","01","01","Southern America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"NL-L1857912",NA,"Magnoliopsidae","Malpighiales",NA,"L 0442932","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857912 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857912",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857913","PreservedSpecimen","Plantae",NA,"Podostemaceae","Podostemum","weddellianum","Podostemum weddellianum","(Tul.) C.T.Philbrick & Novelo","Philbrick CT","2004","01","01","Glaziou AFM",NA,"1878","12","09","Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"NL-L1857913",NA,"Magnoliopsidae","Malpighiales",NA,"L 0442921","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857913 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857913",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857914","PreservedSpecimen","Plantae",NA,"Podostemaceae","Podostemum","weddellianum","Podostemum weddellianum","(Tul.) C.T.Philbrick & Novelo","Philbrick CT","2004","01","01","Schwacke CAW",NA,"1888","06","27","Southern America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"NL-L1857914",NA,"Magnoliopsidae","Malpighiales",NA,"L 0442938","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857914 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857914",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857915","PreservedSpecimen","Plantae",NA,"Podostemaceae","Podostemum","weddellianum","Podostemum weddellianum","(Tul.) C.T.Philbrick & Novelo","Philbrick CT","2004","01","01","Mosén CWH",NA,"1874","05","01","Southern America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"NL-L1857915",NA,"Magnoliopsidae","Malpighiales",NA,"L 0442924","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857915 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857915",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857916","PreservedSpecimen","Plantae",NA,"Podostemaceae","Podostemum","weddellianum","Podostemum weddellianum","(Tul.) C.T.Philbrick & Novelo","Philbrick CT","2004","01","01","Mosén CWH",NA,"1874","05","01","Southern America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"NL-L1857916",NA,"Magnoliopsidae","Malpighiales",NA,"L 0442931","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857916 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857916",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857917","PreservedSpecimen","Plantae",NA,"Podostemaceae","Podostemum","weddellianum","Podostemum weddellianum","(Tul.) C.T.Philbrick & Novelo","Philbrick CT","2004","01","01","Riedel L",NA,"1800","01","01","Southern America","Brazil",NA,NA,NA,NA,NA,NA,"NL-L1857917",NA,"Magnoliopsidae","Malpighiales",NA,"L 0442937","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857917 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857917",NA,NA,NA,NA,NA,NA,NA,NA
