"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","547394","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Campylocentrum","spannagelii","Campylocentrum spannagelii","Hoehne","G. F. J. Pabst","H. S. Irwin","18084","1966","07","08","South America","Brazil","Distrito Federal","Brasília","Rio Torto, ca. 10 km N of Brasilia, D.F.","-47.87","-15.72","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=268150' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547394","NY00547394_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","547393","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Campylocentrum","spannagelii","Campylocentrum spannagelii","Hoehne","G. F. J. Pabst","H. S. Irwin","18084","1966","07","08","South America","Brazil","Distrito Federal","Brasília","Rio Torto, ca. 10 km N of Brasilia, D.F.","-47.87","-15.72","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=268149' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547393","NY00547393_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:46:01-03","NBC","NL-BOTANY","U.1458194","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Campylocentrum","spannagelii","Campylocentrum spannagelii","Hoehne","Pessoa EM","Lindeman JC; Haas JH de",NA,"1967","02","23","Southern America","Brazil","Paraná",NA,"Bela Vista, Serra do Mar, near ols road from Curitiba to Morretes.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1458194 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1458194","NL-U1458194","Magnoliopsidae","2014","05","07",NA,NA,NA,NA,NA
"4","2020-02-08 08:46:01-03","NBC","NL-BOTANY","U.1458195","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Campylocentrum","spannagelii","Campylocentrum spannagelii","Hoehne","Pessoa EM","Lindeman JC; Haas JH de",NA,"1967","07","20","Southern America","Brazil","Paraná",NA,"Restinga behind Guaratuba.",NA,NA,NA,NA,NA,"Restinga.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1458195 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1458195","NL-U1458195","Magnoliopsidae","2014","05","07",NA,NA,NA,NA,NA
"5","2020-11-04 12:17:23-03","ESALQ","ESA","114193","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Campylocentrum","spannagelii","Campylocentrum spannagelii","Hoehne","Pessoa, E.","Breier, T.B.","926.0","2003","03","18",NA,"Brasil","São Paulo","Cananeia",NA,"-47.9199981689453","-25.0100002288818",NA,NA,NA,NA,"ESA114193",NA,NA,"2017","01","26","37574","auto",NA,NA,NA
"6","2020-11-04 12:17:23-03","ESALQ","ESA","79911","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Campylocentrum","spannagelii","Campylocentrum spannagelii","Hoehne","Pessoa, E.","Udulutsch, R.G.; Berndt, A.; Giannotti, M.; Muniz, M.R.A.; Botrel, R.T.; Vieira, S.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Franco, G.C.; Forster, W.; Ivanauskas, N.M.","673.0","2002","04","23",NA,"Brasil","São Paulo","São Miguel Arcanjo","BLOQUEADO","-47.9900016784668","-23.8700008392334",NA,NA,NA,"Epífita encontrada sobre tronco caído. Flores alvas.","ESA079911",NA,NA,"2017","01","26","27904","auto",NA,NA,NA
"7","2020-11-04 12:17:23-03","ESALQ","ESA","34232","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Campylocentrum","spannagelli","Campylocentrum spannagelli","Hoehne","Pessoa, E.","Bertoncini, A.P. et al.","755.0","1996","12","13",NA,"Brasil","São Paulo","Cunha",NA,"-44.9599990844727","-23.0699996948242",NA,NA,NA,NA,"ESA034232",NA,NA,"2013","08","19","38855","auto",NA,NA,NA
"8","2020-11-04 12:17:23-03","ESALQ","ESA","101897","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Campylocentrum","spannagelli","Campylocentrum spannagelli","Hoehne","Pessoa, E.","Carboni, M.","156.0","2005","03","28",NA,"Brasil","São Paulo","Eldorado",NA,"-48.0999984741211","-24.5200004577637",NA,NA,NA,NA,"ESA101897",NA,NA,"2017","01","26","38804","auto",NA,NA,NA
"9","2020-11-04 12:17:23-03","ESALQ","ESA","75520","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Campylocentrum","spannagelli","Campylocentrum spannagelli","Hoehne","Pessoa, E.","Souza, F.M.; Duarte, A.R.; Sampaio, D.; Bernhardt, R.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Oliveira, A.A.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","253.0","2001","04","18",NA,"Brasil","São Paulo","Itanhaém","BLOQUEADO","-46.7799987792969","-24.1800003051758","5","5",NA,"Epífita, frutos imaturos verdes.","ESA075520",NA,NA,"2017","01","26","26998","auto",NA,NA,NA
"10","2020-11-04 12:17:23-03","ESALQ","ESA","72629","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Campylocentrum","spannagelli","Campylocentrum spannagelli","Hoehne","Pessoa, E.","Forster, W.; Batista, F.R.Q.; Micheletto, F.; Liesenfeld, M.V.A.; San Martin-Gajardo, I.; Peroni, N.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.","516.0","2000","04","23",NA,"Brasil","São Paulo","São Sebastião","BLOQUEADO","-45.4099998474121","-23.7600002288818","10","10",NA,"Epífita. Flor creme. 1,5m sobre o hospedeiro","ESA072629",NA,NA,"2017","01","26","41977","auto",NA,NA,NA
"11","2021-03-01 16:20:06-03","UNICAMP","UEC","83860","S","Plantae","Liliopsida",NA,"Orchidaceae","Campylocentrum","spannagelii","Campylocentrum spannagelii","Hoehne","Pessoa, E","Goldenberg, R; Macias, L; Mansano, VF","356","1996","06","13",NA,"Brazil","São Paulo","Lavrinhas","Vale do Ribeirão do Braço, 12 Km ao norte de Lavrinhas.","-44.881667","-22.462778",NA,NA,NA,"Entre 22.2746 - 22.2723 S e 44.5254 - 44.5248 W.; Rupícola. Frutos imaturos verdes.; Vegetação secundária, em beira de rio.","UEC064656",NA,NA,"2017","01","26",NA,NA,"-44.881667","-22.462778",NA
"12","2019-08-20 10:00:37-03","UNICAMP","UEC","17207","S","Plantae","Liliopsida",NA,"Orchidaceae","Campylocentrum","spannagelii","Campylocentrum spannagelii","Hoehne","Pessoa, E","Leitão Filho, HF; Shepherd, GJ; Stubblebine, WH","9794","1978","12","14",NA,"Brazil","Minas Gerais","Santa Bárbara","Serra do Caraça, Nativo em matas e campos rupestres.","-43.4152984619141","-19.959400177002",NA,NA,NA,"Flores esverdeadas.","UEC064661",NA,NA,"2017","01","26","33136","auto",NA,NA,NA
"13","2021-03-01 16:20:06-03","UNICAMP","UEC","139873","S","Plantae","Liliopsida",NA,"Orchidaceae","Campylocentrum","spannagelii","Campylocentrum spannagelii","Hoehne","Pessoa, E","Breier, TB","926","2003","03","18",NA,"Brazil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso, Trilha morro das alamas.","-47.9199981689453","-25.0100002288818",NA,NA,NA,"Epífito. Planta ereta.","UEC064662",NA,NA,"2017","01","26","37574","auto",NA,NA,NA
"14","2019-08-20 10:00:37-03","UNICAMP","UEC","138958","S","Plantae","Liliopsida",NA,"Orchidaceae","Campylocentrum","spannagelii","Campylocentrum spannagelii","Hoehne","Pessoa, E","Singer, RB","9879","1998","08","15",NA,"Brazil","São Paulo","Cubatão","Parque Estadual da Serra do Mar, Núcleo Cubatão.","-46.4199981689453","-23.8899993896484",NA,NA,NA,NA,"UEC064659",NA,NA,"2017","01","26","15123","auto",NA,NA,NA
"15","2020-10-14 10:03:58-03","FURB","FURB","7334","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Campylocentrum","spannagelii","Campylocentrum spannagelii","Hoehne","Pessoa, E","Verdi, M.; Stival-Santos, A.","686","2008","05","18",NA,"Brasil","Santa Catarina","Campo Alegre","Fazenda Sequóia.","-49.1963889","-26.1802778",NA,NA,NA,"Planta com fruto.","FURB46968","FURB46968",NA,"2013","10","07",NA,NA,"-49.1963889","-26.1802778",NA
