"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","dayIdentified","locality","typeStatus","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","individualCount","fieldNumber"
"1","2021-01-14 15:24:41-03","MN","R","11320","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","damazioi","Lundia damazioi","C. DC.","Kaehler, M.","2010","01","Glaziou, A.F.M.","4107","1870","03","11","Brasil","Rio de Janeiro","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","Plantas do Brasil Central","R000011320","R000011320_001","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-20 21:16:14-03","UFV","VIC","25134","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","damazioi","Lundia damazioi","C.DC.","Araújo, R.S. de","2007","09","Lopes, W.P. de","563","1999","04","29","Brasil","Espírito Santo","Serra","-40.3078002929688","-20.1285991668701","16451","Liana sobre a copa das árvores; flores perfumadas de coloração rosa escuro intenso.","VIC025134","VIC025134","auto","21","Manguinhos, Restinga arbórea.",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-05 16:46:20-03","UFOP","OUPR","1113","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","damazioi","Lundia damazioi","C.DC.",NA,NA,NA,"Damazio, L.B.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","Ex Herb. Escola de Minas n. 760.",NA,NA,"auto",NA,NA,"type",NA,NA,NA,NA,NA,NA,NA
"4","2019-11-05 16:46:20-03","UFOP","OUPR","1107","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","damazioi","Lundia damazioi","C.DC.",NA,NA,NA,"Badini, J.","s.n.","1943","03","15","Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","Trepadeira, flores brancas. Campo.",NA,NA,"auto",NA,"Águas Férreas",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-05 16:46:20-03","UFOP","OUPR","1108","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","damazioi","Lundia damazioi","C.DC.",NA,NA,NA,"Badini, J.","s.n.","1943","03","17","Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","Trepadeira, flores brancas. Capoeira.",NA,NA,"auto",NA,"Campo Grande",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-05 16:46:20-03","UFOP","OUPR","1106","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","damazioi","Lundia damazioi","C.DC.",NA,NA,NA,"Badini, J.","s.n.","1943","03","15","Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","Trepadeira, flores brancas. Capoeira.",NA,NA,"auto",NA,"Taquaral",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-16 08:38:46-03","UTFPR","HCF","15932","S","Plantae","Bignoniaceae","Lundia","damazioi","Lundia damazioi","C.DC.","M. Kaehler","2010",NA,"P.H. Labiak","5181","2009","01","20","Brasil","SP","Piedade","-47.420833","-23.757778",NA,"liana lenhosa. Mata Secundária. Flores brancas com falce amarelada. Cálice castanho-esbranquiçado. Floresta Atlântica.",NA,NA,NA,NA,"Estrada de Piedade para Juquiá, Km 124",NA,"47°25'15 W","23°45'28 S","960","960",NA,NA,NA
"8","2020-12-21 16:18:25-03","MBM","MBM","393030","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","damazioi","Lundia damazioi","C. DC.","Kaehler, M.","2010",NA,"Labiak, P.H.; Schwartsburd, P.B.; Schwartsburd, P.B.","5181","2009","01","20","Brazil","São Paulo","Piedade","-47.420833","-23.757778",NA,"Liana lenhosa. Flores brancas com falce amarelada. Cálice castanho-esbranquiçado.; Floresta Atlântica, mata secundária.","MBM393030","MBM393030",NA,NA,"Estrada de Piedade para Juquiá, Km 124 da SP-079. Próximo à entrada para a Pousada Vale dos Eucaliptos",NA,"-47.420833","-23.757778","960","960","Southern America",NA,NA
"9","2021-02-11 17:18:17-03","UFPR","UPCB","87620","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","damazioi","Lundia damazioi","C.DC.","Kaehler, M.","2011",NA,"Labiak, P.H. et al.","4615","2008","02","14","Brasil","Espírito Santo","Castelo","-41.052778","-20.410278",NA,"Liana, às margens da estrada. Flores alvas, ápice das pétalas levemente amarelado, cálice castanho. Material prensado em álcool..",NA,NA,NA,NA,"Estrada de Vargem Alta para BR-262, a 2 km da saída para a BR. Mata secundária.",NA,"-41.052778","-20.410278","1000","1000",NA,NA,NA
"10","2021-02-11 17:18:17-03","UFPR","UPCB","58464","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","neolonga","Lundia neolonga","L.G.Lohmann","Kaehler, M.","2008","02","Kaehler, M.","156","2008","01","07","Brasil","São Paulo","Silveiras","-44.84","-22.815",NA,"Liana com pétalas brancas externamente e amarelas internamente. Sépalas brancas e anteras amarelas. Odor adocicado. (Material alcoolizado).",NA,NA,NA,NA,"Macacos",NA,"-44.84","-22.815","1060","1060",NA,NA,NA
"11","2021-02-11 17:18:17-03","UFPR","UPCB","58465","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","neolonga","Lundia neolonga","L.G.Lohmann","Kaehler, M.","2008","02","Kaehler, M.","157","2008","01","08","Brasil","Rio de Janeiro","Itatiaia","-44.612222","-22.435556",NA,"Liana com flores de pétalas brancas externamente e com interior do tubo amarelo. Quando velhas, flores amarelo-creme. Anteras com tricomas amarelos. Cálice branco-esverdeado. Odor adocicado. (Material alcoolizado).",NA,NA,NA,NA,"PARNA Itatiaia.",NA,"-44.612222","-22.435556","1020","1020",NA,NA,NA
"12","2011-12-29 18:23:00-02","MO","MOBOT","1033561","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","damazioi","Lundia damazioi","C. DC.","M. Kaehler (SPF)",NA,NA,"Gert G. Hatschbach","Hatschbach 52738","1989","2","23","Brazil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863","48150",NA,NA,NA,"auto",NA,"Vitor Hugo.",NA,NA,NA,NA,NA,"South America","1",NA
"13","2019-02-19 04:30:00-03","MO","MOBOT","1016334","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","damazioi","Lundia damazioi","C. DC.","M. Kaehler & L. Lohmann",NA,NA,"C.F.P. Martius","Martius s.n.","1818","7",NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Formigas, Vicum.",NA,NA,NA,NA,NA,"South America","1",NA
"14","2011-12-29 15:27:00-02","MO","MOBOT","1021932","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","damazioi","Lundia damazioi","C. DC.","M. Kaehler & L. Lohmann",NA,NA,"Léonidas Damazio","Damazio 269",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ouro Preto.",NA,NA,NA,NA,NA,"South America",NA,NA
"15","2012-04-27 12:32:00-03","MO","MOBOT","1025990","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","damazioi","Lundia damazioi","C. DC.",NA,NA,NA,"Gloria E. Barboza|Eva Filippa","Barboza s.n.(R7004)",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ouro Preto - Campo do Raymundo.",NA,NA,NA,NA,NA,"South America",NA,NA
"16","2012-04-27 12:32:00-03","MO","MOBOT","1025999","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","damazioi","Lundia damazioi","C. DC.","M. Kaehler & L. Lohmann",NA,NA,"Gloria E. Barboza|Eva Filippa","Barboza s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prox. Campo do Raymundo.",NA,NA,NA,NA,NA,"South America","1",NA
"17","2011-12-29 14:29:00-02","MO","MOBOT","1026276","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","damazioi","Lundia damazioi","C. DC.","M. Kaehler & L. Lohmann",NA,NA,"R. Braga","Braga 1528","1969","3","1","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Estrada Teresopolis-Friburgo-Canoas-Sito Dr. Elmano Fernandes.",NA,NA,NA,NA,NA,"South America",NA,NA
"18","2011-12-29 17:04:00-02","MO","MOBOT","1026285","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","damazioi","Lundia damazioi","C. DC.","M. Kaehler & L. Lohmann",NA,NA,"George Gardner","Gardner 5824","1841","4",NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agan Mts.",NA,NA,NA,NA,NA,"South America","1",NA
"19","2011-12-29 17:59:00-02","MO","MOBOT","1026296","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","damazioi","Lundia damazioi","C. DC.","M. Kaehler & L. Lohmann",NA,NA,"Auguste F.M. Glaziou","Glaziou 4107","1870","3","11","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nova Friburgo.",NA,NA,NA,NA,NA,"South America",NA,NA
"20","2012-04-12 08:01:00-03","MO","MOBOT","1026326","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","damazioi","Lundia damazioi","C. DC.","M. Kaehler & L. Lohmann",NA,NA,"Guido F.J. Pabst","Pabst 7332","1963","3","3","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Petropolis, estrada para Palmares, 12 km da Rodovia do Contorno",NA,NA,NA,"900.00000000",NA,"South America","1",NA
"21","2011-12-30 10:37:00-02","MO","MOBOT","1026386","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","damazioi","Lundia damazioi","C. DC.","M. Kaehler & L. Lohmann",NA,NA,"J.P. Lanna S.","Lanna Sobrinho 1235","1966","2","21","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rezendo, pr. Penedo, Sitio Palmital.",NA,NA,NA,NA,NA,"South America","1",NA
