"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","county","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","monthIdentified","class","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","39442","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Axonopus","carajasensis","Axonopus carajasensis","M.Bastos","isotype","D. C. Daly","1990","1981","12","13","South America","Brazil","Pará","N1; 25 km northwest of camp at Serra Norte.","-50.45","-5.9","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=166554' target='other'> <mi>dwc_moreinfo</mi></a>","NY00039442","NY00039442_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-11 11:44:59-03","UFMG","BHCB","130688","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Axonopus","carajasensis","Axonopus carajasensis","M.N. Bastos",NA,"Viana, PL; Versieux, LM; Garcia, LC; Giorni, VT; Silva, LVC; Silva, DF","4087","2009","03","16","Southern America","Brasil","Pará","Floresta Nacional de Carajás, S11C.","-50.397222","-6.385556",NA,NA,"BHCB021494",NA,"2018","Parauapebas","-50.397222","-6.385556","743","743",NA,NA,NA,NA,NA
"3","2020-12-11 11:44:59-03","UFMG","BHCB","115363","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Axonopus","carajasensis","Axonopus carajasensis","M.N. Bastos",NA,"Viana, PL; Silva, LVC; Garcia, LC; Mota, NFO; Maciel, GM; Silva, DF","3447","2007","12","11","Southern America","Brasil","Pará","Floresta Nacional de Carajás, N1.","-50.2975","-6.015278",NA,NA,"BHCB021493",NA,"2009","Parauapebas","-50.2975","-6.015278","655","655",NA,NA,NA,NA,NA
"4","2020-12-11 11:44:59-03","UFMG","BHCB","130602","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Axonopus","carajasensis","Axonopus carajasensis","M.N. Bastos",NA,"Viana, PL; Versieux, LM; Garcia, LC; Giorni, VT; Silva, LVC; Silva, DF","3786","2009","03","11","Southern America","Brasil","Pará","Floresta Nacional de Carajás, N1.","-50.273889","-6.035556",NA,NA,"BHCB021495",NA,"2009","Parauapebas","-50.273889","-6.035556","655","655",NA,NA,NA,NA,NA
"5","2020-12-11 11:44:59-03","UFMG","BHCB","139239","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Axonopus","carajasensis","Axonopus carajasensis","M.N. Bastos",NA,"Silva, LVC; Souza, DT; Arruda, AJ; Dayrell, F; Costa, F; Almeida, TE; Pivari, MOD","760","2010","02","15","Southern America","Brasil","Pará","Floresta Nacional de Carajás, S11A.","-50.453889","-6.32",NA,"Ambiente úmido.","BHCB021496",NA,"2018","Canaã dos Carajás","-50.453889","-6.32","600","600",NA,NA,NA,NA,NA
"6","2020-12-11 11:44:59-03","UFMG","BHCB","139243","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Axonopus","carajasensis","Axonopus carajasensis","M.N. Bastos",NA,"Silva, LVC; Souza, DT; Arruda, AJ; Dayrell, F; Costa, F; Almeida, TE; Pivari, MOD","764","2010","02","15","Southern America","Brasil","Pará","Floresta Nacional de Carajás, S11A.","-50.453889","-6.32",NA,"Ambiente úmido.","BHCB021497",NA,"2018","Canaã dos Carajás","-50.453889","-6.32","600","600",NA,NA,NA,NA,NA
"7","2020-12-11 11:44:59-03","UFMG","BHCB","155825","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Axonopus","carajasensis","Axonopus carajasensis","M.N. Bastos",NA,"Silva, LVC; Pivari, MOD; Jorge, TB; Gontijo, ML","1100","2012","01","25","Southern America","Brasil","Pará","Floresta Nacional de Carajás, S11D.","-50.304167","-6.403056",NA,"Vegetação rupestre.","BHCB021498",NA,"2018","Canaã dos Carajás","-50.304167","-6.403056","663","663",NA,NA,NA,NA,NA
"8","2020-12-11 11:44:59-03","UFMG","BHCB","155860","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Axonopus","carajasensis","Axonopus carajasensis","M.N. Bastos",NA,"Silva, LVC; Pivari, MOD; Jorge, TB; Gontijo, M","1135","2012","01","27","Southern America","Brasil","Pará","S11D, Ambiente úmido","-50.363889","-6.408333",NA,NA,"BHCB016514",NA,"2015","Canaã dos Carajás","-50.363889","-6.408333","836","836",NA,NA,NA,NA,NA
"9","2020-12-11 11:44:59-03","UFMG","BHCB","155944","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Axonopus","carajasensis","Axonopus carajasensis","M.N. Bastos",NA,"Arruda, AJ; Silva, LVC; Pivari, MOD; Jorge, TB; Paula, LFA de; Gontijo, ML; Ranieri, BD","446","2012","01","24","Southern America","Brasil","Pará","S11D, Campo brejoso","-50.362222","-6.391111",NA,NA,"BHCB016511",NA,"2015","Canaã dos Carajás","-50.362222","-6.391111","708","708",NA,NA,NA,NA,NA
"10","2020-12-11 11:44:59-03","UFMG","BHCB","156070","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Axonopus","carajasensis","Axonopus carajasensis","M.N. Bastos",NA,"Paula, LFA de; Silva, LVC; Pivari, MOD; Jorge, TB; Arruda, AJ; Gontijo, ML; Ranieri, BD","439","2012","01","25","Southern America","Brasil","Pará","Floresta Nacional de Carajás, S11D.","-50.340833","-6.396944",NA,NA,"BHCB021499",NA,"2018","Canaã dos Carajás","-50.340833","-6.396944","677","677",NA,NA,NA,NA,NA
