"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","locality","phylum","order","recordNumber","continentOcean","preparationType","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","sex","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","infraspecificEpithet"
"1","2021-04-05 14:25:18-03","UNESC","CRI","5393","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum","(Vell.) Morong","Zenaide P. Topanotti","Z. P. Topanotti","1997","02","24","Brasil","Santa Catarina","Criciúma","-49.37","-28.678056","49º22'12''W","28º40'41''S","46","46","CRI002848","CRI002848",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:18-03","UNESC","CRI","4434","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum","(Vell.) Morong","Valdemar P. Boff","V. P. Boff","1995","10","28","Brasil","Santa Catarina","Jacinto Machado","-49.763889","-28.998056","49º45'50''W","28º59'53''S","8","8","CRI002845","CRI002845","Estr. São Pedro, Eng. Vellho.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 13:01:00-03","NY","NYBG","00408734","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,"J. C. Lindeman","J. C. Lindeman","1966","12","11","Brazil","Santa Catarina","Sao Miguel do Oeste",NA,NA,NA,NA,NA,NA,"NY00408734","NY00408734_01","Road from Sao Miguel, to Fr. Westphalen, km 39","Magnoliophyta","Fabales","3606","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=436620' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 13:01:00-03","NY","NYBG","00408891","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,"R. C. Barneby","R. C. Quevedo S.","1990","04","14","Bolivia","Santa Cruz","Cordillera","-63.23","-19.7583",NA,NA,"1000","1000","NY00408891","NY00408891_01","Rio Charagua, a 7km en linea recta, al NO de Charagua","Magnoliophyta","Fabales","105","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=436616' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 05:51:00-03","NY","NYBG","01419657","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,"N. Y. Paniagua Zambrana; K. Rodriguez","N. Y. Paniagua Zambrana","1998","11","25","Bolivia","Tarija","Aniceto Arce","-64.23","-21.8",NA,NA,"1000",NA,"NY01419657","NY01419657_01","Reserva Nacional de Flora y Fauna Tariquía. Campamento en la comunidad de Salinas - La Misión. Pampas pasando la iglesia de San Roque.","Magnoliophyta","Fabales","1405","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1684400' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-30 05:52:00-03","NY","NYBG","01419674","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,NA,"E. L. Little Jr.","1984","02","09","Paraguay","Cordillera",NA,NA,NA,NA,NA,"280","280","NY01419674","NY01419674_01","Instituto Afrícola Nacional. Caacupé, 80 km. E of Asunción","Magnoliophyta","Fabales","40166","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1685069' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-30 05:51:00-03","NY","NYBG","01419651","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,"A. L. Mesquita","M. J. G. Hopkins","1983","08","11","Bolivia","Santa Cruz","Ñuflo de Chávez","-63.08","-15.65",NA,NA,NA,NA,"NY01419651","NY01419651_01","Finca of Don Luís Olivarria, 3 km. north of Asención dos Guarayos.","Magnoliophyta","Fabales","167","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1683956' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-30 05:51:00-03","NY","NYBG","01419661","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,"A. L. Mesquita","P. F. F. Schulz","1893","12","01","Argentina","Jujuy",NA,NA,NA,NA,NA,NA,NA,"NY01419661","NY01419661_01","San Lorenzo","Magnoliophyta","Fabales","8166","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1684572' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-26 23:38:00-03","NY","NYBG","00924320","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,"A. L. Mesquita","E. P. Heringer","1962","03","26","Brazil","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,"NY00924320","NY00924320_01","Hôrto do Guará.","Magnoliophyta","Fabales","8909/1123","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999250' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-26 23:38:00-03","NY","NYBG","01419669","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,"A. L. Mesquita","P. Jörgensen","1916",NA,NA,"Argentina",NA,NA,NA,NA,NA,NA,NA,NA,"NY01419669","NY01419669_01 NY01419669_02",NA,"Magnoliophyta","Fabales","1935","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1684988' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
