"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","relationshipType","eventTime","fieldNumber","individualCount"
"1","2021-04-05 14:25:38-03","UNESC","CRI","13034","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","kleinii","Eugenia kleinii","D.Legrand","Seubert, RC","2014","08","10","Seubert, R.C.; Sampaio, D.K.; Hofschneider, E.; Rezini, J.A. & Gebien, W.","192","2014","08","10","Brasil","Santa Catarina","Indaial","Faxinal do Bepe - Parque Nacional da Serra do Itajaí. Faxinal do Bepe - Parque Nacional da Serra do Itajaí.","-49.210833","-27.110278","49º12'39''W","27º6'37''S","640","640","Projeto Restaurar Habitat: Floresta Ombrófila Densa Montana; encosta Habito: arvoreta;","CRI011619",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:37-03","UNESC","CRI","11311","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","kleinii","Eugenia kleinii","D.Legrand","M. Sobral","2010","10","29","A. Korte; A. Kniess","4139","2010","08","19","Brasil","Santa Catarina","Joinville","Serra Quimada.","-49.049722","-26.100278","49º2'59''W","26º6'1''S","1167","1167","Floresta Ombrófila Densa Alto Montana Habitat: interior do fragmento Habito: arvoreta","CRI005187","CRI005187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:38-03","UNESC","CRI","13821","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","kleinii","Eugenia kleinii","D.Legrand","Fabio Longen","2018","09","13","Alexandre Medeiros","1028","2018","09","13","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras","-48.586111","-26.996389","48º35'10''W","26º59'47''S",NA,NA,"Flores brancas Habitat: Terrestre Habito: Arbórea","CRI012432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:44-03","UNESC","CRI","9557","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","kleinii","Eugenia kleinii","D.Legrand","Fábio C. S. Vieira","2020","04","21","L.A. Funez","753","2012","08","01","Brasil","Santa Catarina","Blumenau","Rua Partor Osvaldo Hesse.","-49.048889","-26.928333","49º2'56''W","26º55'42''S","38","38","Floresta Ombrófila Densa Habitat: beira do riacho Habito: arbustiva","CRI005104","CRI005104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:37-03","UNESC","CRI","12197","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","kleinii","Eugenia kleinii","D.Legrand","Seubert, RC","2014","09","09","Seubert, RC; Sampaio, DK; Hofschneider, E; Rezini, JA & Gebien, W",NA,"2014","09","09","Brasil","Santa Catarina","Indaial","Faxinal do Bepe.","-49.195556","-27.108611","49º11'44''W","27º6'31''S","706","706","Doação Herbário FURB (46677) Habito: Arvoreta","CRI010375","CRI010375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:44-03","UNESC","CRI","13812","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","kleinii","Eugenia kleinii","D.Legrand","Fabio Speck","2018","09","09","Alexandre Medeiros","1031","2018","09","09","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.593333","-27.006944","48º35'36''W","27º0'25''S",NA,NA,"Flores brancas. Habito: Arbóreo","CRI012423",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 15:16:32-03","UNESC","CRI","14466","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","kleinii","Eugenia kleinii","D.Legrand","Oliveira, AA de","2010","01","17","Stival-Santos, A.; Legal, E. & Silveira, S.","971","2009","10","07","Brasil","Santa Catarina","Gaspar","Gaspar Alto, Rua Hésio Silveira de Souza. Gaspar Alto, Rua Hésio Silveira de Souza.","-49.050833","-27.000556","49º3'3''W","27º0'2''S","215","215","Florística IFFSC 637 (Arbusto) Habitat: Floresta Ombrófila Densa Submontana; Estágio Avançado; próximo a estrada Habito: arbustiva; Fruto avermelhado;","CRI013561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:37-03","UNESC","CRI","13033","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","kleinii","Eugenia kleinii","D.Legrand","Pastório, FF","2015","09","09","Gasper, A.L. de; Uller, H.F. & Vibrans, A.C.","3716","2015","09","01","Brasil","Santa Catarina","Blumenau","Fidélis. Fidélis.","-49.049444","-26.819722","49º2'58''W","26º49'11''S","264","264",NA,"CRI011620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","557826","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","kleinii","Eugenia kleinii","D.Legrand","M. Sobral",NA,NA,NA,"W. Hoehne","5967","1965","04","11","Brazil","São Paulo","Sao Paulo","Sao Paulo, Sumaré, na Praça","-46.63","-23.5403",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479228' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557826","NY00557826_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1016087","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","kleinii","Eugenia kleinii","D.Legrand","G. G. Hatschbach",NA,NA,NA,"J. M. Silva","155","1986","08","28","Brazil","Paraná","Morretes","Veu de Noiva.","-48.8342","-25.4769",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141355' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016087","NY01016087_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
