"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","yearIdentified","monthIdentified","preparationType","individualCount","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","phylum","dayIdentified"
"1","2008-05-27 22:02:00-03","MO","MOBOT","1765394","PreservedSpecimen","Plantae","Poaceae","Aristida","constricta","Aristida constricta","Longhi-Wagner","Longhi-Wagner, H. M.","Isotype","Hilda M. Longhi-Wagner","Longhi-Wagner 1562","1987","11","17","South America","Brazil","Rio Grande do Sul","Santana do Livramento, Cerro Palomas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2009-05-15 13:24:00-03","MO","MOBOT","1765397","PreservedSpecimen","Plantae","Poaceae","Aristida","constricta","Aristida constricta","Longhi-Wagner","H. Longhi-Wagner, 1991 (ICN)",NA,"Pedro Jörgensen","Jörgensen 3566","1928","2","26","South America","Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-02 16:36:06-03","Cenargen","CEN","3812","PreservedSpecimen","Plantae","Poaceae","Aristida","constricta","Aristida constricta","Longhi-Wagner","J. F. M. Valls",NA,"José Francisco Montenegro Valls","2527","1972","11","25",NA,"Brasil",NA,"Livramento - Cerro Palomas","2016","01","Exsicatas","1","No topo do cerro, junto às bordas em frestas de arenito. Doação do Herb. Depto. Bot. da U.F.R.G.S. Nº ICN 23363","CEN00003812","CEN00003812",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-02 16:36:06-03","Cenargen","CEN","90225","PreservedSpecimen","Plantae","Poaceae","Aristida","constricta","Aristida constricta","Longhi-Wagner","H. M. Longhi-Wagner",NA,"José Francisco Montenegro Valls","12773","1991","03","18",NA,"Brasil","RS","Cerro Palomas ( a leste de Livramento, ao longo da rodovia BR - 293).","1992",NA,"Unicata","1","Corresponde a Aristida trinii sensu Severo non Henrard. Descrita como A. constricta (NOVON 2: 39, 1992). Esta coleta é PARATIPO (CEN,ICN).","CEN00090225","CEN00090225","SANTANA DO LIVRAMENTO","-55.366666","-30.816666","-55.366666","-30.816666","185","185",NA,NA,NA,NA
"5","2020-09-02 16:36:06-03","Cenargen","CEN","3779","PreservedSpecimen","Plantae","Poaceae","Aristida","constricta","Aristida constricta","Longhi-Wagner","H. M. Longhi-Wagner",NA,"José Francisco Montenegro Valls","2470","1972","11","23",NA,"Brasil","RS","Entre Manuel Viana e S. Francisco de Assis, 20,6km após a ponte sobre o rio Ibicuí.","1991","12","Exsicatas","1","Sobre afloramento de arenito em área de solo Cruz Alta. Doação do Herb. Depto. Bot. da U.F.R.G.S. Nº ICN 23306","CEN00003779","CEN00003779","SAO FRANCISCO DE ASSIS","-55.1310997009277","-29.5503005981445",NA,NA,NA,NA,"48310","auto",NA,NA
"6","2021-02-08 12:52:34-03","UFRGS","ICN","067951","S","Plantae","Poaceae","Aristida","constricta","Aristida constricta","Longhi-Wagner","Longhi-Wagner, HM","Paratypus","Longhi-Wagner, HM; et al.","1574","1987","11","17","América do Sul","Brasil","RS","Cerro Armour",NA,NA,NA,NA,"Espécie ameaçada de extinção (Em perigo).; Sobre rochas areníticas; pouco comum.","ICN00032272",NA,"Santana do Livramento","-55.5327987670898","-30.8908004760742",NA,NA,NA,NA,"79795","auto","Monocotyledon",NA
"7","2021-02-08 12:52:34-03","UFRGS","ICN","090904","S","Plantae","Poaceae","Aristida","constricta","Aristida constricta","Longhi-Wagner","Longhi-Wagner, HM","Paratypus","Valls, JFM; et al.","12773",NA,NA,NA,"América do Sul","Brasil","RS","Cerro Palomas",NA,NA,NA,NA,"Espécie ameaçada de extinção (Em perigo).","ICN00032271",NA,"Santana do Livramento","-55.5327987670898","-30.8908004760742",NA,NA,NA,NA,"79795","auto","Monocotyledon",NA
"8","2021-02-08 12:52:34-03","UFRGS","ICN","067939","S","Plantae","Poaceae","Aristida","constricta","Aristida constricta","Longhi-Wagner","Longhi-Wagner, HM","Holotypus","Longhi-Wagner, HM; et al.","1562","1987","11","17","América do Sul","Brasil","RS","Cerro Palomas",NA,NA,NA,NA,"Espécie ameaçada de extinção (Em perigo).; Pouco comum, só em penhascos basálticos.","ICN00000464","ICN00000464 ICN00000464_1 ICN00000464_2","Santana do Livramento","-55.5327987670898","-30.8908004760742",NA,NA,NA,NA,"79795","auto","Monocotyledon",NA
"9","2021-02-08 12:52:34-03","UFRGS","ICN","023363","S","Plantae","Poaceae","Aristida","constricta","Aristida constricta","Longhi-Wagner","Longhi-Wagner, HM","Paratypus","Valls, JFM; Barcellos, A","2527","1972","11","25","América do Sul","Brasil","RS","Cerro Palomas",NA,NA,NA,NA,"Espécie ameaçada de extinção (Em perigo).; No topo do cerro, junto às bordas, em frestas do arenito.","ICN00032269",NA,"Santana do Livramento","-55.5327987670898","-30.8908004760742",NA,NA,NA,NA,"79795","auto","Monocotyledon",NA
"10","2021-02-08 12:52:34-03","UFRGS","ICN","023306","S","Plantae","Poaceae","Aristida","constricta","Aristida constricta","Longhi-Wagner","Longhi-Wagner, HM","Paratypus","Valls, JFM; Barcellos, A","2470","1972","11","23","América do Sul","Brasil","RS","entre Manuel Viana e São Francisco de Assis 20 6 Km após a ponte sobre o Rio Ibicuí","1992","08",NA,NA,"Espécie ameaçada de extinção (Em perigo).; Em área de Solo Cruz Alta, sobre afloramento de arenito.","ICN00032270",NA,"São Francisco de Assis","-55.1310997009277","-29.5503005981445",NA,NA,NA,NA,"48310","auto","Monocotyledon","10"
"11","2021-02-08 12:52:34-03","UFRGS","ICN","088219","S","Plantae","Poaceae","Aristida","constricta","Aristida constricta","Longhi-Wagner","Longhi-Wagner, HM",NA,"Pilz, A","190","1987","11","18","América do Sul","Brasil","RS","Cerro do Jarau",NA,NA,NA,NA,"Espécie ameaçada de extinção (Em perigo).",NA,NA,"Quaraí","-56.4514007568359","-30.3875007629395",NA,NA,NA,NA,"74636","auto","Monocotyledon",NA
"12","2021-02-08 12:52:34-03","UFRGS","ICN","089781","S","Plantae","Poaceae","Aristida","constricta","Aristida constricta","Longhi-Wagner","Longhi-Wagner, HM",NA,"Longhi-Wagner, HM; et al.","2394","1991","01","06","América do Sul","Brasil","RS","topo do Cerro Palomas",NA,NA,NA,NA,"Espécie ameaçada de extinção (Em perigo).",NA,NA,"Santana do Livramento","-55.5327987670898","-30.8908004760742",NA,NA,NA,NA,"79795","auto","Monocotyledon",NA
