"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","locality","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","typeStatus","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-04-05 14:34:05-03","UNESC","CRI","5297","PreservedSpecimen","Plantae","Rubiaceae","Faramea","martiana","Faramea martiana","Müll.Arg.","Piero Delprete","J. A. Jarenkow; Daniel B. Falkenberg","2286","1993","01","23","Brasil","Rio Grande do Sul","Vale do Sol","-52.686667","-29.604444","52º41'12''W","29º36'16''S","CRI009215","CRI009215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:00-03","UNESC","CRI","14903","PreservedSpecimen","Plantae","Rubiaceae","Faramea","stipulacea","Faramea stipulacea","(Cham. & Schltdl.) DC.","Verdi, M","Verdi, M.; Martins, E.M. & Veiga, O.N.","5520","2010","08","25","Brasil","Paraná","Morretes","-48.914722","-25.445","48º54'53''W","25º26'42''S","CRI014356","CRI014356","2010","08","25","Trilha Noroeste / Parque Estadual Pico Marumbi. Trilha Noroeste / Parque Estadual Pico Marumbi.","854","854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00749920","PreservedSpecimen","Plantae","Rubiaceae","Faramea","martiana","Faramea martiana","Müll.Arg.",NA,"J. G. Jardim","209","1993","07","15","Brazil","Bahia","Una","-39.0753","-15.2933",NA,NA,"NY00749920","NY00749920_01",NA,NA,NA,"Una Biological Reserve. Entrada à direita no km 10.4, Rod. Una/Ilhéus",NA,NA,"Magnoliophyta","Gentianales","South America","sheet","Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=494919' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","885384","PreservedSpecimen","Plantae","Rubiaceae","Faramea","martiana","Faramea martiana","Müll.Arg.","J. G. Jardim","W. W. Thomas","13591","2003","07","26","Brazil","Bahia","Jequié","-40.1111","-13.9469",NA,NA,"NY00885384","NY00885384_01",NA,NA,NA,"Serra do Brejo, Fazenda of Francisco Brito, 10.5 km S of Mandacara on road to Serra do Brejo (road that goes past stadium)","600","700","Magnoliophyta","Gentianales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=411322' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","502131","PreservedSpecimen","Plantae","Rubiaceae","Faramea","martiana","Faramea martiana","Müll.Arg.",NA,"A. M. V. de Carvalho","3572","1991","09","11","Brazil","Bahia","Uruçuca","-39.0617","-14.4231",NA,NA,"NY00502131","NY00502131_01",NA,NA,NA,"Distrito de Serra Grande. 7.3 km na estrada Serra Grande/Itacaré. Fazenda Lagoa do Conjunto Fazenda santa Cruz",NA,NA,"Magnoliophyta","Gentianales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=494921' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","397328","PreservedSpecimen","Plantae","Rubiaceae","Faramea","martiana","Faramea martiana","Müll.Arg.","J. Jardim","R. Callejas Posada","1546","1983","10","27","Brazil","Bahia","Ilhéus","-39.22095","-14.7739696",NA,NA,"NY00397328","NY00397328_01",NA,NA,NA,"Area do CEPEC (Centro de Pesquisas do Cacau) km 22 da Rodovia Ilhéus/Itabuna (BR 415). Quadra D","50","50","Magnoliophyta","Gentianales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451799' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01873596","PreservedSpecimen","Plantae","Rubiaceae","Faramea","martiana","Faramea martiana","Müll.Arg.","J. G. Jardim","R. A. X. Borges","708","2007","01","23","Brazil","Bahia","Camacan","-39.5653","-15.3917",NA,NA,"NY01873596","NY01873596_01",NA,NA,NA,"RPPN Serra Bonita. 9,7 km de Camacã na estrada para Jacarecí. Daí 6 km SW na estrada para a RPPN e torre da Embratel.","835",NA,"Magnoliophyta","Gentianales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2941236' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","502132","PreservedSpecimen","Plantae","Rubiaceae","Faramea","martiana","Faramea martiana","Müll.Arg.",NA,"A. M. V. de Carvalho","3434","1991","07","01","Brazil","Bahia","Uruçuca","-39.0617","-14.4231",NA,NA,"NY00502132","NY00502132_01",NA,NA,NA,"Distrito de Serra Grande. 7.3 km na estrada Serra Grande/Itacaré. Fazenda Lagoa do Conjunto Fazenda santa Cruz",NA,NA,"Magnoliophyta","Gentianales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=494922' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01873598","PreservedSpecimen","Plantae","Rubiaceae","Faramea","martiana","Faramea martiana","Müll.Arg.","J. G. Jardim","R. A. X. Borges","273","2006","12","09","Brazil","Bahia","Camacan","-39.5653","-15.3917",NA,NA,"NY01873598","NY01873598_01",NA,NA,NA,"RPPN Serra Bonita. 9,7 km de Camacã na estrada para Jacarecí. Daí 6 km SW na estrada para a RPPN e torre da Embratel.","900","1000","Magnoliophyta","Gentianales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2941250' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","778966","PreservedSpecimen","Plantae","Rubiaceae","Faramea","morsoniana","Faramea morsoniana","Müll.Arg.","P. Fiaschi","J. R. Pirani","4519","1999","10","16","Brazil","Rio de Janeiro","Paratí","-44.68","-23.27",NA,NA,"NY00778966","NY00778966_01",NA,NA,NA,"Estrada não-pavimentada para Parati-mirim, a ca. 2 km da BR (Rio-Santos).",NA,NA,"Magnoliophyta","Gentianales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4438' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
