"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","stateProvince","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","minimumDepthInMeters","maximumDepthInMeters","individualCount","fieldNumber","sex"
"1","2021-04-05 14:25:54-03","UNESC","CRI","3954","PreservedSpecimen","Plantae","Polygonaceae","Ruprechtia","laxiflora","Ruprechtia laxiflora","Meisn.","J. A. Jarenkow","J. A. Jarenkow","1990","01","05","Brasil","Brasil","Horto Bot. Irmão Teodoro Luis.","-52.484167","-31.763889","52º29'3''W","31º45'50''S","21","21","CRI007260","CRI007260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:00-03","UNESC","CRI","10003","PreservedSpecimen","Plantae","Polygonaceae","Ruprechtia","laxiflora","Ruprechtia laxiflora","Meisn.","M. Verdi","M. Verdi; J.A. Jarenkow","2012","12","02","Brasil","Piratini","Pousada e camping Costa do Camaquã.","-53.097778","-31.447222","53º5'52''W","31º26'50''S","118","118","CRI007258","CRI007258","2012","12","02","6367","Rio Grande do Sul","Estepe estacional Habitat: beira do rio Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:00-03","UNESC","CRI","3679","PreservedSpecimen","Plantae","Polygonaceae","Ruprechtia","laxiflora","Ruprechtia laxiflora","Meisn.",NA,"R. Záchia","1993","11","30","Brasil","São Borja","Ea. Bonitas - Mata cilianda - Rio Butui.","-56.003889","-28.658056","56º0'14''W","28º39'29''S",NA,NA,"CRI007255","CRI007255",NA,NA,NA,NA,"Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:54-03","UNESC","CRI","5329","PreservedSpecimen","Plantae","Polygonaceae","Ruprechtia","laxiflora","Ruprechtia laxiflora","Meisn.",NA,"J. A. Jarenkow; C. F. N. Widholzer","1994","12","14","Brasil","Brasil","Campus UFPEL/EMBRAPA.","-52.438333","-31.76","52º26'18''W","31º45'36''S",NA,NA,"CRI007253","CRI007253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:54-03","UNESC","CRI","4045","PreservedSpecimen","Plantae","Polygonaceae","Ruprechtia","laxiflora","Ruprechtia laxiflora","Meisn.","J. A. Jarenkow","J. A. Jarenkow","1989","12","03","Brasil","Piratini",NA,"-53.104444","-31.448611","53º6'16''W","31º26'55''S",NA,NA,"CRI007257","CRI007257",NA,NA,NA,NA,"Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:54-03","UNESC","CRI","4048","PreservedSpecimen","Plantae","Polygonaceae","Ruprechtia","laxiflora","Ruprechtia laxiflora","Meisn.",NA,"J. A. Jarenkow","1989","12","03","Brasil","Piratini","Margem esquerda do Rio Piratini, próx. a ponte da BR-293.","-53.097778","-31.4475","53º5'52''W","31º26'51''S",NA,NA,"CRI007256","CRI007256",NA,NA,NA,NA,"Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:42:34-03","E","E","160516","PreservedSpecimen","Plantae","Polygonaceae","Ruprechtia","laxiflora","Ruprechtia laxiflora",NA,NA,"Fiebrig, K.","1902","10","07","PY",NA,NA,NA,NA,NA,NA,NA,NA,"E00160516",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00160516 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:167926",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:42:34-03","E","E","160513","PreservedSpecimen","Plantae","Polygonaceae","Ruprechtia","laxiflora","Ruprechtia laxiflora",NA,NA,"Fiebrig, K.","1902","11","04","PY",NA,NA,NA,NA,NA,NA,NA,NA,"E00160513",NA,NA,NA,NA,"360",NA,"<a href=http://data.rbge.org.uk/herb/E00160513 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:167923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:42:34-03","E","E","160512","PreservedSpecimen","Plantae","Polygonaceae","Ruprechtia","laxiflora","Ruprechtia laxiflora",NA,NA,"Fiebrig, K.","1902","11","04","PY",NA,NA,NA,NA,NA,NA,NA,NA,"E00160512",NA,NA,NA,NA,"361",NA,"<a href=http://data.rbge.org.uk/herb/E00160512 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:167922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:42:34-03","E","E","160514","PreservedSpecimen","Plantae","Polygonaceae","Ruprechtia","laxiflora","Ruprechtia laxiflora",NA,NA,"Fiebrig, K.","1902","10","07","PY",NA,NA,NA,NA,NA,NA,NA,NA,"E00160514",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00160514 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:167924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
