"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","class","individualCount","typeStatus","relatedCatalogItem","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","822948","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","leptobotryus","Croton leptobotryus","Müll.Arg.","B. Vancue","W. W. Thomas","12488","2001","05","18","South America","Brazil","Bahia","Boa Nova","Fazenda Cotermaia (owner Alipe Maia) entrance 1.2 km E of Boa Nova on road to Dario Meira","-40.18842","-14.37365","810","810","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=591228' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822948","NY00822948_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2013-07-03 10:46:04-03","EBDA","BAH","4317","S","Plantae",NA,NA,"Euphorbiaceae","Croton","leptobotryus","Croton leptobotryus","Müll.Arg.","Oliveira, E.L.P.G. de","Oliveira, E.L.P.G. de","561","1982","11","11",NA,"Brasil","Bahia","Itaberaba","Pasto Buffel ,Faz .Serra da Monta- Itaberaba Ba .","-40.3069","-12.5275",NA,NA,NA,"Sub arbustode flôr esverdeada , frequente.IMPORT. PLANTA: Invasora",NA,NA,"1983","01","39857","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2013-07-03 10:46:04-03","EBDA","BAH","3154","S","Plantae",NA,NA,"Euphorbiaceae","Croton","leptobotryus","Croton leptobotryus","Müll.Arg.","Scardino , Noblick ,Paranhos , Guedes ,C .Queiroz,Paganucci , Nascimento , N .Suely ,Guaglia.","Gº Pedra do cavalo","511","1980","08",NA,NA,"Brasil","Bahia","Cachoeira","Morro Belo _ Cachoeira _ Ba","-38.9558","-12.6183",NA,NA,NA,"Arbusto com cerca de 2 metros de altura ; flores odoríferas verdes (femeninas ) e enbraqueçidas (masculinas )",NA,NA,"1980","09","26884","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2013-07-03 10:46:04-03","EBDA","BAH","4110","S","Plantae",NA,NA,"Euphorbiaceae","Croton","leptobotryus","Croton leptobotryus","Müll.Arg.","Edna L.P.G . De Oliveira","Oliveira, E.L.P.G. de","477","1982","07","18",NA,"Brasil","Bahia","Itaberaba","Pasto Veadinho Faz .Morro de Ppedra - Itaberaba","-40.3069","-12.5275",NA,NA,NA,"Arbusto de flores esverdeadas e frutos verdes ; muito frequente IMPORT. PLANTA: planta medicinal",NA,NA,"1982","08","39857","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2013-07-03 10:46:04-03","EBDA","BAH","4316","S","Plantae",NA,NA,"Euphorbiaceae","Croton","leptobotryus","Croton leptobotryus","Müll.Arg.","Oliveira, E.L.P.G. de","Bastos, B.C.","358","1982","11","10",NA,"Brasil","Bahia","Itaberaba","Pasto Caldeirão Faz . Serra da Mota -Itaberaba Ba.","-40.3069","-12.5275",NA,NA,NA,"Arbusto de flôr branca , frequente,invasora",NA,NA,"1983","01","39857","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2013-07-03 10:46:04-03","EBDA","BAH","3975","S","Plantae",NA,NA,"Euphorbiaceae","Croton","leptobotryus","Croton leptobotryus","Müll.Arg.","Edna L .P .G . De Oliveira","Mª do Socorro G . Ferreira","251","1982","03","11",NA,"Brasil","Bahia","Itaberaba","Faz . Morro de Pedra - Pasto Veadinho - Itaberaba .","-40.3069","-12.5275",NA,NA,NA,"Sub Arbusto de cerca de 1 m de altura , Inflorecência creme, muitissimo frequente .",NA,NA,"1982","08","39857","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2013-07-03 10:46:04-03","EBDA","BAH","4137","S","Plantae",NA,NA,"Euphorbiaceae","Croton","leptobotryus","Croton leptobotryus","Müll.Arg.","Oliveira, E.L.P.G. de","Bastos, B.C.","231","1982","03","09",NA,"Brasil","Bahia","Itaberaba","Pasto Tanque - Faz . Serra da Monta - Itaberaba .","-40.3069","-12.5275",NA,NA,NA,"Sub arbusto de flôr branca.IMPORT. PLANTA: Melífera",NA,NA,"1982","08","39857","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-02-15 11:39:35-02","IPA","IPA","62819","S","Plantae","Plantae",NA,"Euphorbiaceae","Croton","leptobotryus","Croton leptobotryus","Müll. Arg.","Caruzo, M.B.R.","Pietrobom-Silva, M.R.","3498","1996","09","24","Southern America","Brasil","Mato Grosso do Sul","Brasilândia","Lagoa Machado, ca. 7 km da Sede pela trilha turística. Capões de mata seca semi-decídua, cerrado fechado e baixadas sujeito a inundações (varjões). Solo arenoso com grande quantidade de mandacarús (Cactaceae), coqueiro bacurí Arecaceae) e ciperáceas","-52","-21.666667",NA,NA,NA,"Herbáceas ca. 80 cm alt. Amarelada. Margem interior da mata. Área dentro da cota de in","IPA0062819",NA,"2015","02",NA,NA,"25","-52","-21.666667",NA,NA,NA,NA,NA,NA
"9","2021-04-07 11:43:18-03","UFMS","CGMS","28288","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","leptobotryus","Croton leptobotryus","Müll.Arg.","Rodolfo C. Sodré","L.C.S. Magalhães; L.G. Escalante","330","2009","03","22",NA,"Brasil","Mato Grosso do Sul","Nioaque","Assentamento Andalucia.","-55.7513889","-20.7927777","202","202",NA,"Flor branca. Fruto verde. Habitat: Floresta Estacional Decídua. Habito: Subarbusto. 0,8m de altura.","CGMS1057737",NA,"2016","09",NA,NA,"02","-55,7513889","-20,7927777",NA,NA,NA,NA,NA,NA
"10","2021-04-07 11:43:18-03","UFMS","CGMS","18153","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","leptobotryus","Croton leptobotryus","Müll.Arg.","I. Cordeiro","C.A. Polido; et al.","52","2006","07","01",NA,"Brasil","Mato Grosso do Sul","Corumbá","Estrada para Forte Coimbra.","-57.6533012390137","-19.0091991424561",NA,NA,NA,"Flor branca. Habitat: Chaco. Habito: arvoreta (1,5 m).","CGMS1047446",NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
