"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","coordinatePrecision","individualCount","geoFlag","continentOcean","preparationType","previousCatalogNumber","infraspecificEpithet","typeStatus","class","relatedCatalogItem","fieldNumber","sex"
"1","2021-04-05 14:33:25-03","UNESC","CRI","6200","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","geniculata","Eleocharis geniculata","(L.) Roem. & Schult.","R. Trevisan","2010","10","27","Robson dos Santos; Clair M. Martinello","259","1996","07","09","Brasil","Santa Catarina","Araranguá","Morro dos Conventos.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4","Restinga","CRI002006","CRI002006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:25-03","UNESC","CRI","6043","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","geniculata","Eleocharis geniculata","(L.) Roem. & Schult.","R. Trevisan","2010","10","27","Robson dos Santos; Clair M. Martinello","268","1996","09","01","Brasil","Santa Catarina","Araranguá","Morro dos Conventos.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4",NA,"CRI002007","CRI002007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:25-03","UNESC","CRI","924","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","interstincta","Eleocharis interstincta","(Vahl) Roem. & Schult.","R. Trevisan","2011","08","17","Vanilde C. Zanette; A. J. de Aguiar","1233","1988","09","26","Brasil","Santa Catarina","Içara","Lagoa do Faxinal.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","52","52",NA,"CRI002009","CRI002009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:25-03","UNESC","CRI","309","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","interstincta","Eleocharis interstincta","(Vahl) Roem. & Schult.","R. Trevisan","2011","08","17","Vanilde C. Zanette; L. Scardielli & C. Bittencourt","533","1986","04","24","Brasil","Santa Catarina","Tubarão","Banhado da Estiva.","-49.007222","-28.467222","49º0'26''W","28º28'2''S","11","11",NA,"CRI002011","CRI002011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:10-03","UNESC","CRI","5125","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","interstincta","Eleocharis interstincta","(Vahl) Roem. & Schult.","R. Trevisan","2011","08","17","Vanilde C. Zanette; V. Boff","2278","1996","11","07","Brasil","Santa Catarina","Capivari de Baixo","Estiva dos Prego.","-48.958056","-28.445278","48º57'29''W","28º26'43''S",NA,NA,"Habitat: solo encharcado e turfoso","CRI002012","CRI002012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:25-03","UNESC","CRI","7817","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","interstincta","Eleocharis interstincta","(Vahl) Roem. & Schult.","R. Trevisan","2011","08","17","T. B. Guimarães; Daniel de Barcelos Falkenberg","740","2004","10","23","Brasil","Santa Catarina","Florianópolis","Parque Municipal das Dunas da Lagoa da Conceição, Ilha de Santa Catarina, próximo ao estacionamento da Joaquina.","-48.48","-27.592222","48º28'48''W","27º35'32''S","17","17","Habitat: Baixada alagada, entre dunas, na restinga Habito: erva","CRI002008","CRI002008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:25-03","UNESC","CRI","920","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","interstincta","Eleocharis interstincta","(Vahl) Roem. & Schult.","R. Trevisan","2011","08","17","Vanilde C. Zanette; Aurélio Aguiar","1222","1988","09","26","Brasil","Santa Catarina","Içara","Lagoa dos Freitas.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","52","52",NA,"CRI002010","CRI002010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:50-03","FZB-BH","CVJBFZB","1949","S","Plantae","Cyperaceae","Eleocharis","geniculata","Eleocharis geniculata","(L.) Roem. & Schult.","Leandro L. Giacomin","2007","05",NA,"Juliana Ordones Rego; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo",NA,"2006","09","15","Brasil","Minas Gerais","Marliéria","Lagoa Dom Helvécio - Margem direita da praia","-42.7322006225586","-19.7122001647949",NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Poales","28215","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:38:39-03","E","E","195597","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","geniculata","Eleocharis geniculata",NA,NA,NA,NA,NA,"Saltzmann",NA,"1905","01","04","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00195597 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00195597",NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:199972",NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:38:39-03","E","E","195598","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","geniculata","Eleocharis geniculata",NA,NA,NA,NA,NA,"Saltzmann",NA,"1905","01","04","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00195598 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00195598",NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:199969",NA,NA,NA,NA,NA,NA
