"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","continentOcean","imagecode","preparationType"
"1","2020-11-13 09:20:27-03","UFRJ","RFA","8344","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","loddigesii","Cirrhaea loddigesii","Lindl.","G.F.J. Pabst","1965","05","09","G.G. Hatschbach","12285","1965","01","31","Brasil","Paraná","Morretes","Morro 7","-48.834400177002","-25.476900100708","30514","Epífita. Flor creme esverdeada salpicadas de bordeau.","RFA31578","auto",NA,NA,NA,NA,NA,NA
"2","2021-03-31 13:40:48-03","MN","R","3035","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","loddigesii","Cirrhaea loddigesii","Lindl.","Sampaio, A.J.",NA,NA,NA,"Dusén, P.K.H.","3791","1904","02",NA,"Brasil","Paraná","Ipiranga",NA,"-50.5842018127441","-25.0238990783691","31827",NA,NA,"auto",NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:40:48-03","MN","R","107350","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","loddigesii","Cirrhaea loddigesii","Lindl.","Pabst, G.F.J.","1962","04","15","Vidal, J.","II - 424","1952","02",NA,"Brasil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344","38539",NA,NA,"auto","1200","1200",NA,NA,NA,NA
"4","2020-12-21 16:38:19-03","MBM","MBM","49130","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","loddigesii","Cirrhaea loddigesii tigrina","Porch.","Pabst, G.",NA,NA,NA,"Hatschbach, G.","8737","1961","12","23","Brazil","Paraná","Tijucas do Sul","Matulão","-49.1988983154297","-25.9281005859375","25228","Epífita.","MBM049130","auto",NA,NA,"tigrina","Southern America",NA,NA
"5","2020-12-21 16:38:19-03","MBM","MBM","49131","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","loddigesii","Cirrhaea loddigesii tigrina","Porch.","Pabst, G.",NA,NA,NA,"Hatschbach, G.","12285","1965","01","31","Brazil","Paraná","Morretes","Morro Sete","-48.834400177002","-25.476900100708","30514","Epífita.","MBM049131","auto",NA,NA,"tigrina","Southern America","MBM049131",NA
"6","2014-10-09 13:58:27-03","UHH","HBG","500261","S","Plantae","Orchidaceae","Cirrhaea","loddigesii","Cirrhaea loddigesii","Lindl.","? Kränzlin",NA,NA,NA,"Dusén, P.","10291","1910","02","09","Brazil",NA,NA,"Paraná, in regione litorali",NA,NA,NA,NA,"HBG500261",NA,NA,NA,NA,"South America",NA,NA
"7","2017-09-11 17:11:34-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cirrhaea","loddigesii","Cirrhaea loddigesii","Lindl.",NA,NA,NA,NA,"Loddiges, CL","s.n.",NA,NA,NA,"Brazil",NA,NA,"Habitat in Brasilia loco accurato haud indicato",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America","P03P5N0102",NA
"8","2017-09-11 17:11:34-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cirrhaea","loddigesii","Cirrhaea loddigesii","Lindl.",NA,NA,NA,NA,"Comm. Geogr.Geol. S. Paulo","2869?",NA,NA,NA,"Brazil",NA,NA,"in prov. S. Paulo ad Serra Negra, Campo Grande",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America","P03P5N0102",NA
"9","2017-09-11 17:11:34-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cirrhaea","loddigesii","Cirrhaea loddigesii","Lindl.",NA,NA,NA,NA,"Comm. Geogr.Geol. S. Paulo","2869",NA,NA,NA,"Brazil",NA,NA,"in prov. S. Paulo ad Serra Negra, Campo Grande",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America","P03P5N0102",NA
"10","2017-09-11 17:11:34-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cirrhaea","loddigesii","Cirrhaea loddigesii","Lindl.",NA,NA,NA,NA,"Loddiges, CL","s.n.",NA,NA,NA,"Brazil",NA,NA,"Habitat in Brasilia loco accurato haud indicato",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America","P03P5N0102",NA
"11","2017-09-11 17:11:34-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cirrhaea","obtusata","Cirrhaea obtusata","Lindl.",NA,NA,NA,NA,"Harrison, R","s.n.",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Habitat in prov. Rio de Janeiro supra arbores ad Tijuca",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA
"12","2017-09-11 17:11:34-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cirrhaea","obtusata","Cirrhaea obtusata","Lindl.",NA,NA,NA,NA,"Harrison, R","s.n.",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Habitat in prov. Rio de Janeiro supra arbores ad Tijuca",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA
"13","2017-09-11 17:11:34-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cirrhaea","pallida","Cirrhaea pallida","Lindl.",NA,NA,NA,NA,"Loddiges, CL","s.n.(Hort.",NA,NA,NA,"Brazil",NA,NA,"Habitat in Brasilia loco accurato haud indicato",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA
"14","2017-09-11 17:11:34-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cirrhaea","pallida","Cirrhaea pallida","Lindl.",NA,NA,NA,NA,"Loddiges, CL","s.n.(Hort.",NA,NA,NA,"Brazil",NA,NA,"Habitat in Brasilia loco accurato haud indicato",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA
"15","2021-03-03 22:00:02-03","FLAS","FLAS","178436","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","loddigesii","Cirrhaea loddigesii","Lindl.",NA,NA,NA,NA,"Mark Whitten","90218",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"[Label footing:] Voucher for NSF grant Chemosystematics and Pollination Biology of Gongora",NA,NA,NA,NA,NA,NA,NA,"Preserved herbarium specimen"
"16","2019-11-21 10:13:02-03","IBt","SP","357560","S","Plantae","Orchidaceae","Cirrhaea","loddigesii","Cirrhaea loddigesii","Lindl.","Pinheiro, F","2001","01",NA,"Campacci, MA","s.n.","2000","07",NA,"Brasil","São Paulo","Bertioga","Restinga de Boracéia. Cultivada no Orquidário do Instituto de Botânica, sob nº 17405, fl. em II.2001","-46.138599395752","-23.8544006347656","37616",NA,NA,"auto",NA,NA,NA,NA,NA,NA
