"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","locality","occurrenceRemarks","coordinatePrecision","geoFlag","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","imagecode","continentOcean","infraspecificEpithet"
"1","2019-08-20 10:05:15-03","UNICAMP","UEC","194009","S","Plantae","Magnoliopsida","Asteraceae","Cololobus","longiangustatus","Cololobus longiangustatus","(G.M.Barroso) H.Rob.","Monge, M","2017","06","Pereira, OJ","2047","1989","06","20","Brazil","Espírito Santo","Vitória","-40.570833","-20.543611","-40.570833","-20.543611","UEC190043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:23:50-03","UNICAMP","UEC","194007","S","Plantae","Magnoliopsida","Asteraceae","Cololobus","longiangustatus","Cololobus longiangustatus","(G.M.Barroso) H.Rob.","Monge, M","2017","04","Lorencini, TS; et al.","183","2009","02","07","Brazil","Espírito Santo","Santa Maria De Jetibá","-40.816667","-21.433333","-40.816667","-21.433333","UEC190038","Garrafão, Sítio Renascer (elevação de 1030 metros).","Planta rupestre, cerca de 1,50 metros de altura. Inflorescência lilás.; Floresta Ombrófila Densa Montana. Afloramento Rochoso.",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-20 10:05:15-03","UNICAMP","UEC","194008","S","Plantae","Magnoliopsida","Asteraceae","Cololobus","longiangustatus","Cololobus longiangustatus","(G.M.Barroso) H.Rob.","Monge, M","2015","04","Vinha, PC","1169","1990","11","11","Brazil","Espírito Santo","Serra","-40.520833","-20.223889","-40.520833","-20.223889","UEC190041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:23:50-03","UNICAMP","UEC","204456","S","Plantae","Magnoliopsida","Asteraceae","Cololobus","longiangustatus","Cololobus longiangustatus","(G.M.Barroso) H.Rob.","Monge, M","2017","07","Fernandes, HQB","1231","1985","06","11","Brazil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617",NA,NA,"UEC024572","Divisa da Estação Biológica de Santa Lúcia.","Sub-arbusto com 2m. alvo piloso, capítuls castanhos claros e alguns com flores lilases, holiófila.","23813","auto",NA,NA,NA,NA,NA,NA
"5","2020-04-27 16:08:50-03","UFES","VIES","18997","S","Plantae",NA,"Asteraceae","Cololobus","longiangustatus","Cololobus longiangustatus","( G.M.Barroso ) H.Rob.","Lorencini, T.S.; Siqueira, V.B.","2009","02","Lorencini, T.S.; Siqueira, V.B. & Braun, A.","183","2009","02","07","Brasil","Espírito Santo","Santa Maria de Jetibá","-40.816667","-20.15","40º49'0''W","20º8'60''S","VIES018997","Garrafão. Sítio Renascer.","Afloramento Rochoso",NA,NA,"08","1030","1030","VIES018997",NA,NA
"6","2020-04-27 16:08:50-03","UFES","VIES","821","S","Plantae",NA,"Asteraceae","Cololobus","longiangustatus","Cololobus longiangustatus","( G.M.Barroso ) H.Rob.",NA,NA,NA,"Pereira, O.J.","1384","1985","10","21","Brasil","Espírito Santo","Vitória","-40.3377990722656","-20.3194007873535",NA,NA,"VIES000821","Reta da Penha.",NA,"15291","auto",NA,NA,NA,"VIES000821",NA,NA
"7","2020-12-11 11:32:44-03","UFMG","BHCB","150565","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Cololobus","longiangustatus","Cololobus longiangustatus","H.Rob.",NA,"2005",NA,"Fontana, AP; Kollmann, L","1266","2005","04","05","Brasil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617",NA,NA,"BHCB003197","Santo Antônio, Propriedade de J.Dalmaschio","Rupestre, 2m, flores lilás com estames brancos.","23813","auto",NA,NA,NA,NA,"Southern America",NA
"8","2020-07-10 09:45:14-03","MBML","MBML-HERBARIO","48430",NA,"Plantae",NA,"Compositae","Cololobus","longiangustatus","Cololobus longiangustatus","(G.M.Barroso) H.Rob.","L. Kollmann",NA,NA,"L. Kollmann","12487","2012","09","19","Brasil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617",NA,NA,"MBML048430","Canaã","Paredão rochoso, arbusto rupícola, flores lilás","23813","auto",NA,"330","330","MBML048430",NA,NA
"9","2020-07-10 09:45:14-03","MBML","MBML-HERBARIO","33582",NA,"Plantae",NA,"Compositae","Cololobus","longiangustatus","Cololobus longiangustatus","(G.M.Barroso) H.Rob.","A.P. Fontana/13-05-2013",NA,NA,"C. Esgario; et al","162","2007","05","11","Brasil","Espírito Santo","São Roque do Canaã","-40.775278","-19.796944","40W46'31","19S47'49","MBML033582","Alto Misterioso","Rupícola, heliófila, subarbusto 1,50m, flores lilás.",NA,NA,NA,NA,NA,"MBML033582",NA,NA
"10","2020-07-10 09:45:14-03","MBML","MBML-HERBARIO","45558",NA,"Plantae",NA,"Compositae","Cololobus","longiangustatus","Cololobus longiangustatus","(G.M.Barroso) H.Rob.","A.M. Teles/VIII-2015",NA,NA,"L. Kollmann; A.P.Fontana & C.N.Fraga","12677","2013","04","25","Brasil","Espírito Santo","Santa Leopoldina","-40.614444","-20.173056","40W36'52","20S10'23","MBML045558","Luxemburgo, Pedra Preta","Arbusto 15m rupícola ao sol, flores lilás",NA,NA,NA,"900","900","MBML045558",NA,NA
"11","2020-07-10 09:45:14-03","MBML","MBML-HERBARIO","23150",NA,"Plantae",NA,"Compositae","Cololobus","longiangustatus","Cololobus longiangustatus","(G.M.Barroso) H.Rob.","M. Monge/VIII-2011",NA,NA,"A. P. Fontana; et al","877","2004","04","10","Brasil","Espírito Santo","Itaguaçu","-40.981111","-19.741389","40W58'52","19S44'29","MBML023150","Pedra do Caparaó","1M. Flores lilás.",NA,NA,NA,NA,NA,"MBML023150_1 MBML023150_2",NA,NA
"12","2020-07-10 09:45:14-03","MBML","MBML-HERBARIO","23773",NA,"Plantae",NA,"Compositae","Cololobus","longiangustatus","Cololobus longiangustatus","(G.M.Barroso) H.Rob.","M. Monge/2018",NA,NA,"L. Kollmann; et al","7597","2005","03","26","Brasil","Espírito Santo","Castelo","-41.100556","-20.519167","41W6'2","20S31'9","MBML023773","Parque Estadual do Forno Grande","Erva 1m, rupestre no sol, flores lilás.",NA,NA,NA,NA,NA,"MBML023773",NA,NA
"13","2020-07-10 09:45:14-03","MBML","MBML-HERBARIO","29761",NA,"Plantae",NA,"Compositae","Cololobus","longiangustatus","Cololobus longiangustatus","(G.M.Barroso) H.Rob.","A.P. Fontana/13-05-2013",NA,NA,"C. Esgario","23","2006","07","16","Brasil","Espírito Santo","São Roque do Canaã","-40.775278","-19.796944","40W46'31","19S47'49","MBML029761","Alto Misterioso","Rupestre, heliófila, herbácea-arbustiva 1,2m, flores lilás.",NA,NA,NA,NA,NA,"MBML029761",NA,NA
"14","2020-07-10 09:45:14-03","MBML","MBML-HERBARIO","30830",NA,"Plantae",NA,"Compositae","Cololobus","longiangustatus","Cololobus longiangustatus","(G.M.Barroso) H.Rob.","A.P. Fontana/13-05-2013",NA,NA,"L. Kollmann; A.P. Fontana, W. Saslawski & A Saslawski","9843","2007","07","05","Brasil","Espírito Santo","São Roque do Canaã","-40.739444","-19.760833","40W44'22","19S45'39","MBML030830","Pedra dos Três Carneiros","Arbusto. Rupícola no sol, flores lilás.",NA,NA,NA,"600","600","MBML030830",NA,NA
"15","2020-07-10 09:45:14-03","MBML","MBML-HERBARIO","37570",NA,"Plantae",NA,"Compositae","Cololobus","longiangustatus","Cololobus longiangustatus","(G.M.Barroso) H.Rob.","M. Monge/VIII-2011",NA,NA,"R. C. Forzza; C.N.Fraga & R.Goldenberg","5443","2009","01","21","Brasil","Espírito Santo","Castelo","-41.083611","-20.516111","41W5'1","20S30'58","MBML037570","Parque Estadual do Forno Grande. Trilha para o Forninho. Floresta Ombrófila Densa Altomontana com Inselbergues.","Arbusto virgato, ca. 1,5m alt. Folhas discolores. Capítulos com brácteas involucrais verdes com margem vinácea; flores róseas.",NA,NA,NA,"1400","1400","MBML037570",NA,NA
