"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","continentOcean","country","stateProvince","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","month","day","county","locality","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","relationshipType","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","484557","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Aniseia","martinicensis","nitens","Aniseia martinicensis nitens","(Choisy) O'Donell","D. F. Austin","L. Zehntner","1994","1912","South America","Brazil","Bahia","-39.039072","-15.159747","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=263585' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484557","NY00484557_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1014464","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Aniseia","martinicensis","nitens","Aniseia martinicensis nitens","(Choisy) O'Donell","D. F. Austin","F. E. Drouet","2686","1935","South America","Brazil","Ceará","-38.6856","-3.8908","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1120669' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014464","NY01014464_01","11","06","Maranguape","Maracanahú.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01919517","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Aniseia","martinicensis",NA,"Aniseia martinicensis","(Jacq.) Choisy",NA,"D. G. Campbell","21997","1974","South America","Brazil","Amazonas","-57.7541775","-3.4058142","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2149784' target='other'> <mi>dwc_moreinfo</mi></a>","NY01919517","NY01919517_01","04","20","Maués","Across river Maués, farm of Sr. Francisco Merheri.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1919519","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Aniseia","martinicensis",NA,"Aniseia martinicensis","(Jacq.) Choisy",NA,"C. A. Cid Ferreira","2420","1980","South America","Brazil","Pará","-55.8319992","-1.7682579","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2149789' target='other'> <mi>dwc_moreinfo</mi></a>","NY01919519","NY01919519_01","08","12","Oriximiná","Rio Trombetas, margem esquerda, lago Iripixi.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1919523","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Aniseia","martinicensis",NA,"Aniseia martinicensis","(Jacq.) Choisy",NA,"I. L. do Amaral","142","1982","South America","Brazil","Amazonas","-64.43","-3.5525","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2149793' target='other'> <mi>dwc_moreinfo</mi></a>","NY01919523","NY01919523_01","10","20","Tefé","Rio Solimões, margem direita, lago do Caiambé.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1013629","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Aniseia","martinicensis",NA,"Aniseia martinicensis","(Jacq.) Choisy","D. F. Austin","E. P. Heringer","1386","1979","South America","Brazil","Distrito Federal","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1101127' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013629","NY01013629_01","05","05","Brasília","Área de inundação da Baragem do São Bartolomeu-Rio Taboca.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01919531","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Aniseia","martinicensis",NA,"Aniseia martinicensis","(Jacq.) Choisy",NA,"N. A. Rosa","4090","1981","South America","Brazil","Pará","-49.6633449","-3.7667316","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2149801' target='other'> <mi>dwc_moreinfo</mi></a>","NY01919531","NY01919531_01","04","08","Tucuruí","Margem direita do Rio Tocantins às proximidades da barragem.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1919520","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Aniseia","martinicensis",NA,"Aniseia martinicensis","(Jacq.) Choisy",NA,"L. Coradin","1052","1977","South America","Brazil","Roraima","-61.1560822","1.7806572","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2149790' target='other'> <mi>dwc_moreinfo</mi></a>","NY01919520","NY01919520_01","11","09",NA,"Along BR 174 road Between Caracaraí - Rio Branco (Raft.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-30 12:08:00-03","NY","NYBG","1919521","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Aniseia","martinicensis",NA,"Aniseia martinicensis",NA,NA,"C. A. Cid Ferreira","3956","1983","South America","Brazil","Amazonas","-59.5939","-4.38778","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2149791' target='other'> <mi>dwc_moreinfo</mi></a>","NY01919521","NY01919521_01","06","29","Borba","Bacia do rio Amazonas, rio Canumã afluente do rio Madeira, igarapé Caiaué",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1919518","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Aniseia","martinicensis",NA,"Aniseia martinicensis","(Jacq.) Choisy",NA,"S. A. Mori","11932","1979","South America","Brazil","Bahia","-39.02","-14.18","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2149788' target='other'> <mi>dwc_moreinfo</mi></a>","NY01919518","NY01919518_01","06","12","Maraú","Rod. BR 030, trecho Ubaitaba/Maraú, 45-50 km a leste de Ubaitaba","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
