"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","yearIdentified","monthIdentified","dayIdentified","continentOcean","occurrenceRemarks","class","order","minimumElevationInMeters","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","preparationType","typeStatus","individualCount","relatedCatalogItem"
"1","2019-12-04 15:25:38-03","PUCPR","HUCP","20162","S","Plantae","Eudicotiledonea","Passifloraceae","Passiflora","campanulata","Passiflora campanulata","Mast.","Cervi, AC","Selusniaki, M","1400","2007","10","27","Brasil","Paraná","Quatro Barras","Morro do Anhangava","-49.0769004821777","-25.3656005859375","17116","HUCP00016514","HUCP00016514","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-04 15:25:38-03","PUCPR","HUCP","344","S","Plantae","Eudicotiledonea","Passifloraceae","Passiflora","campanulata","Passiflora campanulata","Mast.","Lervi, AC","Arcerina, V P","004",NA,NA,NA,"Brasil","Paraná","Morretes","Serra do Mar","-48.834400177002","-25.476900100708","30514","HUCP00016614","HUCP00016614","auto","1982","05","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:22:10-03","UFBA","ALCB","101151","PreservedSpecimen","Plantae","Dicotyledon","Passifloraceae","Passiflora","campanulata","Passiflora campanulata","Mast.","Cervi, AC","Silva, JM; Cordeiro, J","7553","2010","03","13","Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, estrada para o Pico das Agulhas Negras.","-44.5633010864258","-22.4960994720459","19648","ALCB043268","ALCB043268","auto","2010",NA,NA,"Southern America","Flor alvacenta. Fruto creme.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 12:15:41-03","ESALQ","ESA","140574","PreservedSpecimen","Plantae",NA,"Passifloraceae","Passiflora","campanulata","Passiflora campanulata","Mart.","Gibau, A.","Gibau, A.; Silva-Filho, A.A. ; Brito, T.R.O. ; Santos, P.M.L.A.","209.0","2016","12","14","Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina - Floresta Ombrófila Densa Altomontana","-44.7131004333496","-23.2178001403809","34470","ESA140574",NA,"auto","2018","12","11",NA,"Liana. Pecíolo e caule jovem avermelhados com indumento esbranquiçado. Brácteas verde-claras e internamente com mancha longitudinal esbranquiçada no meio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-07-02 14:03:36-03","JBP","HPL","11650","S","Plantae",NA,"Passifloraceae","Passiflora","campanulata","Passiflora campanulata",NA,"H. Lorenzi","H. Lorenzi","6230","2007","02","13","Brasil","SP","Nova Odessa","Coletado e cultivado no Jardim Botânico Plantarum; originária de Jaguariaíva-PR, em beira de capoeira.","-47.29","-22.77","8440",NA,NA,"auto","2007","02","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-07-02 14:03:36-03","JBP","HPL","6301","S","Plantae",NA,"Passifloraceae","Passiflora","campanulata","Passiflora campanulata","Mast.","H. Lorenzi","H. Lorenzi","3538","2002","11","10","Brasil","SP","Campinas","Cultivado no IAC, porém cultivado também no Instituto Plantarum.","-47.06","-22.9","23900",NA,NA,"auto","2002","11","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-07-02 14:03:36-03","JBP","HPL","4058","S","Plantae",NA,"Passifloraceae","Passiflora","cf. campanulata","Passiflora cf. campanulata","Mast,","H. Lorenzi","H. Lorenzi","5107","2005","03","03","Brasil","MG","Caeté","Coletada próximo a serra da Piedade.","-43.6697","-19.88","22051",NA,NA,"auto","2005","03","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-27 13:34:05-03","IAP","PACA-AGP","97472","PreservedSpecimen","Plantae","Magnoliophyta","Passifloraceae","Passiflora","campanulata","Passiflora campanulata","Mast.","A. C. Araújo","Ohlweiler, A. A.","545","1999","11","25","Brasil","RS","Santa Maria do Herval",NA,"-50.9928016662598","-29.4981002807617","10918","PACA097472",NA,"auto","1999",NA,NA,NA,"HASU 7587","Magnoliatae","Violales",NA,NA,NA,NA,NA,NA,NA,NA
"9","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0044178","PreservedSpecimen","Plantae","Magnoliophyta","Passifloraceae","Passiflora","campanulata","Passiflora campanulata","Mast.","A. C. Cervi","G. Hatschbach; A. R. Campos","57920","1992","9","25","Brazil","Parana",NA,"Estrada das Praias, próximo ao Rio da Vila (mun. Paranáguá)","-48.5","-25.5167",NA,NA,NA,NA,NA,NA,NA,NA,"Escandente; flores alvas, estaminódios com base levemente rosada.",NA,"Malpighiales","10",NA,NA,NA,NA,NA,NA,NA
"10","2020-07-02 18:55:46-03","UFJF","CESJ","37587","PreservedSpecimen","Plantae","Angiosperma","Passifloraceae","Passiflora","campanulata","Passiflora campanulata","Mast.","D.C. Imig","A.S.M. Valente; F.S. Araújo","166","2002","03","23","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Extremidade norte.","-43.793098449707","-21.8425006866455","30417","CESJ037587",NA,"auto","2014","01","28","América do Sul","Liana no campo rupestre. Folhas discolores. Flores de cálice verde, corola alva, corona alva (fileira interior rósea), androginóforo róseo, demais peças esverdeadas, anteras e estigmas em verde escuro. Pólen amarelado.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
