"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","year","month","day","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","individualCount","phylum","class","order","coordinatePrecision","geoFlag","recordNumber","continentOcean","preparationType","relationshipType","relatedCatalogItem","fieldNumber","previousCatalogNumber"
"1","2021-04-05 14:33:50-03","UNESC","CRI","5390","PreservedSpecimen","Plantae","Orchidaceae","Leptotes","bicolor","Leptotes bicolor","Lindl.","Jorge Waechter","1996","11","23","T. Silva","Brasil","Santa Catarina","Maracajá","-49.454444","-28.848056","49º27'16''W","28º50'53''S","CRI005846","CRI005846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:50-03","UNESC","CRI","11338","PreservedSpecimen","Plantae","Orchidaceae","Leptotes","bicolor","Leptotes bicolor","Lindl.","Peterson T. Padilha","2015","09","08","Gabriel Waterkemper Girardi; Guilherme Alves Elias, Peterson Teodoro Padilha e Renato Colares Pereira","Brasil","Santa Catarina","Criciúma","-49.431944","-28.69","49º25'55''W","28º41'24''S","CRI005847","CRI005847","2015","09","08","Parque Ecológico Municipal José Milanese.","58","58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:50-03","UNESC","CRI","12929","PreservedSpecimen","Plantae","Orchidaceae","Leptotes","bicolor","Leptotes bicolor","Lindl.","Alexandre Medeiros","2017","10","10","Alexandre Medeiros","Brasil","Santa Catarina","Balneário Camboriú","-48.637778","-27.001389","48º38'16''W","27º0'5''S","CRI011537","CRI011537","2017","10","10","Laranjeiras",NA,NA,"Coleta 630. Habito: Epífita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:27-03","FZB-BH","CVJBFZB","4450","S","Plantae","Orchidaceae","Leptotes","bicolor","Leptotes bicolor",NA,"Carlos Alberto Ferreira Júnior","2018","09","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2146","S","Plantae","Orchidaceae","Leptotes","bicolor","Leptotes bicolor","Lindl.",NA,NA,NA,NA,"Eugenio Tameirão;","Brasil","Minas Gerais","Joanesia","-42.6786003112793","-19.1721992492676",NA,NA,NA,NA,NA,NA,NA,"Usina Porto Estrela",NA,NA,"254","1","Magnoliophyta","Equisetopsida","Asparagales","21197","auto",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1032113","PreservedSpecimen","Plantae","Orchidaceae","Leptotes","bicolor","Leptotes bicolor","Lindl.","F. C. Hoehne",NA,NA,NA,"F. C. Hoehne","Brazil","São Paulo",NA,"-46.724373","-23.565521",NA,NA,"NY01032113","NY01032113_01","1919","09","25","Butantan.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190536' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Asparagales",NA,NA,"3447","South America","sheet",NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1032114","PreservedSpecimen","Plantae","Orchidaceae","Leptotes","bicolor","Leptotes bicolor","Lindl.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","Brazil","Paraná","Sao José da Boa Vista","-49.6519","-23.9158",NA,NA,"NY01032114","NY01032114_01","1970","11","19","Rio Jaguariaiva, Carreirra",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190537' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Asparagales",NA,NA,"25558","South America","sheet",NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","468224","PreservedSpecimen","Plantae","Orchidaceae","Leptotes","bicolor","Leptotes bicolor","Lindl.","G. A. Romero",NA,NA,NA,"W. W. Thomas","Brazil","Bahia","Uruçuca","-39.0617","-14.4231",NA,NA,"NY00468224",NA,"1992","05","08","7.3 km N of Serra Grande on road to Itacaré.",NA,NA,"A joint project with the Centro de Pesquisas do Cacau, Bahia. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=19957' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Asparagales",NA,NA,"9237","South America","fluid-preserved",NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","566047","PreservedSpecimen","Plantae","Orchidaceae","Leptotes","bicolor","Leptotes bicolor","Lindl.",NA,NA,NA,NA,"J. G. Jardim","Brazil","Bahia","Uruçuca","-39.1019","-14.485",NA,NA,"NY00566047","NY00566047_01","2000","07","27","Uruçuca: Parque Estadual Serra do Condurú. Rod. Serra Grande/Uruçuca ca. 9.4 km, Serra do Conduru vertente E","250","450","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=19960' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Asparagales",NA,NA,"3069","South America","sheet",NA,NA,NA,NA
"10","2021-02-18 09:30:22-03","UNESP-IBB","BOTU","9104","PreservedSpecimen","Plantae","Orchidaceae","Leptotes","bicolor","Leptotes bicolor","Lindl.","Pabst, G.F.","1972","12","17","Amaral Jr., A.","Brasil","São Paulo","Pardinho",NA,NA,"9999","9999","BOTU009104",NA,"1972","11","23","Próximo ao Rio Santo Inácio, a 57km de Botucatu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
