"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","typeStatus","fieldNumber","individualCount","class","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","454399","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","gilgiana","Mollinedia gilgiana","Perkins","A. L. Peixoto","W. W. Thomas","9290","1992","05","14","South America","Brazil","Bahia","Wenceslau Guimaraes","Ca. 3 km W of Nova Esperança, W edge of Reserva Estadual Wenceslau Guimarães.","-39.7222222","-13.5972222","500","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=619058' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454399","NY00454399_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","454370","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","gilgiana","Mollinedia gilgiana","Perkins",NA,"H. C. de Lima","3487","1989","03","10","South America","Brazil","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima, Nascente do Rio das Flores","-42.5311","-22.2819",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=348676' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454370","NY00454370_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02636694","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","gilgiana","Mollinedia gilgiana","Perkins","A. L. Peixoto","P. Fiaschi","2861","2005","03","18","South America","Brazil","Bahia","Camacan","RPPN Sera Bonita, 9,7Km a W de Camacan na estrada para Jacarecí, ramal para a RPPN, ca. 6Km da entrada.","-39.5653","-15.3917","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2475366' target='other'> <mi>dwc_moreinfo</mi></a>","NY02636694","NY02636694_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02636695","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","gilgiana","Mollinedia gilgiana","Perkins","A. L. Peixoto","P. Fiaschi","2861","2005","03","18","South America","Brazil","Bahia","Camacan","RPPN Sera Bonita, 9,7Km a W de Camacan na estrada para Jacarecí, ramal para a RPPN, ca. 6Km da entrada.","-39.5653","-15.3917","850","850","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3384503' target='other'> <mi>dwc_moreinfo</mi></a>","NY02636695","NY02636695_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02796292","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","gilgiana","Mollinedia gilgiana","Perkins","A. L. Peixoto","A. M. Amorim","4427","2004","12","08","South America","Brazil","Bahia","Camacan","Camacã: Fazenda Serra Bonita, RPPN SERRA BONITA, 9.7 km W de Camacã na estrada para Jacarecí, daí 6 km SW na estrada para a RPPN e Torre da Embratel.","-39.5653","-15.3917","835","835","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2474202' target='other'> <mi>dwc_moreinfo</mi></a>","NY02796292","NY02796292_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","454369","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","gilgiana","Mollinedia gilgiana","Perkins",NA,"T. S. Pereira","s.n.","1992","02","19","South America","Brazil","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima, Area da Parcela I","-42.5311012268066","-22.2819004058838",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=348675' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454369","NY00454369_01","33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:35:45-03","UNICAMP","UEC","166771","S","Plantae","Magnoliopsida",NA,"Monimiaceae","Mollinedia","gilgiana","Mollinedia gilgiana","Perkins","Peixoto","Padgurschi, MCG; Tamashiro, JY; Belinello, R","694","2008",NA,NA,NA,"Brazil","São Paulo","São Luiz do Paraitinga","PESM. Núcleo Santa Virgínia. Parcela K.","-45.068056","-23.325278","1054","1093",NA,"K0781 Árvore, ca. 9,5 m, sem flores ou frutos.&nf;Abundância: 4 ind ha(-1).; Floresta Ombrófila Densa Montana.","UEC039895","UEC039895",NA,NA,"2009","-45.068056","-23.325278",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-20 10:20:36-03","UNICAMP","UEC","147696","S","Plantae","Magnoliopsida",NA,"Monimiaceae","Mollinedia","gilgiana","Mollinedia gilgiana","Perkins","Lirio, EJ","Campos, MCR; Assis, MA; Guilherme, FAG; Mania, L","66","2006","03","27",NA,"Brazil","São Paulo","Picinguaba","Parque Estadual da Serra do Mar, Parcela E na Trilha do Corisco (Projeto Temático Biota Gradiente Funcional)",NA,NA,NA,NA,NA,"indivíduo E0086, altura 9m","UEC128132",NA,NA,NA,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:35:45-03","UNICAMP","UEC","148913","S","Plantae","Magnoliopsida",NA,"Monimiaceae","Mollinedia","gilgiana","Mollinedia gilgiana","Perkins","Aranha, BA","Aranha, BA","553","2007","01","09",NA,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio, Parcela J","-45.084167","-23.366389","380","380",NA,"Individuo regenerante no sobosque.",NA,NA,NA,NA,"2008","-45.084167","-23.366389",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:35:45-03","UNICAMP","UEC","167027","S","Plantae","Magnoliopsida",NA,"Monimiaceae","Mollinedia","gilgiana","Mollinedia gilgiana","Perkins","Lirio, EJ","Stefani, EJF; Belinello, R; Galvão, JC","187","2011","06","28",NA,"Brazil","São Paulo","Paraibuna","Parque Estadual da Serra do Mar.","-45.536111","-23.605833","800","900",NA,"Árvore com 7 m.; Mata Atlântica.","UEC059329","UEC059329",NA,NA,"2016","-45.536111","-23.605833",NA,NA,NA,NA,NA,NA,NA,NA
