"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","229970","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","maroma","Ficus maroma","A.Cast.","C. C. Berg","D. C. Daly","8341","1994","09","23","South America","Brazil","Acre","Tarauacá","Rio Tarauacá, river at low water. Seringal Universo, Colocaçao Cumaru.","-71.08767","-8.279","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171564' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229970","NY00229970_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02172516","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","pallida","Ficus pallida","Vahl",NA,"J. G. Kuhlmann","166","1923","02",NA,"South America","Brazil","Amazonas",NA,"Rio Branco. Benquerer.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2326158' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172516","NY02172516_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","865319","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","pallida","Ficus pallida","Vahl","C. C. Berg","G. T. Prance","7358","1968","09","18","South America","Brazil","Acre","Tarauacá","Vicinity of Tarauacá","-70.77","-8.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=232870' target='other'> <mi>dwc_moreinfo</mi></a>","NY00865319","NY00865319_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1188817","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","pallida","Ficus pallida","Vahl","C. C. Berg","C. S. Pessôa","427","2007","09","22","South America","Brazil","Acre","Rio Branco","Igarapé São Francisco do Espalha. Colocação São Francisco.","-67.8099975585938","-9.9747200012207","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1316874' target='other'> <mi>dwc_moreinfo</mi></a>","NY01188817","NY01188817_01","178770","164","164","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02172596","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","schumacheri","Ficus schumacheri","(Liebm.) Griseb.",NA,"D. C. Daly","1260","1981","11","08","South America","Brazil","Pará",NA,"Rio Caraipé, approx. 60km from Tucuruí, SW on road serving Fazendas","-49.9007982","-4.1911223","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2326477' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172596","NY02172596_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2172598","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","schumacheri","Ficus schumacheri","(Liebm.) Griseb.",NA,"N. T. da Silva","1310","1968","10","25","South America","Brazil","Pará",NA,"R. Jarí, Monte Dourado, Planalto B. (Pilão).","-52.6008224","-0.8809315","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2326482' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172598","NY02172598_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2172597","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","schumacheri","Ficus schumacheri","(Liebm.) Griseb.",NA,"Collector unspecified","1620","1987","03","29","South America","Brazil","Pará","Almeirim","Próximo St. Antonio da Cachoeira.","-52.52","-0.65","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2326481' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172597","NY02172597_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:45:22-03","EAO","IAN","38941","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Moraceae","Ficus","pallida","Ficus pallida","Vahl","Berg, CC","Little Jr.; El","8442","1944","08","13",NA,"Colômbia",NA,NA,"Suaza, Huila. Depto. del Huila; Cordillra Oriental.",NA,NA,NA,"Tree 10m; 40cm. dbh. Bark gray, smooth. White latex. Tree in upland grass pasture along fence.","IAN038941","IAN038941 IAN038941_e",NA,NA,NA,NA,"2001","03","09",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:45:22-03","EAO","IAN","38945","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Moraceae","Ficus","pallida","Ficus pallida","Vahl","Berg, CC","Little Jr.; El","8151","1944","06","25",NA,"Colômbia",NA,NA,"Flood plain of Rio Magdalena, at Neiva, Huila. Depto. del Huila; Cordillera Oriental.",NA,NA,NA,"Several trees on fence in flood forest, to 15m; 80cm. dbh, white latex. Immature fruit.","IAN038945","IAN038945 IAN038945_e",NA,NA,NA,NA,"2011","03","09",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:45:22-03","EAO","IAN","86096","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Moraceae","Ficus","pallida","Ficus pallida","Vahl","Berg, CC","Castañeda, RR","840","1948","03","01",NA,"Colômbia",NA,NA,"Magdalena: Pueblo Bello.",NA,NA,NA,"Arbol de 10m. Estípulos marrones. Fruto obato-globoso, verde con puntos rojos; 2 síconos en cada axila.","IAN086096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
