"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","880183","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bradea","anomala","Bradea anomala","Brade","A. P. Fontana","4807","2008","02","12","South America","Brazil","Espírito Santo","Castelo","Trilha para as piscinas.","-41.0836","-20.5161","1100","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2536872' target='other'> <mi>dwc_moreinfo</mi></a>","NY00880183","NY00880183_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:42:57-03","MBM","MBM","392840","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Bradea","anomala","Bradea anomala","Brade","Fontana, A.P.; Goldenberg, R.; Meirelles, J.; Goldenberg, R.; Meirelles, J.","5866","2009","04","09","Southern America","Brazil","Espírito Santo","Castelo","Afloramento por baixo do Mirante, beira do pasto","-41.083611","-20.516111","1100","1400",NA,"Arbusto, ca. 1m. Rupícola ao sol. Flores brancas-arroxeadas.; Inselbergue.","MBM392840","MBM392840","Oliveira, J.A.","2019","02","21","-41.083611","-20.516111",NA,NA,NA
"3","2021-02-11 17:21:30-03","UFPR","UPCB","65796","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Bradea","anomala","Bradea anomala","Brade","Fraga, C.N.","2368","2009","01","21",NA,"Brasil","Espírito Santo","Castelo","BLOQUEADO",NA,NA,"1100","1400",NA,"Arbusto ca. 50cm. Folhas verdes com nervuras impressas. Flores com sépalas verdes, com o ápice roxo, pétalas rosas. Frutos secos castanhos..","UPCB0038536","UPCB0038536","Oliveira, J.A.","2019","02",NA,"9999","9999",NA,NA,NA
"4","2021-02-11 17:21:30-03","UFPR","UPCB","66833","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Bradea","anomala","Bradea anomala","Brade","Fontana, A.P.","5866","2009","04","09",NA,"Brasil","Espírito Santo","Castelo","BLOQUEADO",NA,NA,"1100","1400",NA,"Arbusto, ca. 1m. Rupícola no sol. Flores brancas-arroxeadas..","UPCB0038535","UPCB0038535","Oliveira, J.A","2019","02",NA,"9999","9999",NA,NA,NA
"5","2021-02-11 17:21:30-03","UFPR","UPCB","69980","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Bradea","anomala","Bradea anomala","Brade","Fraga, C.N.","2242","2008","10","14",NA,"Brasil","Espírito Santo","Castelo","BLOQUEADO",NA,NA,"1500","1850",NA,"Rupícola, heliófila, arbusto ereto ca. 30cm. Flores de sépalas verdes, pétalas de base branca e ápice rosa. Frutos castanhos..","UPCB0038538","UPCB0038538","Oliveira, J.A.","2019","02",NA,"9999","9999",NA,NA,NA
"6","2021-02-11 17:21:30-03","UFPR","UPCB","71089","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Bradea","anomala","Bradea anomala","Brade","Kollmann, L.","10566","2008","02","12",NA,"Brasil","Espírito Santo","Castelo","BLOQUEADO",NA,NA,"1100","1100",NA,"Arbusto 1m rupícola no sol, flores lilás. Material prensado em álcool..","UPCB0038539","UPCB0038539","Oliveira, J.A.","2019","02",NA,"9999","9999",NA,NA,NA
"7","2021-02-11 17:21:30-03","UFPR","UPCB","76678","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Bradea","anomala","Bradea anomala","Brade.","Fontana, A.P.","4807","2008","02","12",NA,"Brasil","Espírito Santo","Castelo","Trilha para as piscinas. Floresta Ombrófila Densa Altomontana com inselbergues. Elev.: 1100-1400m","-41.084","-20.516",NA,NA,NA,"Arbusto, no sol. Frutos verdes. Material prensado em álcool..",NA,NA,"Forzza, R. C.","2009",NA,NA,"-41.084","-20.516",NA,NA,NA
"8","2020-07-10 09:49:04-03","MBML","MBML-HERBARIO","48239",NA,"Plantae",NA,NA,"Rubiaceae","Bradea","anomala","Bradea anomala","Brade","J.A. Oliveira; F.M. Silva","290","2013","01","24",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande. Subida para o Forninho. Afloramento rochoso granítico com Epidendrum, Alcantarea e Clusia","-41.096667","-20.518333",NA,NA,NA,"Subarbusto, até 1m alt., saxícola, heliófilo. Folhas discolores, inflorescência verde, cálice verde com ápice das sépalas lilases, corola com tubo alvo e lobos rosas. Material em sílica. Material prensado em álcool","MBML048239",NA,NA,NA,NA,NA,"41W5'48","20S31'6",NA,NA,NA
"9","2020-07-23 12:20:07-03","CEPLAC","CEPEC","129668","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Bradea","anomala","Bradea anomala",NA,"L. Kollmann","10566","2008","02","12",NA,"Brasil","Espírito Santo","cariacica","Parque Estadual do Forno Grande. Trilha para o Forninho.","-41.083611","-20.516111",NA,NA,NA,NA,NA,NA,"J. G. Jardim",NA,NA,NA,"41W5'1","20S30'58","30/01/2010",NA,NA
"10","2020-07-23 12:20:07-03","CEPLAC","CEPEC","132586","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Bradea","anomala","Bradea anomala",NA,"L. Kollmann","11635","1971","05","07",NA,"Brasil","Espírito Santo","ALEGRE","Pedra da Caveira da Anta.","-41.389167","-39.340833",NA,NA,NA,NA,NA,NA,"J. G. Jardim",NA,NA,NA,"41W23'21","39S20'27","30/07/2010",NA,NA
"11","2020-07-23 12:20:07-03","CEPLAC","CEPEC","129521","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Bradea","anomala","Bradea anomala",NA,"A. P. Fontana","4807","2008","02","12",NA,"Brasil","Espírito Santo","castelo","Trilha para as piscinas.","-41.083611","-20.516111",NA,NA,NA,NA,NA,NA,"J. G. Jardim",NA,NA,NA,"41W5'1","20S30'58","30/10/2010",NA,NA
"12","2020-07-23 12:20:07-03","CEPLAC","CEPEC","131095","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Bradea","anomala","Bradea anomala",NA,"C. N. Fraga","2368","2009","01","21",NA,"Brasil","Espírito Santo","castelo","Parque Estadual do Forno Grande. Trilna na mata para o Forninho.","-41.083611","-20.516111",NA,NA,NA,NA,NA,NA,"J. A. Oliveira",NA,NA,NA,"41W5'1","20S30'58","30/11/2012",NA,NA
"13","2020-07-23 12:20:07-03","CEPLAC","CEPEC","130596","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Bradea","anomala","Bradea anomala",NA,"C. N. Fraga","2242",NA,NA,NA,NA,"Brasil","Espírito Santo","castelo",NA,"-41.184700012207","-20.6035995483398",NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,"J. A. Oliveira",NA,NA,NA,NA,NA,NA,"23588","auto"
"14","2020-07-23 12:20:07-03","CEPLAC","CEPEC","132501","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Bradea","anomala","Bradea anomala",NA,"L. Kollmann","6824","2004","07","08",NA,"Brasil","Espírito Santo","MIMOSO DO SUL","Conceição do Muqui, Pontões.","-41.3664016723633","-21.0641994476318",NA,NA,NA,NA,NA,NA,"J. G. Jardim",NA,NA,NA,NA,NA,"30/12/2010","29430","auto"
