"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","phylum","order","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","previousCatalogNumber","infraspecificEpithet","sex"
"1","2019-06-10 10:10:27-03","FZB-BH","CVJBFZB","4487","S","Plantae","Orchidaceae","Stelis","argentata","Stelis argentata","Carlos Alberto Ferreira Júnior","2018","11","08","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4156990","PreservedSpecimen","Plantae","Orchidaceae","Stelis","argentata","Stelis argentata",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4490494' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","Lindl.","S. A. Mori","21576","1990","11","08","South America","French Guiana","Cayenne","Saül","On Route de Belizon north of Eaux Claires","-53","3.62","200","400","sheet","NY04156990","NY04156990_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02689421","PreservedSpecimen","Plantae","Orchidaceae","Stelis","argentata","Stelis argentata",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2964628' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","Lindl.","R. S. Cowan","38744","1954","12","12","South America","French Guiana",NA,NA,"Montagne de Kaw [which is near Camp Caimans]",NA,NA,"61","76","sheet","NY02689421","NY02689421_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1721980","PreservedSpecimen","Plantae","Orchidaceae","Stelis","argentata","Stelis argentata",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1045168' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","Lindl.","S. A. Mori","21233","1990","06","09","South America","Brazil","Amazonas",NA,"Rio Negro, near Ponto de Pagodão in the Paraná de Anavilhanas. Inundated forest along river.","-60.8158493","-2.6292723",NA,NA,"sheet","NY01721980","NY01721980_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02689626","PreservedSpecimen","Plantae","Orchidaceae","Stelis","argentata","Stelis argentata","G. Carnevali Fernández-Concha",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2966758' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","Lindl.","Á. Fernández","7022","1990","02",NA,"South America","Venezuela","Amazonas","Atabapo","Río Putaco, 19 km antes de desembocadura en el Río Ocamo, Raudal Xikita-pora","-64.55","2.93","215",NA,"sheet","NY02689626","NY02689626_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4156986","PreservedSpecimen","Plantae","Orchidaceae","Stelis","argentata","Stelis argentata",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4490490' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","Lindl.","S. A. Mori","21558","1990","11","08","South America","French Guiana","Cayenne","Saül","On Route de Belizon north of Eaux Claires","-53","3.62","200","400","sheet","NY04156986","NY04156986_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1721978","PreservedSpecimen","Plantae","Orchidaceae","Stelis","argentata","Stelis argentata",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1045161' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","Lindl.","R. S. Cowan","38133","1954","11","04","South America","Brazil","Amapá",NA,"Serra do Navio, Rio Amapari. T4-Ore Body, north of ore outcrops.",NA,NA,NA,NA,"sheet","NY01721978","NY01721978_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1721979","PreservedSpecimen","Plantae","Orchidaceae","Stelis","argentata","Stelis argentata",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1045166' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","Lindl.","R. S. Cowan","38066","1954","11","01","South America","Brazil","Amapá",NA,"Serra do Navio, Rio Amapari. Southeast lower slopes of Chumbo Ore Body",NA,NA,"150","150","sheet","NY01721979","NY01721979_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4156988","PreservedSpecimen","Plantae","Orchidaceae","Stelis","argentata","Stelis argentata",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4490492' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","Lindl.","S. A. Mori","22649","1992","10","27","South America","French Guiana","Cayenne","Saül","Between Eaux Claires and entrance to Grand Boeuf Mort.","-53.2","3.62","200","400","sheet","NY04156988","NY04156988_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4156993","PreservedSpecimen","Plantae","Orchidaceae","Stelis","argentata","Stelis argentata",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4490497' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","Lindl.","S. A. Mori","21530",NA,NA,NA,"South America","French Guiana","Cayenne","Saül","Near Eaux Claires along the Sentier Botanique","-53.2","3.62","200","400","sheet","NY04156993","NY04156993_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
