"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","continentOcean","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","fieldNumber","preparationType","individualCount"
"1","2019-08-27 13:27:21-03","IAP","PACA-AGP","91913","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Asterales","Compositae","Dendrophorbium","paranense","Dendrophorbium paranense","(Malme) Matzenb. & Baptista","C. Mondin","2001","11","Mondin, C.","2461","2001","11","11","Brasil","RS","São José dos Ausentes","Serra da Rocinha","-50.0657997131348","-28.7483005523682","42598","arbusto com cerca de 1 metro de altura, capítulos amarelos&nf;HASU 15694 Hábito: arbusto","PACA091913","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:31:42-03","UFJF","CESJ","37904","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Asteraceae","Dendrophorbium","paranense","Dendrophorbium paranense","(Malme) Matzenb. & Baptista","G. Hatschbach","1996",NA,"G. Hatschbach","63383","1995","09","22","Brasil","Paraná","Antonina","Usina Hidrel. Parigot de Souza, Cota 800","-48.7118988037109","-25.4286003112793","38300","Erva alta, 1,50 m, capítulos amarelos. Paredões rochosos úmidos, sombrios, próximo ao alto do morro.","CESJ037904","auto","América do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-21 14:31:42-03","UFJF","CESJ","63936","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Asteraceae","Dendrophorbium","paranense","Dendrophorbium paranense","(Malme) Matzenb. & Baptista","E. Barbosa; J. Cordeiro","2007","09","A.C. Cervi; et al.","9029","2007","09","15","Brasil","Paraná","General Carneiro","Fazenda Pizzatto","-51.315601348877","-26.4274997711182","33284","Arbusto ca. 2,5m; flores amarelas.","CESJ063936","auto","América do Sul","28",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-27 12:51:34-03","FURB","FURB","65678","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Dendrophorbium","paranense","Dendrophorbium paranense","(Malme) Matzenb. & Baptista","Funez, L.A.","2019","09","Funez, L.A.; Grings, M.","9378","2019","09","09","Brasil","Santa Catarina","Blumenau","Morro do Cachorro.","-49.0369444","-26.7733334",NA,"Flores amarelas Habitat: Borda da floresta Habito: Arbusto","FURB65678",NA,NA,"09","-49.0369444","-26.7733334","650","650","FURB65678",NA,NA,NA
"5","2021-03-16 17:50:45-03","UCS","HUCS","40264","PreservedSpecimen","Plantae","Angiospermae",NA,"Asterales","Asteraceae","Dendrophorbium","paranense","Dendrophorbium paranense","(Dusén) Matzenb. & Baptista","Cordeiro, J.; Barbosa, E.","2007","09","Cervi, A.C.","9029","2007","09","15","Brasil","Paraná","General Carneiro","Fazenda Pizzato","-51.315601348877","-26.4274997711182","33284","arbusto, 2,5 m - flores amarelas&nf;Herbário UPCB 59827",NA,"auto",NA,"28",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-16 08:38:32-03","UTFPR","HCF","15657","S","Plantae",NA,NA,NA,"Asteraceae","Dendrophorbium","paranense","Dendrophorbium paranense","(Malme) Matzenb. & Baptista","J.M. Silva","2007",NA,"J.M. Silva","6122","2007","10","25","Brasil","PR","Antonina","Usina Hidrelétrica Governador Parigot de","-48.7118988037109","-25.4286003112793","38300","arbusto, 2 m, capítulo amarelo. encosta do paredão da Floresta Atlântica.",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-09-04 07:26:21-03","MNHN","RECOLNAT_MNHN_P","P03729325","PreservedSpecimen",NA,NA,NA,NA,"Asteraceae","Dendrophorbium","paranense","Dendrophorbium paranense","(Malme) Matzenb & Baptiste","Teles",NA,NA,"Smith, L.B.|Klein, R.",NA,"1956","11","18","Brasil","Santa Catarina","Santo Amaro da Imperatriz","Head of gulf, eastern edge of Campo dos Padres, Dist. Anitapolis. Santo Amaro da Imperatriz, Santa Catarina, Sul, Brasil, América do Sul","-48.7785987854004","-27.6881008148193","22435",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03729325' target='other'> <mi>dwc_moreinfo</mi></a>","P03729325","auto",NA,NA,NA,NA,"1600",NA,"P03729325_01","7751","hb",NA
"8","2020-12-11 11:32:47-03","UFMG","BHCB","183213","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae","Dendrophorbium","paranense","Dendrophorbium paranense","(Malme) Matzenb. & Baptista",NA,NA,NA,"Freitas, FS; Machado, BM; Meyer, L","784","2014","05","20","Brasil","Rio de Janeiro","Itamonte","Parque Nacional do Itatiaia, Parte alta. Beira da estrada",NA,NA,NA,"Subarnusto ca 1,5m. Capítulos velhos, capítulo jovem amarelo",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-11 17:18:03-03","UFPR","UPCB","59827","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Dendrophorbium","paranense","Dendrophorbium paranense","(Malme) Matzemb. & Baptista","Cordeiro, J. & Barbosa, E.","2007","09","Cervi, A.C.","9029","2007","09","15","Brasil","Paraná","General Carneiro","Fazenda Pizzatto","-51.315601348877","-26.4274997711182","33284","Arbusto ca. 2,5m, flores amarelas..",NA,"auto",NA,"28",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","2403254","PreservedSpecimen","Plantae",NA,"Dicotyledonae","Asterales","Asteraceae","Dendrophorbium","paranense","Dendrophorbium paranense","(Malme) Matzenb. & V. Baptista",NA,NA,NA,"-- Reitz & Klein, --","7168","1958","9","18","Brazil","Santa Catarina",NA,"Santa Catarina, Serra do Oratorio, Bom Jardim, S. Joaquim.",NA,NA,NA,NA,"US01847019",NA,"South America",NA,NA,NA,"1500",NA,"US01847019_01",NA,NA,"1"
"11","2020-09-12 05:00:02-03","US","US","2841202","PreservedSpecimen","Plantae",NA,"Dicotyledonae","Asterales","Asteraceae","Dendrophorbium","paranense","Dendrophorbium paranense","(Malme) Matzenb. & V. Baptista",NA,NA,NA,"R. M. Klein","4561","1963","11","2","Brazil","Santa Catarina",NA,"Santa Catarina - Brasil. Urupema, Capoeira, Sao Joaquim.",NA,NA,NA,NA,"US01847017",NA,"South America",NA,NA,NA,"1200",NA,"US01847017_01",NA,NA,"1"
"12","2020-09-12 05:00:02-03","US","US","2280886","PreservedSpecimen","Plantae",NA,"Dicotyledonae","Asterales","Asteraceae","Dendrophorbium","paranense","Dendrophorbium paranense","(Malme) Matzenb. & V. Baptista",NA,NA,NA,"L. Smith & R. M. Klein","7751","1956","11","18","Brazil","Santa Catarina",NA,"Santa Catarina, Mun. Santo Amaro de Imperatiz: Head of hulf, eastern edge of Campo dos Padres, Dist. Anitapolis.",NA,NA,NA,NA,"US01847018",NA,"South America",NA,NA,NA,"1600",NA,"US01847018_01",NA,NA,"1"
"13","2019-10-07 09:11:22-03","UEFS","HUEFS","104534","PreservedSpecimen","Plantae","Angiospermae","Asteranae","Asterales","Asteraceae","Dendrophorbium","paranense","Dendrophorbium paranense","(Malme) Matzenb. & Baptista","A.M.Teles","2013","09","Hatschbach, G.","78274","2004","11","20","Brasil","Rio Grande do Sul","São José dos Ausentes","Serra da Rocinha.","-50.0657997131348","-28.7483005523682","42598","Campo, junto a córrego.","HUEFS0104534","auto",NA,NA,NA,NA,NA,NA,"HUEFS0104534",NA,NA,NA
