"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","continentOcean","locality","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","typeStatus","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-04-05 14:33:47-03","UNESC","CRI","4054","PreservedSpecimen","Plantae","Myrtaceae","Psidium","incanum","Psidium incanum","(O.Berg) Burret","Marcos Sobral","1990","01","10","J. A. Jarenkow","1989","12","10","Brasil","Rio Grande do Sul","Piratini","-53.104444","-31.448611","53º6'16''W","31º26'55''S","CRI005509","CRI005509",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:54-03","E","E","112727","PreservedSpecimen","Plantae","Myrtaceae","Psidium","incanum","Psidium incanum",NA,NA,NA,NA,NA,"Pedersen, Troels M.","1954","11","30","AR","Prov. de Corrientes","Dept. Enpedrado",NA,NA,NA,NA,"E00112727",NA,"3020","Temperate South America","Estancia Las Tres Marias, by Rió Paraná and tributaries.","herbarium specimen of unspecif","BGBASE:133905","<a href=http://data.rbge.org.uk/herb/E00112727 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","405528","PreservedSpecimen","Plantae","Myrtaceae","Myrtus","blanchetiana","Myrtus blanchetiana","O.Berg",NA,NA,NA,NA,"J. S. Blanchet","1841",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"NY00405528","NY00405528_01","3310","South America","Coracao","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368351' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2017-02-01 14:13:00-02","NY","NYBG","1288044","PreservedSpecimen","Plantae","Myrtaceae","Psidium","deltosepalum","Psidium deltosepalum",NA,NA,NA,NA,NA,"E. Hassler",NA,NA,NA,"Paraguay",NA,NA,NA,NA,NA,NA,"NY01288044","NY01288044_01","4400","South America","In regione fluminis Capibary","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1650978' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","617054","PreservedSpecimen","Plantae","Myrtaceae","Psidium","ovale","Psidium ovale","(Spreng.) Burret","C. E. B. Proença",NA,NA,NA,"M. G. Caxambú","1996","11","26","Brazil","Paraná","Piraquara","-49.025191","-25.507967",NA,NA,"NY00617054","NY00617054_01","s.n.","South America","Mananciais da Serra","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=47068' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","617053","PreservedSpecimen","Plantae","Myrtaceae","Psidium","ovale","Psidium ovale","(Spreng.) Burret","C. E. B. Proença",NA,NA,NA,"M. L. Kawasaki","1995","12","02","Brazil","Paraná","Sao José dos Pinhais","-49.2064","-25.5347",NA,NA,"NY00617053","NY00617053_01","903","South America","BR-277 para Zinco","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=47070' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00908495","PreservedSpecimen","Plantae","Myrtaceae","Psidium","salutare","Psidium salutare pohlianum","(O.Berg) Landrum","L. R. Landrum",NA,NA,NA,"H. S. Irwin","1970","01","29","Brazil","Minas Gerais",NA,"-43.2485756","-19.9480039",NA,NA,"NY00908495","NY00908495_01","25705","South America","Morro das Pedras, ca. 40 km N.E. of Patrocínio","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993830' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,"pohlianum","1000","1000",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00982215","PreservedSpecimen","Plantae","Myrtaceae","Psidium","salutare","Psidium salutare decussatum","(DC.) Landrum","L. R. Landrum",NA,NA,NA,"H. S. Irwin","1965","11","26","Brazil","Distrito Federal","Brasília","-48.15","-15.8",NA,NA,"NY00982215","NY00982215_01","10699","South America","Ca. 12 km W. of Taguatinga on road to Brasilândia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102708' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,"decussatum","1250","1250",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00917838","PreservedSpecimen","Plantae","Myrtaceae","Psidium","salutare","Psidium salutare decussatum","(DC.) Landrum","L. R. Landrum",NA,NA,NA,"H. S. Irwin","1970","02","26","Brazil","Distrito Federal","Brasília","-47.7958","-15.76075",NA,NA,"NY00917838","NY00917838_01","26671","South America","Ca. 2 km E. of Lago Paranoá, DF-6.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993946' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,"decussatum","1000","1000",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","685868","PreservedSpecimen","Plantae","Myrtaceae","Psidium","salutare","Psidium salutare salutare","(Kunth) O.Berg","L. R. Landrum",NA,NA,NA,"L. B. Smith","1964","12","07","Brazil","Santa Catarina","Campo Erê","-53.18","-26.37",NA,NA,"NY00685868","NY00685868_01","13826","South America","Fazenda Campo São Vicente, 24 km west Campo Erê","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=822332' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,"salutare","900","1000",NA,NA,NA,NA,NA,NA,NA
