"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","county","decimalLongitude","decimalLatitude","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","identifiedBy","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","class","dayIdentified","individualCount","fieldNumber","relatedCatalogItem","sex"
"1","2020-09-23 10:37:50-03","E","E","295045","PreservedSpecimen","Plantae","Compositae","Lessingianthus","elegans","Lessingianthus elegans","Reeves, R.D.; Baker, A.J.M.","204","1988","04","27","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:303132","<a href=http://data.rbge.org.uk/herb/E00295045 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00295045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:37:50-03","E","E","281825","PreservedSpecimen","Plantae","Compositae","Lessingianthus","elegans","Lessingianthus elegans","Brooks, R.R.; Reeves, R.D.; Baker, A.J.M.; Rizzo, J.A.","66","1988","04","13","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:293812","<a href=http://data.rbge.org.uk/herb/E00281825 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00281825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","894543","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","elegans","Lessingianthus elegans","A. F. Regnell","III664","1867","03","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963721' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894543","Magnoliophyta","Asterales","(Gardner) H.Rob.","Minas Gerais","Caldas","-46.3858","-21.9236","NY00894543_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","805060","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","elegans","Lessingianthus elegans","Rusell","366","1898","05",NA,"South America","Brazil","sheet",NA,"Ex Herv. C. G. e G. de S. Paulo n° 4029 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798111' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805060","Magnoliophyta","Asterales","(Gardner) H.Rob.","São Paulo",NA,NA,NA,"NY00805060_01","Ytú.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","894544","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","elegans","Lessingianthus elegans","J. A. Ratter","R.1533","1968","05","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963729' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894544","Magnoliophyta","Asterales","(Gardner) H.Rob.","Mato Grosso",NA,"-51.87","-12.9","NY00894544_01","Lagoa de Leo, 8 km. SW of the Base Camp of the Expedition (Base camp c. 270 km. N. of Xavantina).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","894542","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","elegans","Lessingianthus elegans","Z. A. Trinta","628","1964","03","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894542","Magnoliophyta","Asterales","(Gardner) H.Rob.","Minas Gerais",NA,NA,NA,"NY00894542_01","Entre Barbacena e Barroso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","894528","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","elegans","Lessingianthus elegans","J. B. E. Pohl","1482",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963477' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894528","Magnoliophyta","Asterales","(Gardner) H.Rob.","Goiás",NA,NA,NA,"NY00894528_01","Ad S. Cruz (C. Goyaz) Allegres e Engenho dos Bois S. Izidro.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","805063","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","elegans","Lessingianthus elegans","L. B. Smith","6739","1952","04","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798120' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805063","Magnoliophyta","Asterales","(Gardner) H.Rob.","Minas Gerais","Lagoa Santa","-43.92","-19.67","NY00805063_01","Northwest of Lagoa Santa","835","835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-27 13:04:00-03","NY","NYBG","805064","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","elegans","Lessingianthus elegans","J. Steinbach","1164","1915","04",NA,"South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798126' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805064","Magnoliophyta","Asterales",NA,"Santa Cruz",NA,NA,NA,NA,"Buena Vista","450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","894553","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","elegans","Lessingianthus elegans","H. S. Irwin","15201","1966","04","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963763' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894553","Magnoliophyta","Asterales","(Gardner) H.Rob.","Goiás","Formosa","-47.08283","-15.2905556","NY00894553_01","Serra do Morcêgo, near Côrrego Estrema, ca. 38 km N.E. of Formosa","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
