"record_id","modified","institutionCode","collectionCode","catalogNumber","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","basisOfRecord","identifiedBy","yearIdentified","monthIdentified","recordNumber","year","month","day","locality"
"1","2020-07-10 09:48:08-03","MBML","MBML-HERBARIO","47528","Plantae","Orchidaceae","Anathallis","kautskyi","Anathallis kautskyi","(Pabst) Pridgeon & M.W.Chase","R. Barbosa da Silva","Brasil","Espírito Santo","Marechal Floriano","-40.6831016540527","-20.4127998352051","23038","MBML047528","MBML047528","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 10:13:43-03","IBt","SP","249622","Plantae","Orchidaceae","Pleurothallis","kautskyi","Pleurothallis kautskyi","Pabst","Kautsky, RA","Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863","48150",NA,NA,"auto","S","Barros, F","1986","09","s.n.","1986","09","25","Margens do rio Jucu"
