"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","locality","decimalLongitude","decimalLatitude","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2020-09-23 10:41:47-03","E","E","394762","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","egensis","Eugenia egensis","isotype","Morong, Thomas (Rev.)","821","1905","03","02","E. Tropical South America","PY","Central","herbarium specimen of unspecif","BGBASE:442996","<a href=http://data.rbge.org.uk/herb/E00394762 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00394762",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:47-03","E","E","164074","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","egensis","Eugenia egensis",NA,"Pott, A., Barros, A.T.M. & Tomas, W.","5437","1989","11","23","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:171557","<a href=http://data.rbge.org.uk/herb/E00164074 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00164074",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00906946","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","egensis","Eugenia egensis",NA,"B. A. Krukoff","1549","1931","12","06","South America","Brazil","Rondônia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983496' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906946","Magnoliophyta","Myrtales","DC.","R. McVaugh","Angustura. Source of the Jatuarana River, Machado River region.","-62.2167","-8.8842","NY00906946_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","709933","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","egensis","Eugenia egensis",NA,"P. J. M. Maas","P13012","1971","05","16","South America","Brazil","Acre","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=769920' target='other'> <mi>dwc_moreinfo</mi></a>","NY00709933","Magnoliophyta","Myrtales","DC.","R. McVaugh","Porangaba, Rio Juruá-Mirim.","-72.7439","-8.2686","NY00709933_01","Porto Walter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00907300","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","egensis","Eugenia egensis",NA,"G. T. Prance","58558","1964","08","04","South America","Brazil","Tocantins","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985272' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907300","Magnoliophyta","Myrtales","DC.","J. E. Q. de Faria","West bank of Rio Tocantins, 8 km. north of Filadélfia.","-47.517972","-7.286786","NY00907300_01","Filadélfia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","330700","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","egensis","Eugenia egensis",NA,"M. Silveira","1032","1995","11","19","South America","Brazil","Acre","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=769921' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330700","Magnoliophyta","Myrtales","DC.","L. R. Landrum","Bacia do Alto Juruá, Rio Tarauacá, margem esquerda, seringal Sumaré (sede).","-71.4636","-8.5139","NY00330700_01","Tarauacá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2017-02-01 11:47:00-02","NY","NYBG","579920","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","egensis","Eugenia egensis",NA,"D. C. Daly","2219","1983","07","21","South America","Bolivia","Santa Cruz","sheet",NA,"Preserved with alcohol. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=769926' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579920","Magnoliophyta","Myrtales",NA,"B. K. Holst","Valle de Tucavaca, 30 km ENE of Santiago de Chiquitos.","-59.13","-18.33",NA,"Chiquitos","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00906945","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","egensis","Eugenia egensis",NA,"W. W. Thomas","4584","1985","10","25","South America","Brazil","Mato Grosso","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983490' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906945","Magnoliophyta","Myrtales","DC.","M. Sobral","Pantananl, 7-12 km SW of Rio Cassangé on rd to Porto Jofre (MT 060)","-56.95","-16.95","NY00906945_01","Poconé",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00906971","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","egensis","Eugenia egensis",NA,"G. T. Prance","59312","1964","10","09","South America","Brazil","Mato Grosso","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983492' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906971","Magnoliophyta","Myrtales","DC.","B. K. Holst","Serra do Roncador. 50 Km north of Chavantina, Rio Vau.","-52.1583","-14.0503","NY00906971_01","Água Boa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2700073","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","egensis","Eugenia egensis",NA,"C. A. Cid Ferreira","9437","1987","11","04","South America","Brazil","Pará","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2990201' target='other'> <mi>dwc_moreinfo</mi></a>","NY02700073","Magnoliophyta","Myrtales","DC.",NA,"Estrada Cuamba (ramal a direita da Estr. Lauro Sodré), 12 km de Alenquer, a caminho da Faz. Capintuba.","-54.65","-1.88",NA,"Alenquer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2017-01-12 11:10:00-02","NY","NYBG","00907372","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","egensis","Eugenia egensis",NA,"R. Reiss","s.n.","1932","10","31","South America","Brazil","Mato Grosso","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985488' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907372","Magnoliophyta","Myrtales",NA,"F. F. Mazine","Matto Grosso",NA,NA,"NY00907372_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01459732","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","egensis","Eugenia egensis",NA,"G. T. Prance","10299","1969","02","27","South America","Brazil","Amazonas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1332753' target='other'> <mi>dwc_moreinfo</mi></a>","NY01459732","Magnoliophyta","Myrtales","DC.","B. K. Holst","Basin of Rio Demeni, Vinicity of Tototobí","-63.5471213","1.576736","NY01459732_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","869538","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","egensis","Eugenia egensis",NA,"B. A. Krukoff","5761","1933","08","21","South America","Brazil","Acre","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623578' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869538","Magnoliophyta","Myrtales","DC.","F. F. Mazine","Basin of Rio Purus, near mouth of Rio Macauhan, (tributary of the Rio Iaco).","-69","-9.33","NY00869538_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00907304","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","egensis","Eugenia egensis",NA,"G. T. Prance","58652","1964","08","10","South America","Brazil","Tocantins","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985277' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907304","Magnoliophyta","Myrtales","DC.","J. E. Q. de Faria","Road Estreita to Tocantinópolis",NA,NA,"NY00907304_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01459776","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","egensis","Eugenia egensis",NA,"W. Milliken","M.254","1987","05","22","South America","Brazil","Roraima","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1336011' target='other'> <mi>dwc_moreinfo</mi></a>","NY01459776","Magnoliophyta","Myrtales","DC.","F. F. Mazine","SEMA Ecological Reserve, Ilha de Maracá.","-62.683333","3.716667","NY01459776_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","579916","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","egensis","Eugenia egensis",NA,"A. C. Cervi","2433","1986","12","05","South America","Brazil","Paraná","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=769922' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579916","Magnoliophyta","Myrtales","DC.","A. C. Cervi","Reserva Biológica de Sapitanduva.","-48.72","-25.42","NY00579916_01","Antonina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","330721","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","egensis","Eugenia egensis",NA,"M. Silveira","1503","1996","11","15","South America","Brazil","Acre","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=769925' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330721","Magnoliophyta","Myrtales","DC.","B. K. Holst","Rio Purus, margem esquerda, seringal Itatinga, colocaçao do Sr. Raimundo Cesar de Oliveira.","-69.439675","-9.022628","NY00330721_01","Manoel Urbano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","579918","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","egensis","Eugenia egensis",NA,"R. Vásquez Martínez","8474","1986","12","08","South America","Peru","Loreto","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=769924' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579918","Magnoliophyta","Myrtales","DC.","B. K. Holst","Nauta, carretera a Iquitos.","-73.58","-4.48",NA,"Maynas","150","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","1921352","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","egensis","Eugenia egensis",NA,"W. J. Burchell","9680",NA,NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2272015' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921352","Magnoliophyta","Myrtales","DC.","M. Sobral",NA,NA,NA,"NY01921352_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","709931","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","egensis","Eugenia egensis",NA,"P. J. M. Maas","P12858","1971","05","10","South America","Brazil","Acre","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479216' target='other'> <mi>dwc_moreinfo</mi></a>","NY00709931","Magnoliophyta","Myrtales","DC.","M. Sobral","Sao Francisco, Lower Rio Moa.","-72.67","-7.63111","NY00709931_01","Cruzeiro do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2016-10-19 09:42:00-02","NY","NYBG","579917","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","egensis","Eugenia egensis",NA,"L. R. Landrum","8761","1995","11","02","South America","Paraguay","Central","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=769929' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579917","Magnoliophyta","Myrtales",NA,NA,"Tavarory, Río Paraguay.","-57.5508","-25.4722",NA,NA,"100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
