"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","typeStatus","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2021-04-05 14:26:04-03","UNESC","CRI","14523","PreservedSpecimen","Plantae","Rutaceae","Raulinoa","echinata","Raulinoa echinata","R.S.Cowan","Esemann-Quadros, K","2010","08","11","Esemann-Quadros, K.; Teske, C.R. & Pozzan, A.M.","s.n.","2010","08","11","Brasil","Santa Catarina","Apiúna","Margens do Rio Itajaí-Açu. Margens do Rio Itajaí-Açu.","-49.471389","-27.091667","49º28'17''W","27º5'30''S","133","133","Coletada para projeto de pesquisa no local da população tipo. Habitat: Floresta Ombrófila Densa; rochoso, em corredeiras Habito: arbustiva; flor violácea","CRI013609","CRI013609",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:08-03","UNESC","CRI","11086","PreservedSpecimen","Plantae","Rutaceae","Raulinoa","echinata","Raulinoa echinata","R.S.Cowan","A. L. de Gasper","2013","12","15","A.L. de Gasper; L. A. Funez & F.Bittencourt","3425","2013","12","15","Brasil","Santa Catarina","Apiúna","próx.a Parada Beija-flor.","-49.39","-27.036111","49º23'24''W","27º2'10''S","90","90","Habitat: margem do rio Habito: arbustiva","CRI009683","CRI009683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1009372","PreservedSpecimen","Plantae","Rutaceae","Raulinoa","echinata","Raulinoa echinata","R.S.Cowan","P. Dias",NA,NA,NA,"P. Dias","261","2005","05","27","Brazil","Santa Catarina",NA,"Apiúna. BR 471. Localidade subida, ca. de 1500 m depois da ponte, rio Itajaí-açu, margem direita, muitos afloramentos rochosos na beira do rio.","-49.48622","-27.08161",NA,NA,"135",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1745485' target='other'> <mi>dwc_moreinfo</mi></a>","NY01009372","NY01009372_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1009373","PreservedSpecimen","Plantae","Rutaceae","Raulinoa","echinata","Raulinoa echinata","R.S.Cowan","P. Dias",NA,NA,NA,"P. Dias","263","2005","05","27","Brazil","Santa Catarina",NA,"Apiúna. BR 471. Localidade subida, ca. de 1500 m depois da ponte, rio Itajaí-açu, margem direita, muitos afloramentos rochosos na beira do rio.","-49.48144","-27.08547",NA,NA,"152",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1745486' target='other'> <mi>dwc_moreinfo</mi></a>","NY01009373","NY01009373_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","887200","PreservedSpecimen","Plantae","Rutaceae","Raulinoa","echinata","Raulinoa echinata","R.S.Cowan","R. Reitz",NA,NA,NA,"L. B. Smith","12410","1964","10","11","Brazil","Santa Catarina",NA,"Mun. Apiuna. Rocky frequently inundated margin of Rio Itajé-açu, Subida.","-49.42","-27.08",NA,NA,"100","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086265' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887200",NA,"Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","67126","PreservedSpecimen","Plantae","Rutaceae","Raulinoa","echinata","Raulinoa echinata","R.S.Cowan",NA,NA,NA,NA,"R. Reitz","3828","1956",NA,NA,"Brazil","Santa Catarina",NA,"Subida, Indaial",NA,NA,NA,NA,"100","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=284735' target='other'> <mi>dwc_moreinfo</mi></a>","NY00067126","NY00067126_01","Magnoliophyta","Sapindales","South America","sheet","isotype",NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","887199","PreservedSpecimen","Plantae","Rutaceae","Raulinoa","echinata","Raulinoa echinata","R.S.Cowan","R. S. Cowan",NA,NA,NA,"R. Reitz","7359","1958","10","19","Brazil","Santa Catarina","Indaial","Subiada, Indaial","-49.2317","-26.8981",NA,NA,"100","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086262' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887199",NA,"Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","67125","PreservedSpecimen","Plantae","Rutaceae","Raulinoa","echinata","Raulinoa echinata","R.S.Cowan",NA,NA,NA,NA,"R. Reitz","3828","1956",NA,NA,"Brazil","Santa Catarina",NA,"Subida, Indaial",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=284734' target='other'> <mi>dwc_moreinfo</mi></a>","NY00067125","NY00067125_01","Magnoliophyta","Sapindales","South America","sheet","isotype",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1009371","PreservedSpecimen","Plantae","Rutaceae","Raulinoa","echinata","Raulinoa echinata","R.S.Cowan","P. Dias",NA,NA,NA,"P. Dias","257","2005","05","27","Brazil","Santa Catarina",NA,"Apiúna. BR 471. Localidade subida, ca. de 1500 m depois da ponte, rio Itajaí-açu, margem direita, muitos afloramentos rochosos na beira do rio.","-49.46964","-27.0936",NA,NA,"137",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1745476' target='other'> <mi>dwc_moreinfo</mi></a>","NY01009371","NY01009371_01","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2020-11-24 17:11:02-03","UTFPR","DVPR","5844","PreservedSpecimen","Plantae","Rutaceae","Raulinoa","echinata","Raulinoa echinata","R.S.Cowan","Esemann-Quadros, K","2010","08","11","Esemann-Quadros, K; Teske, CR; Pozzan, AM","s.n.","2010","08","11","Brasil","Santa Catarina","Apiúna","Margem do Rio Itajaí-Açu.","-49.2817","-27.053","-49.2817","-27.053","133","133","Arbustiva, flor violácea; Floresta Ombrófila Densa, rochoso, em corredeiras.","DVPR005844",NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
