"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","infraspecificEpithet","recordNumber","continentOcean","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","relationshipType","relatedCatalogItem","typeStatus","fieldNumber","class","individualCount"
"1","2021-04-05 14:33:47-03","UNESC","CRI","5311","PreservedSpecimen","Plantae","Myrtaceae","Plinia","pseudodichasiantha","Plinia pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","Marcos Sobral","1994","03","30","J. A. Jarenkow; M. Sobral","1993","03","30","Brasil","Rio Grande do Sul","Morrinhos do Sul","-49.935","-29.365556","49º56'6''W","29º21'56''S","CRI005510","CRI005510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1114039","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","parviflora","Marlierea parviflora brachybotrya","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"G. G. Hatschbach","1968","05","30","Brazil","Paraná","Morretes","-48.8342","-25.4769",NA,NA,"NY01114039","NY01114039_01","Magnoliophyta","Myrtales","brachybotrya","19279","South America","Rio Sagrado de Cima","150","150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1257032' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","616906","PreservedSpecimen","Plantae","Myrtaceae","Plinia","brachybotrya","Plinia brachybotrya","(D.Legrand) Sobral","M. Sobral",NA,NA,NA,"J. M. Silva","1996","09","07","Brazil","Paraná","Campina Grande do Sul","-49.0553","-25.3058",NA,NA,"NY00616906","NY00616906_01","Magnoliophyta","Myrtales",NA,"1720","South America","Sítio do Belizário",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=560735' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","616905","PreservedSpecimen","Plantae","Myrtaceae","Plinia","brachybotrya","Plinia brachybotrya","(D.Legrand) Sobral","M. Sobral",NA,NA,NA,"J. M. Silva","1996","09","07","Brazil","Paraná","Campina Grande do Sul","-49.0553","-25.3058",NA,NA,"NY00616905","NY00616905_01","Magnoliophyta","Myrtales",NA,"1724","South America","Sítio do Belizário",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=560734' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","557915","PreservedSpecimen","Plantae","Myrtaceae","Plinia","pseudodichasiantha","Plinia pseudodichasiantha","(Kiaersk.) G.M.Barroso ex Sobral","J. E. Q. de Faria",NA,NA,NA,"J. R. Mattos","1962","01","05","Brazil","Rio de Janeiro","Petrópolis","-43.1783","-22.505",NA,NA,"NY00557915","NY00557915_01","Magnoliophyta","Myrtales",NA,"9685","South America","Petropolis, Serra da Estrela, Secretário, na base do Morro Maria Comprida",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479573' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:20:27-03","UFRJ","RFA","9373","PreservedSpecimen","Plantae","Myrtaceae","Plinia","brachybotrya","Plinia brachybotrya","(D.Legrand) Sobral","M. Sobral","2001",NA,NA,"G.G. Hatschbach","1967","08","03","Brasil","Paraná","Campina Grande do Sul","-49.0553016662598","-25.3055992126465",NA,NA,"RFA28039",NA,NA,NA,NA,"16878",NA,"Sítio do Belizário",NA,NA,NA,"Árvore 10 m de altura com 20 cm diametro. Casca lisa avermelhada","55154","auto",NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:21:41-03","UFBA","ALCB","125846","PreservedSpecimen","Plantae","Myrtaceae","Plinia","brachybotrya","Plinia brachybotrya","(D.Legrand) Sobral","Sobral, M","2003","11",NA,"Mazine, FF; Capelo, FA; Lucas, EJ; Silva, JM","2003","11","07","Brasil","Paraná","Quatro Barras","-48.859444","-25.228333","-48.859444","-25.228333","ALCB029996",NA,"Dicotyledon",NA,NA,"998","Southern America","Trilha para o Pico do Paraná",NA,NA,NA,"Frutos verde amarelados, embrião roxo.",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:21:41-03","UFBA","ALCB","131469","PreservedSpecimen","Plantae","Myrtaceae","Plinia","brachybotrya","Plinia brachybotrya","(D.Legrand) Sobral","Sobral, M","2006",NA,NA,"Duarte, AP; Hatschbach, G","1960","07","26","Brasil","Santa Catarina","Garuva","-48.8549995422363","-26.0266990661621",NA,NA,"ALCB048179","ALCB048179","Dicotyledon",NA,NA,"5342","Southern America","São Francisco do Sul",NA,NA,NA,"ca 15 m de altura em formação ciliar, tronco liso como de <em>Psidium guayava </em>","22441","auto",NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:21:41-03","UFBA","ALCB","125848","PreservedSpecimen","Plantae","Myrtaceae","Plinia","pseudodichasiantha","Plinia pseudodichasiantha","(Kiaersk.) Barroso ex Sobral","Souza, VC","2013",NA,NA,"Colletta, GD; Coelho, RLG; Caliari, CP; Barroso, R","2013","02","15","Brasil","São Paulo","Santa Isabel","-46.190556","-23.343889","-46.190556","-23.343889","ALCB029998",NA,"Dicotyledon",NA,NA,"812","Southern America","Fragmento 19 (tav)","690","690",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:15:04-03","ESALQ","ESA","123932","PreservedSpecimen","Plantae","Myrtaceae","Plinia","pseudodichasiantha","Plinia pseudodichasiantha",NA,"Souza, V.C.","2013",NA,NA,"Souza, V.C. ; Flores, T.B.","2013","05","01","Brasil","São Paulo","Tapiraí","-47.5","-23.9599990844727",NA,NA,"ESA123932",NA,"Magnoliophyta",NA,NA,"35033.0",NA,"Área da Cia. Votorantim. Trilha do Rio Dezembro.",NA,NA,NA,"Árvore, ca. 6 m alt. Vegetativo.","41034","auto",NA,NA,NA,NA,NA,NA
