"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","recordNumber","stateProvince","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","typeStatus","county","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","individualCount"
"1","2020-02-08 08:59:06-03","NBC","NL-BOTANY","U.1144563","PreservedSpecimen","Plantae","Magnoliopsidae","Cucurbitales","Begoniaceae","Begonia","pluvialis","Begonia pluvialis","L.B.Sm. ex S.F.Sm. & Wassh.","Hatschbach GG","1968","04","11","Southern America","Brazil","Colonia Floresta (mun. Morretes) Paraná.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1144563 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1144563","NL-U1144563",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0041205","PreservedSpecimen","Plantae",NA,"Cucurbitales","Begoniaceae","Begonia","pluvialis","Begonia pluvialis","L.B.Sm. ex S.F.Sm. & Wassh.","G. Hatschbach","1968","4","11",NA,"Brazil","Colonia Floresta (Mun. Morretes).","Planta carnosa, vermelha, cora exceção dos pelos e lado superior das folhas, flor alvescente.",NA,NA,"Magnoliophyta","G. Hatschbach","21328","Parana","-48.8167","-25.4667","50","100",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:18:02-03","MBM","MBM","11192","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","pluvialis","Begonia pluvialis","S.F. Sm. & Wassh.","Hatschbach, G.","1968","04","11","Southern America","Brazil","Colônia Floresta","Planta carnosa, vermelha, com exceção dos pelos e lado superior das folhas. Flor alvescente.; Dos matacões de granito da encosta de morro.","MBM011192","MBM011192",NA,"Smith, S.F.","21328","Paraná","-48.834400177002","-25.476900100708","50","100","1994","HOLOTYPE","Morretes","30514","auto",NA,NA,NA
"4","2020-12-21 16:18:02-03","MBM","MBM","25973","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","pluvialis","Begonia pluvialis","S.F. Sm. & Wassh.","Hatschbach, G.","1973","07","06","Southern America","Brazil","Morro Inglês",NA,"MBM025973","MBM025973",NA,NA,"32202","Paraná","-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,"Paranaguá","24916","auto",NA,NA,NA
"5","2020-12-21 16:18:02-03","MBM","MBM","7389","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","pluvialis","Begonia pluvialis","S.F. Sm. & Wassh.","Hatschbach, G.; Guimarães, O.; Guimarães, O.","1968","07","12","Southern America","Brazil","Floresta",NA,"MBM007389","MBM007389 MBM007389_1",NA,NA,"19494","Paraná","-48.834400177002","-25.476900100708",NA,NA,NA,NA,"Morretes","30514","auto",NA,NA,NA
"6","2020-12-21 16:18:02-03","MBM","MBM","53176","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","pluvialis","Begonia pluvialis","S.F. Sm. & Wassh.","Hatschbach, G.","1962","06","07","Southern America","Brazil","Serra da Prata","Sobre blocos de pedra, na mata pluvial. Flor alva, fruto imaturo vermelho; Flor alva, fruto imaturo vermelho.; Sobre blocos de pedra, na mata pluvial.","MBM053176","MBM053176",NA,NA,"9160","Paraná","-48.5092010498047","-25.5200004577637","100","100",NA,"PARATYPE","Paranaguá","24916","auto",NA,NA,NA
"7","2021-02-11 17:18:15-03","UFPR","UPCB","20252","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","pluvialis","Begonia pluvialis","L.B.Sm. ex S.F.Sm. & Wassh.","Hatschbach, G.","1962","06","07",NA,"Brasil","Serra da Prata","Flor alva, fruto imaturo vermelho. Sobre blocos de pedras, mata pluvial..","UPCB0002258","UPCB0002258",NA,"Hatschbach, G.","9160","Paraná","-48.5092010498047","-25.5200004577637","100","100",NA,"Isotype","Paranaguá","24916","auto",NA,NA,NA
"8","2021-02-11 17:18:15-03","UFPR","UPCB","20559","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","pluvialis","Begonia pluvialis","L.B.Sm. ex S.F.Sm. & Wassh.","Hatschbach, G.","1968","04","11",NA,"Brasil","Colônia Floresta","Planta carnosa, vermelha, com exceção dos pelos e lado superior das folhas, flor alvescente. Dos matacões de granito da encosta de morro. Alt. 50-100 m.s.n.m..",NA,NA,NA,"Hatschbach, G.","21328","Paraná","-48.834400177002","-25.476900100708",NA,NA,"1992",NA,"Morretes","30514","auto","01","01",NA
"9","2015-10-13 13:07:00-03","MO","MOBOT","2455425","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","pluvialis","Begonia pluvialis","L.B. Sm. ex S.F. Sm. & Wassh.","Gert G. Hatschbach","1968","4","11","South America","Brazil","Moretes. Colonia Floresta, dos matacões de granito de angusta de morro.",NA,NA,NA,NA,NA,"Hatschbach 21328","Paraná",NA,NA,"50.00000000","100.00000000",NA,"Isotype",NA,NA,NA,NA,NA,"1"
"10","2020-08-31 09:14:13-03","INPA","INPA","195565","S","Plantae",NA,"Cucurbitales","Begoniaceae","Begonia","pluvialis","Begonia pluvialis","L.B.Sm. ex S.F.Sm. & Wassh.","Hatschbach, GG","1968","04","11","Southern America","Brasil","Colônia Floresta",NA,"INPA0195565","INPA0195565 INPA0195565_e","Dicotyledon Rosids","Hatschbach, GG","21328","Paraná","-48.834400177002","-25.476900100708","50","100","1992",NA,"Morretes","30514","auto",NA,NA,NA
