"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","identifiedBy","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","individualCount","fieldNumber","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","512408","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Pabstiella","bradei","Pabstiella bradei","(Schltr.) Luer","G. G. Hatschbach","2610","1952","02","23","South America","Brazil","Paraná","Piraquara","Rio Taquari","-49.0631","-25.4419","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=156369' target='other'> <mi>dwc_moreinfo</mi></a>","NY00512408","NY00512408_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","512407","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Pabstiella","bradei","Pabstiella bradei","(Schltr.) Luer","G. G. Hatschbach","23280","1969","12","30","South America","Brazil","Paraná","Quatro Barras","Rio do Corvo","-49.0767","-25.3658","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=156370' target='other'> <mi>dwc_moreinfo</mi></a>","NY00512407","NY00512407_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:46:43-03","NBC","NL-BOTANY","U.1461484","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Pleurothallis","bradei","Pleurothallis bradei","Schltr.","Hatschbach GG; Haas H; Lindeman JC",NA,"1966","01","20","Southern America","Brazil",NA,NA,"Est. Parana (Brasil) Mun. Antonina. Rio Cotia, in rain forest 25 km N of Antonina.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1461484 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1461484","NL-U1461484",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-31 13:41:13-03","MN","R","43910","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","bradei","Pleurothallis bradei","Schltr.","Dusén, P.K.H.",NA,NA,NA,NA,NA,"Brasil","Paraná","Ipiranga",NA,"-50.5842018127441","-25.0238990783691",NA,NA,NA,NA,NA,NA,NA,"Hoehne, F.C.","31827","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-10-14 10:04:16-03","FURB","FURB","30982","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pabstiella","bradei","Pabstiella bradei","(Schltr.) Luer","Korte, A.; Kniess, A.","4358","2010","09","15",NA,"Brasil","Santa Catarina","Taió","Gramado.","-50.2205556","-27.0002778",NA,"Florística IFFSC 624 (Epífita) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita; flor amarela","FURB04690","FURB04690","893","893",NA,"Mancinelli, WS",NA,NA,"-50.2205556","-27.0002778",NA,NA,NA,NA,NA,NA
"6","2020-10-14 10:04:16-03","FURB","FURB","31131","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pabstiella","bradei","Pabstiella bradei","(Schltr.) Luer","Korte, A.; Kniess, A.","3626","2010","06","08",NA,"Brasil","Santa Catarina","Santa Terezinha","Imbuial.","-49.9505556","-26.6402777",NA,"Florística IFFSC 852 (Epífita) Habitat: Ecótono Floresta Ombrófila Mista e Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: epífita; flor marrom","FURB35930","FURB35930","626","626",NA,"Mancinelli, WS",NA,NA,"-49.9505556","-26.6402777","2013","11","11",NA,NA,NA
"7","2020-10-14 10:04:26-03","FURB","FURB","20343","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichosalpinx","bradei","Trichosalpinx bradei","(Schltr.) Luer","Korte, A.; Kniess, A.","1686","2010","02","05",NA,"Brasil","Santa Catarina","Santa Terezinha","Nova Esperança.","-49.9505556","-26.7302778",NA,"Florística IFFSC 797 (Epífita) Habitat: Ecótono Floresta Ombrófila Mista e Floresta Ombrófila Densa; Estágio médio de regeneração Habito: epífita; flor roxa","FURB04337","FURB04337","535","535",NA,"Mancinelli, WS",NA,NA,"-49.9505556","-26.7302778","2010","10","10",NA,NA,NA
"8","2019-08-16 08:40:26-03","UTFPR","HCF","11384","S","Plantae",NA,NA,"Orchidaceae","Pabstiella","bradei","Pabstiella bradei","(Schltr.) Luer","M.G. Caxambu","4349","2012","11","03",NA,"Brasil","SC","Itapema do Norte","Balneário Itapema","-48.622944","-26.060861",NA,"erva epífita, ciófila. Flores alvas, com labelos com numerosos pontos escuros em seu interior.",NA,NA,"7","7",NA,"J. Cordeiro",NA,NA,"48°37'22,6 W","26°03'39,1 S","2013",NA,NA,NA,NA,NA
"9","2020-12-21 16:38:44-03","MBM","MBM","6213","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","bradei","Pleurothallis bradei","Schltr.","Hatschbach, G.","17202","1967","09","14","Southern America","Brazil","Paraná","Antonina","Rio Copiúva","-48.7118988037109","-25.4286003112793",NA,NA,"MBM006213","MBM006213",NA,NA,NA,"Pabst, G.","38300","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:38:44-03","MBM","MBM","29924","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","bradei","Pleurothallis bradei","Schltr.","Hatschbach, G.; Haas, H.; Lindeman, J.; Haas, H.; Lindeman, J.","13578","1966","01","20","Southern America","Brazil","Paraná","Antonina","Rio Cotia","-48.7118988037109","-25.4286003112793",NA,NA,"MBM029924","MBM029924",NA,NA,NA,"Pabst, G.","38300","auto",NA,NA,NA,NA,NA,NA,NA,NA
