"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","identifiedBy","locality","individualCount","yearIdentified","monthIdentified","phylum","typeStatus"
"1","2021-01-12 09:32:48-03","IBt","SP-BRYOPHYTA","133188","S","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Gepp","Vital, D.M.","8314","1978","07","31","Southern America","BRASIL","Pernambuco","Fernando de Noronha","-32.410833","-3.840278","-32.410833","-3.840278","40","40","Sobre rochas no topo do pico","SP069820",NA,NA,NA,NA,NA,NA,NA
"2","2021-01-12 09:32:48-03","IBt","SP-BRYOPHYTA","133191","S","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Gepp","Vital, D.M.","8320","1978","07","31","Southern America","BRASIL","Pernambuco","Fernando de Noronha","-32.410833","-3.840278","-32.410833","-3.840278","40","40","No solo, sob vegetação rala e baixa próxima a base do pico","SP069822",NA,NA,NA,NA,NA,NA,NA
"3","2021-01-12 09:32:48-03","IBt","SP-BRYOPHYTA","133200","S","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Gepp","Vital, D.M.","8347","1978","08","04","Southern America","BRASIL","Pernambuco","Fernando de Noronha","-32.410833","-3.840278","-32.410833","-3.840278","40","40","associado a Fissidens veracruzensis Pursell e Fissidens reticulosus (C.M.) Mitt. No solo da mata rala, já na descida entre o Alto da Bandeira","SP069830",NA,NA,NA,NA,NA,NA,NA
"4","2016-12-28 10:27:00-02","MO","MOBOT","100945227","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Gepp","Orator F. Cook|G.B. Gilbert","Cook 1481","1915","6",NA,"South America","Peru","Cusco","La Convención","-72.7","-12.8666667",NA,NA,"900.00000000",NA,NA,NA,"S. Jovet-Ast","Santa Ana.","1",NA,NA,NA,NA
"5","2016-12-28 10:40:00-02","MO","MOBOT","100945228","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Gepp","R.C. Wingfield","Wingfield 13367","1984","12","15","South America","Venezuela","Falcón",NA,"-69.9333333","11.8666667",NA,NA,"650.00000000",NA,NA,NA,"S. Jovet-Ast","Paraguaná Peninsula: Cerro Santa Ana.","1",NA,NA,NA,NA
"6","2016-12-28 11:00:00-02","MO","MOBOT","100945232","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Gepp","R.C. Wingfield","Wingfield 13909","1985",NA,NA,"South America","Venezuela","Falcón",NA,"-69.6","10.7666667",NA,NA,"700.00000000",NA,NA,NA,"S. Jovet-Ast","60 km south of Coro, 2 km south of Maria.","1",NA,NA,NA,NA
"7","2021-03-01 11:51:32-03","UFPE","UFP","78066","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2592","2014","05","04",NA,"Brasil","Pernambuco","Fernando de Noronha",NA,"-3.858028",NA,"-3.858028","52","52","Sobre solo na trilha na mata próxima à estrada para a Praia do Americano","UFP078066","Reis, TR",NA,NA,"2014","05",NA,NA
"8","2021-03-01 11:51:32-03","UFPE","UFP","78067","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2593","2014","05","04",NA,"Brasil","Pernambuco","Fernando de Noronha",NA,"-3.858028",NA,"-3.858028","52","52","Sobre solo na trilha na mata próxima à estrada para a Praia do Americano","UFP078067","Reis, TR",NA,NA,"2014","05",NA,NA
"9","2021-03-01 11:51:32-03","UFPE","UFP",NA,"PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2605","2014","05","04",NA,"Brasil","Pernambuco","Fernando de Noronha",NA,"-3.857806",NA,"-3.857806","52","52","Solo entre rochas no topo do morro em frente à Praia do Americano",NA,"Reis, TR",NA,NA,"2014","05",NA,NA
"10","2021-03-01 11:51:32-03","UFPE","UFP","78019","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2603","2014","05","04",NA,"Brasil","Pernambuco","Fernando de Noronha",NA,"-3.857806",NA,"-3.857806","52","52","Solo entre rochas no topo do morro em frente à Praia do Americano","UFP078019","Reis, TR",NA,NA,"2014","05",NA,NA
"11","2021-03-01 11:51:32-03","UFPE","UFP","78070","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2613","2014","05","08",NA,"Brasil","Pernambuco","Fernando de Noronha",NA,"-3.856667",NA,"-3.856667","60","60","Sobre solo no interior de vegetação ao lado da trilha Longa Atalaia/Caieiras (trilha pelo alto da Serra)","UFP078070","Reis, TR",NA,NA,"2014","05",NA,NA
"12","2021-03-01 11:51:32-03","UFPE","UFP","78065","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2638","2014","05","10",NA,"Brasil","Pernambuco","Fernando de Noronha",NA,"-3.855472",NA,"-3.855472","30","30",NA,"UFP078065","Reis, TR",NA,NA,"2014","05",NA,NA
"13","2021-03-01 11:51:32-03","UFPE","UFP","77974","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2624","2014","05","09",NA,"Brasil","Pernambuco","Fernando de Noronha","-32.442806","-3.879167","-32.442806","-3.879167","200","200","Sobre solo e rocha com sedimento no primeiro mirante","UFP077974","Reis, TR",NA,NA,"2014","05",NA,NA
"14","2021-03-01 11:51:32-03","UFPE","UFP","77975","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2637","2014","05","10",NA,"Brasil","Pernambuco","Fernando de Noronha","-32.442806","-3.855472","-32.442806","-3.855472","30","30",NA,"UFP077975","Reis, TR",NA,NA,"2014","05",NA,NA
"15","2021-03-01 11:51:32-03","UFPE","UFP","77976","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2647","2014","05","10",NA,"Brasil","Pernambuco","Fernando de Noronha","-32.442806","-3.855472","-32.442806","-3.855472","30","30",NA,"UFP077976","Reis, TR",NA,NA,"2014","05",NA,NA
"16","2021-03-01 11:51:32-03","UFPE","UFP","77977","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2646","2014","05","10",NA,"Brasil","Pernambuco","Fernando de Noronha","-32.442806","-3.855472","-32.442806","-3.855472","30","30",NA,"UFP077977","Reis, TR",NA,NA,"2014","05",NA,NA
"17","2021-03-01 11:51:32-03","UFPE","UFP","77978","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2588","2014","05","04",NA,"Brasil","Pernambuco","Fernando de Noronha","-32.4435","-3.857583","-32.4435","-3.857583","22","22","Sobre solo na trilha no morro em frente à Praia do Americano","UFP077978","Reis, TR",NA,NA,"2014","05",NA,NA
"18","2021-03-01 11:51:32-03","UFPE","UFP","77979","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2587","2014","05","04",NA,"Brasil","Pernambuco","Fernando de Noronha","-32.4435","-3.857583","-32.4435","-3.857583","22","22","Sobre solo na trilha no morro em frente à Praia do Americano","UFP077979","Reis, TR",NA,NA,"2014","05",NA,NA
"19","2021-03-01 11:51:32-03","UFPE","UFP","77980","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2594","2014","05","04",NA,"Brasil","Pernambuco","Fernando de Noronha","-32.442806","-3.858028","-32.442806","-3.858028","52","52","Sobre solo na trilha na mata próxima à estrada para a Praia do Americano","UFP077980","Reis, TR",NA,NA,"2014","05",NA,NA
"20","2021-03-01 11:51:32-03","UFPE","UFP","77981","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2586","2014","05","04",NA,"Brasil","Pernambuco","Fernando de Noronha","-32.4435","-3.857583","-32.4435","-3.857583","22","22","Sobre solo na trilha no morro em frente à Praia do Americano","UFP077981","Reis, TR",NA,NA,"2014","05",NA,NA
"21","2021-03-01 11:51:32-03","UFPE","UFP","77982","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2585","2014","05","04",NA,"Brasil","Pernambuco","Fernando de Noronha","-32.4435","-3.857583","-32.4435","-3.857583","22","22","Sobre solo na trilha no morro em frente à Praia do Americano","UFP077982","Reis, TR",NA,NA,"2014","05",NA,NA
"22","2021-03-01 11:51:32-03","UFPE","UFP","77983","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2584","2014","05","04",NA,"Brasil","Pernambuco","Fernando de Noronha","-32.4435","-3.857583","-32.4435","-3.857583","22","22","Sobre solo na trilha no morro em frente à Praia do Americano","UFP077983","Reis, TR",NA,NA,"2014","05",NA,NA
"23","2021-03-01 11:51:32-03","UFPE","UFP","77984","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2582","2014","05","04",NA,"Brasil","Pernambuco","Fernando de Noronha","-32.4435","-3.857583","-32.4435","-3.857583","22","22","Sobre solo na trilha no morro em frente à Praia do Americano","UFP077984","Reis, TR",NA,NA,"2014","05",NA,NA
"24","2021-03-01 11:51:32-03","UFPE","UFP","77985","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2581","2014","05","04",NA,"Brasil","Pernambuco","Fernando de Noronha","-32.4435","-3.857583","-32.4435","-3.857583","22","22","Sobre solo na trilha no morro em frente à Praia do Americano","UFP077985","Reis, TR",NA,NA,"2014","05",NA,NA
"25","2021-03-01 11:51:32-03","UFPE","UFP","78018","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2583","2014","05","04",NA,"Brasil","Pernambuco","Fernando de Noronha","-32.4435","-3.857583","-32.4435","-3.857583","22","22","Sobre solo na trilha no morro em frente à Praia do Americano","UFP078018","Reis, TR",NA,NA,"2014","05",NA,NA
"26","2021-03-01 11:51:32-03","UFPE","UFP","78019","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2580","2014","05","04",NA,"Brasil","Pernambuco","Fernando de Noronha","-32.4435","-3.857583","-32.4435","-3.857583","22","22","Sobre solo na trilha no morro em frente à Praia do Americano","UFP078019","Reis, TR",NA,NA,"2014","05",NA,NA
"27","2021-03-01 11:51:32-03","UFPE","UFP","78020","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2598","2014","05","04",NA,"Brasil","Pernambuco","Fernando de Noronha","-32.442806","-3.857806","-32.442806","-3.857806","52","52","Solo entre rochas no topo do morro em frente à Praia do Americano","UFP078020","Reis, TR",NA,NA,"2014","05",NA,NA
"28","2021-03-01 11:51:32-03","UFPE","UFP","78021","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2635","2014","05","09",NA,"Brasil","Pernambuco","Fernando de Noronha","-32.442806","-3.871","-32.442806","-3.871","46","46","Sobre solo no interior de vegetação no Morro do Abreu, ao lado do Morro da Madeira","UFP078021","Reis, TR",NA,NA,"2014","05",NA,NA
"29","2021-03-01 11:51:32-03","UFPE","UFP","78022","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2634","2014","05","09",NA,"Brasil","Pernambuco","Fernando de Noronha","-32.442806","-3.871","-32.442806","-3.871","46","46","Sobre solo no interior de vegetação no Morro do Abreu, ao lado do Morro da Madeira","UFP078022","Reis, TR",NA,NA,"2014","05",NA,NA
"30","2021-03-01 11:51:32-03","UFPE","UFP","78023","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2633","2014","05","09",NA,"Brasil","Pernambuco","Fernando de Noronha","-32.442806","-3.871","-32.442806","-3.871","46","46","Sobre solo no interior de vegetação no Morro do Abreu, ao lado do Morro da Madeira","UFP078023","Reis, TR",NA,NA,"2014","05",NA,NA
"31","2021-03-01 11:51:32-03","UFPE","UFP","78024","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2632","2014","05","09",NA,"Brasil","Pernambuco","Fernando de Noronha","-32.442806","-3.871","-32.442806","-3.871","46","46","Sobre solo no interior de vegetação no Morro do Abreu, ao lado do Morro da Madeira","UFP078024","Reis, TR",NA,NA,"2014","05",NA,NA
"32","2021-03-01 11:51:32-03","UFPE","UFP","78025","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2631","2014","05","09",NA,"Brasil","Pernambuco","Fernando de Noronha","-32.442806","-3.871","-32.442806","-3.871","46","46","Sobre solo no interior de vegetação no Morro do Abreu, ao lado do Morro da Madeira","UFP078025","Reis, TR",NA,NA,"2014","05",NA,NA
"33","2021-03-01 11:51:32-03","UFPE","UFP","78026","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2629","2014","05","09",NA,"Brasil","Pernambuco","Fernando de Noronha","-32.442806","-3.871","-32.442806","-3.871","46","46","Sobre solo no interior de vegetação no Morro do Abreu, ao lado do Morro da Madeira","UFP078026","Reis, TR",NA,NA,"2014","05",NA,NA
"34","2021-03-01 11:51:32-03","UFPE","UFP","78027","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2618","2014","05","09",NA,"Brasil","Pernambuco","Fernando de Noronha","-32.442806","-3.879167","-32.442806","-3.879167","200","200","Sobre solo e rocha com sedimento no primeiro mirante","UFP078027","Reis, TR",NA,NA,"2014","05",NA,NA
"35","2021-03-01 11:51:32-03","UFPE","UFP","78028","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2599","2014","05","04",NA,"Brasil","Pernambuco","Fernando de Noronha","-32.442806","-3.857806","-32.442806","-3.857806","52","52","Solo entre rochas no topo do morro em frente à Praia do Americano","UFP078028","Reis, TR",NA,NA,"2014","05",NA,NA
"36","2021-03-01 11:51:32-03","UFPE","UFP","78029","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2600","2014","05","04",NA,"Brasil","Pernambuco","Fernando de Noronha","-32.442806","-3.857806","-32.442806","-3.857806","52","52","Solo entre rochas no topo do morro em frente à Praia do Americano","UFP078029","Reis, TR",NA,NA,"2014","05",NA,NA
"37","2021-03-01 11:51:32-03","UFPE","UFP","78030","PreservedSpecimen","Plantae","Ricciaceae","Riccia","ridleyi","Riccia ridleyi","A. Geep","Santos, ND; Gomes, C","2620","2014","05","09",NA,"Brasil","Pernambuco","Fernando de Noronha","-32.442806","-3.879167","-32.442806","-3.879167","200","200","Sobre solo e rocha com sedimento no primeiro mirante","UFP078030","Reis, TR",NA,NA,"2014","05",NA,NA
