"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode"
"1","2020-12-20 21:19:15-03","UFV","VIC","052701","PreservedSpecimen","Plantae","Rubiaceae","Bradea","bicornuta","Bradea bicornuta","Brade","H.V. Pinto Junior","2019","04","22","H.V. Pinto Junior","489","2019","03","18","Brasil","Espírito Santo","Brejetuba","Brejaubinha, Pedra do Submarino","-41.483611","-20.299167","-41.483611","-20.299167","1193","1193","Planta com +/- 30cm, ilha de vegetação, folhas verdes brilhosas, pétalas alvas no interior e roxas na parte de fora, botões verde/roxo, sol, rara.","VIC052701","VIC052701"
"2","2020-07-10 09:49:04-03","MBML","MBML-HERBARIO","50225",NA,"Plantae","Rubiaceae","Bradea","bicornuta","Bradea bicornuta","Brade",NA,NA,NA,NA,"J.A. Oliveira; F.M. Silva","294","2013","01","25","Brasil","Espírito Santo","Alfredo Chaves","Redentor. Cruzeiro da Pedra de Santo Agostinho. Divisa entre Alfredo Chaves. Domingos Martins e Vargem Alta, arredores do P.E. Pedra Azul. Afloramento rochoso granítico com cactos/Alcantarea/Oncidium/Pitcairnia/Melastomataceae/Amaryllidaceae/Poaceae","-40.993056","-20.442778","40W59'35","20S26'34",NA,NA,"Subarbusto, ca 50cm alt., saxicola, heliófilo. Folhas discolores, inflorescência verde a atrovinácea, cálice verde, corola lilás, botões florais roxos. Frutos passados. População pequena, 10 indivíduos visualizados. Material prensado e","MBML050225",NA
