"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","infraspecificEpithet","fieldNumber","individualCount","relationshipType","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","787059","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentinica","Ipomoea argentinica","Peter","M. H. Nee","M. H. Nee","49032","1998","04","18","South America","Bolivia","Santa Cruz","Andrés Ibáñez","Along highway from Santa Cruz to Samaipata, km. 6, 7 km SW of center of Santa Cruz.","-63.23","-17.83","440","440","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282515' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","787063","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentinica","Ipomoea argentinica","Peter","M. H. Nee","M. H. Nee","49142","1998","04","26","South America","Bolivia","Santa Cruz","Andrés Ibáñez","Barrio MacDonald.","-63.18","-17.93","420","420","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282519' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","787062","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentinica","Ipomoea argentinica","Peter","M. H. Nee","M. H. Nee","49127","1998","04","25","South America","Bolivia","Santa Cruz","Andrés Ibáñez","Along highway from Santa Cruz to Abapó, 10 km S of junction with highway from Santa Cruz to Samaipata, ca. 1 km N of Pedro Lorenzo.","-63.25","-17.95","525","525","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282518' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787062",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","787061","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentinica","Ipomoea argentinica","Peter","M. H. Nee","M. H. Nee","49053","1998","04","19","South America","Bolivia","Santa Cruz","Andrés Ibáñez","Between Pedro Lorenzo and Peji, on new paved highway from Santa Cruz to Abapó, 1.3 km W of Peji.","-63.23","-17.97","525","525","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282517' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","787060","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentinica","Ipomoea argentinica","Peter","M. H. Nee","M. H. Nee","49033","1998","04","18","South America","Bolivia","Santa Cruz","Andrés Ibáñez","km. 12, 13 km SW of center of Santa Cruz, on highway from Santa Cruz to Samaipata.","-63.27","-17.87","450","450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282516' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","787064","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentinica","Ipomoea argentinica","Peter","M. H. Nee","M. H. Nee","49333","1998","05","15","South America","Bolivia","Santa Cruz","Andrés Ibáñez","0.5 km E of Chuchío, 5 km by road E of turnoff from Santa Cruz-Warnes highway.","-63.1","-17.62","370","370","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282520' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787064",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1014082","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","sericophylla","Ipomoea sericophylla","Meisn.","R. Simão-Bianchini","H. S. Irwin","26192","1970","02","06","South America","Brazil","Minas Gerais","Paracatú","Serra da Anta, summit of chapada, ca. 5 km S.E. of Paracatú","-46.8727778","-17.22555","675","675","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1107754' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014082","NY01014082_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","720046","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","sericophylla","Ipomoea sericophylla","Meisn.",NA,"B. J. Pickel","3037","1933","09",NA,"South America","Brazil","Pernambuco",NA,"Tapera.","-35.18","-8.12",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2528070' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720046","NY00720046_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00864707","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","sericophylla","Ipomoea sericophylla","Meisn.","D. F. Austin","J. A. Rizzo","34","1966","03","05","South America","Brazil","Goiás","Aparecida de Goiânia","Chácara Sto. Antonio, 4 km de Aparecida de Goiás-Goiânia","-49.2439","-16.8233",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957389' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864707","NY00864707_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 09:25:00-03","NY","NYBG","319222","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","sericophylla","Ipomoea sericophylla",NA,NA,"P. Clausen","289",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=234263' target='other'> <mi>dwc_moreinfo</mi></a>","NY00319222","NY00319222_01","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
