"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","minimumElevationInMeters","preparationType","typeStatus","maximumElevationInMeters","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","infraspecificEpithet","relatedCatalogItem","previousCatalogNumber","sex"
"1","2021-04-05 14:33:50-03","UNESC","CRI","12924","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","flavum","Cyrtopodium flavum","Link & Otto ex Rchb.f.","Alexandre Medeiros","2017","11","12","Alexandre Medeiros","2017","11","12","Brasil","Santa Catarina","Balneário Camboriú","Barra","-48.637778","-27.001389","48º38'16''W","27º0'5''S","Coleta 788. Terrestre, mas também encontrada em ambientes rupícola e na restinga. Habitat: Terrestre Habito: Herbácea","CRI011532","CRI011532",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02704993","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","flavum","Cyrtopodium flavum","Link & Otto ex Rchb.f.",NA,NA,NA,NA,"L. Nusbaumer","2014","11","16","Brazil","Alagoas","Quebrangulo","Reserva Biológica da Pedra Talhada. localité de Quebrangulo","-36.427101","-9.254997",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2952117' target='other'> <mi>dwc_moreinfo</mi></a>","NY02704993","NY02704993_01","Magnoliophyta","Asparagales","4331","South America","780","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","414906","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","paranaense","Cyrtopodium paranaense","Schltr.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","1982","12","03","Brazil","Paraná","Paranaguá","Ilha do Mel, Paraná","-48.5092","-25.5203",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=242012' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414906","NY00414906_01","Magnoliophyta","Asparagales","45783","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","414910","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","paranaense","Cyrtopodium paranaense","Schltr.","P. K. H. Dusén",NA,NA,NA,"P. K. H. Dusén","1909","10","01","Brazil","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=242005' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414910","NY00414910_01","Magnoliophyta","Asparagales","8886","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","414908","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","paranaense","Cyrtopodium paranaense","Schltr.","G. F. J. Pabst",NA,NA,NA,"J. C. Lindeman",NA,NA,NA,"Brazil","Paraná","Paranaguá","Pontal do Sul","-48.365093","-25.575152",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=242009' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414908","NY00414908_01","Magnoliophyta","Asparagales","3827","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","414913","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","paranaense","Cyrtopodium paranaense","Schltr.","G. F. J. Pabst",NA,NA,NA,"P. E. Gibbs","1976","11","10","Brazil","São Paulo",NA,"Sao Sebastiao-Bertioga","-45.71323","-23.771129",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=242010' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414913","NY00414913_01","Magnoliophyta","Asparagales","3533","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","414911","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","paranaense","Cyrtopodium paranaense","Schltr.","F. R. R. Schlechter",NA,NA,NA,"P. K. H. Dusén","1915","05","15","Brazil","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=242013' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414911","NY00414911_01","Magnoliophyta","Asparagales",NA,"South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","414907","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","paranaense","Cyrtopodium paranaense","Schltr.","G. A. Romero",NA,NA,NA,"P. K. H. Dusén","1909","12","03","Brazil","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=242008' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414907","NY00414907_01","Magnoliophyta","Asparagales","9025","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","414909","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","paranaense","Cyrtopodium paranaense","Schltr.","P. K. H. Dusén; R. Lauge",NA,NA,NA,"G. A. Romero","1909","01",NA,"Brazil","Paraná","Paranaguá","Paranaguá","-48.538452","-25.547645",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=242006' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414909","NY00414909_01","Magnoliophyta","Asparagales","8031","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","414905","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","paranaense","Cyrtopodium paranaense","Schltr.","G. A. Romero",NA,NA,NA,"S. C. de Sant'Ana","1991","12","13","Brazil","Bahia","Santa Cruz Cabrália","Ca 6-7 km de Santa Cruz de Cabrália, na antiga estrada para a Estaçao Ecológica do Pau Brasil","-39.0933278","-16.3180647",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=242007' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414905","NY00414905_01","Magnoliophyta","Asparagales","122","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
