"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","relatedCatalogItem","yearIdentified","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","285214","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","prancei","Couratari prancei","W.A.Rodrigues","W. A. Rodrigues","isotype","G. T. Prance","7755","1968","10","02","South America","Brazil","Acre","Sena Madureira","Km 3-6 road Sena Madureira to Rio Branco, Sena Madureira.","-68.6316964","-9.0866375","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051393' target='other'> <mi>dwc_moreinfo</mi></a>","NY00285214","NY00285214_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","748","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","prancei","Couratari prancei","W.A.Rodrigues","W. A. Rodrigues","isotype","G. T. Prance","7755","1968","10","02","South America","Brazil","Acre","Sena Madureira","Km 3-6 road Sena Madureira to Rio Branco, Sena Madureira.","-68.6316964","-9.0866375","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=630290' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000748","NY00000748_01",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:02:17-03","NBC","NL-BOTANY","U 0003050","PreservedSpecimen","Plantae",NA,"Ericales","Lecythidaceae","Couratari","prancei","Couratari prancei","W.A.Rodrigues","Rodrigues WA","isotype","Prance GT; Coêlho DF; Ramos JF; Farias LG",NA,"1968","10","02","Southern America","Brazil","Acre",NA,"State of AcreMunicipality of Sena MadureiraKm. 3-6 raod Sena Madureira to Rio Branco.",NA,NA,NA,"Forest on terra firme.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200003050 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0003050","NL-U0003050","Magnoliopsidae","391913 B",NA,NA,NA,NA,NA,NA
"4","2008-05-27 22:02:00-03","MO","MOBOT","1923659","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Couratari","prancei","Couratari prancei","W.A. Rodrigues","W. Rodrigues","Isotype","Ghillean T. Prance","Prance 7755","1968","10","2","South America","Brazil","Acre",NA,"Municipality of Sena Madureira. Km. 3-6 road Sena Madureira to Rio Branco. Forest on terra firme.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-08-31 08:53:42-03","INPA","INPA","24553","S","Plantae","Dicotyledon Asterids","Ericales","Lecythidaceae","Couratari","prancei","Couratari prancei","W.A.Rodrigues","Rodrigues, WA","holotype","Prance, GT","7755","1968","10","02","Southern America","Brasil","Acre","Sena Madureira","BR 364, Km 3-6 road Sena Madureira to Rio Branco. Forest on terra firme.","-68.631696","-9.086638",NA,NA,"INPA0024553","INPA0024553 INPA0024553_e INPA0024553_e1",NA,NA,"1974","-68.631696","-9.086638",NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","2889831","PreservedSpecimen","Plantae",NA,"Lecythidales","Lecythidaceae","Couratari","prancei","Couratari prancei","W.A. Rodrigues",NA,"Isotype","G. T. Prance","7755","1968","10","2","South America - Neotropics","Brazil","Amazonas",NA,"3-6 km road Sena Madureira to Rio Branco.",NA,NA,NA,NA,"US00117509","US00117509_01","Dicotyledonae",NA,NA,NA,NA,"1",NA,NA
"7","2010-08-16 16:41:16-03","GH","HU-HERB","GH 00075236","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Couratari","prancei","Couratari prancei","W. A. Rodrigues",NA,"Isotype","G. T. Prance, D. F. Coelho, J. F. Ramos & L. G. Farias","7755","1968","10","2","South America","Brazil","Acre",NA,"Km. 3-6 road Sena Madureira to Rio Branco, terra firma, forest",NA,NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7755","undetermined"
