"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","continentOcean","imagecode"
"1","2021-03-24 17:08:34-03","UFES","SAMES","312","PreservedSpecimen","Plantae","Apocynaceae","Gonolobus","dorothyanus","Gonolobus dorothyanus","Fontella","Menezes,L.F.T.","2010","07","07","Menezes,L.F.T.","1909","2009","11","24","Brasil","Espírito Santo","São Mateus","Bairro Liberdade. Área de restinga pleistocênica.","-39.8588981628418","-18.716100692749","-398102778.0","-187422222.0","56510","Planta trepadeira com flores de cor verde claro. Habitat: Área de restinga pleistocênica.","SAMES00312","auto",NA,NA
"2","2013-08-23 04:12:00-03","MO","MOBOT","1217969","PreservedSpecimen","Plantae","Apocynaceae","Gonolobus","dorothyanus","Gonolobus dorothyanus","Fontella & E.A. Schwarz","J. Fontella P.",NA,NA,NA,"Dorothy Araujo|S.P. Santos","Araujo 128","1972","10","13","Brazil",NA,NA,"Estado da Guanabara, Restinga de Jacarepaguá, Pedra de Itauna, lado sureste",NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA
"3","2020-10-20 09:56:46-03","MBML","MBML-HERBARIO","40655",NA,"Plantae","Apocynaceae","Gonolobus","dorothyanus","Gonolobus dorothyanus","Font. & Schw.","L.F.T. Menezes/07-VII-2010",NA,NA,NA,"L.F.T. Menezes","1909","2009","11","24","Brasil","Espírito Santo","São Mateus","Bairro Liberdade. Área de restinga pleistocênica","-39.811389","-18.748889","39W48'41","18S44'56",NA,"Planta trepadeira com flores de cor verde claro","MBML040655",NA,NA,"MBML040655"
