"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","608756","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","icicariba","talmonii","Protium icicariba talmonii","Daly","D. C. Daly","W. W. Thomas","9074","1992","05","01","South America","Brazil","Bahia","Ilhéus","Road from Olivença to Maruim, 6.1 km W of Olivença. Forest on N side of road","-39.05","-14.98","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=423446' target='other'> <mi>dwc_moreinfo</mi></a>","NY00608756","NY00608756_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1309784","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","icicariba","icicariba","Protium icicariba icicariba","(DC.) Marchand","D. C. Daly","E. J. Lucas","971","2006","12","02","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da Companhia Vale do Rio Doce, estrada Paraju, km. 1.9.","-39.8883","-19.12","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1546326' target='other'> <mi>dwc_moreinfo</mi></a>","NY01309784",NA,"5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","608754","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","icicariba","talmonii","Protium icicariba talmonii","Daly","D. C. Daly","A. M. V. de Carvalho","3818","1992","02","22","South America","Brazil","Bahia","Una","Ca 3km SW da sede do município. Entrada para o distrito de Pedras","-39.0753","-15.2933","sheet","Amostra de madeira <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=423428' target='other'> <mi>dwc_moreinfo</mi></a>","NY00608754","NY00608754_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","585357","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","icicariba","talmonii","Protium icicariba talmonii","Daly","D. C. Daly","A. M. V. de Carvalho","4911","1994","09","21","South America","Brazil","Bahia","Ilhéus","Mata da Esperança. Entrada a 2 km a partir da antiga ponte do Rio Fundao","-39.06916667","-14.7819444","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=423448' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585357","NY00585357_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","608765","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","icicariba","talmonii","Protium icicariba talmonii","Daly","D. C. Daly","A. M. V. de Carvalho","4827","1994","09","19","South America","Brazil","Bahia","Ilhéus","Cidade de Ilhéus. Mata da Esperança. Entrada a 2 km a partir da antiga ponte do Rio Fundao. Parcela n°8","-39.0692","-14.7819","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=423443' target='other'> <mi>dwc_moreinfo</mi></a>","NY00608765","NY00608765_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 22:33:00-03","NY","NYBG","886870","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","icicariba",NA,"Protium icicariba",NA,"D. C. Daly","B. D. Sucre","7942","1971","11","23","South America","Brazil","Rio de Janeiro","Rio de Janeiro","(Antiga Guanabara), Restina da Tijuca.","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064810' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886870","NY00886870_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","608764","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","icicariba","talmonii","Protium icicariba talmonii","Daly","D. C. Daly","A. M. V. de Carvalho","4698","1994","09","17","South America","Brazil","Bahia","Ilhéus","Cidade de Ilhéus. Mata da Esperança. Entrada a 2 km a partir da antiga ponte do Rio Fundao. Parcela n°2","-39.0692","-14.7819","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=423442' target='other'> <mi>dwc_moreinfo</mi></a>","NY00608764","NY00608764_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","608775","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","icicariba","talmonii","Protium icicariba talmonii","Daly","D. C. Daly","L. A. Mattos Silva","364","1979","05","16","South America","Brazil","Bahia","Belmonte","Estaçao Exp. Gregório Bondar, km 58 da Rod. Belmonte/Itapebi","-39.207196","-16.094866","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=423404' target='other'> <mi>dwc_moreinfo</mi></a>","NY00608775","NY00608775_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","345798","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","icicariba","talmonii","Protium icicariba talmonii","Daly",NA,"D. C. Daly","4067","1985","01","13","South America","Brazil","Bahia","Una","Km. 47 Ilheus-Una road (BA 001)","-39","-15.32","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=423457' target='other'> <mi>dwc_moreinfo</mi></a>","NY00345798",NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-30 04:10:00-03","NY","NYBG","1309785","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","icicariba","icicariba","Protium icicariba icicariba","(DC.) Marchand","D. C. Daly","L. J.-C. Kollmann","11463","2009","01","17","South America","Brazil","Espírito Santo","Jaguaré","Giral.","-40.0761","-18.9056","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1546328' target='other'> <mi>dwc_moreinfo</mi></a>","NY01309785",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
