"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","typeStatus","infraspecificEpithet","individualCount"
"1","2021-04-05 14:25:30-03","UNESC","CRI","9663","PreservedSpecimen","Plantae","Melastomataceae","Leandra","barbinervis","Leandra barbinervis","(Cham. ex Triana) Cogn.","A. A. de Oliveira","2009","11","01","A. Korte; A. Kniess","601","2009","10","21","Brasil","Santa Catarina","Vidal Ramos","Águas Frias.","-49.410556","-27.360556","49º24'38''W","27º21'38''S","895","895","Floresta Ombrófila Densa Habito: arbustiva","CRI004168","CRI004168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:30-03","UNESC","CRI","14436","PreservedSpecimen","Plantae","Melastomataceae","Leandra","barbinervis","Leandra barbinervis","(Cham. ex Triana) Cogn.","Oliveira, AA de","2010","06","24","Verdi, M.; Souza, N.L. de; Klemz, G. & Klettenberg, D.H.","4788","2010","05","29","Brasil","Santa Catarina","Santa Rosa de Lima","Rio dos Índios. Rio dos Índios.","-49.230833","-27.989722","49º13'51''W","27º59'23''S","588","588","Regeneração IFFSC 194 /O/70 Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: arbustiva; flor branca","CRI013588","CRI013588",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:30-03","UNESC","CRI","11349","PreservedSpecimen","Plantae","Melastomataceae","Leandra","barbinervis","Leandra barbinervis","(Cham. ex Triana) Cogn.","A. A. de Oliveira","2011","04","06","M. Verdi; N. L. de Souza e G. Klemz","3810","2010","03","09","Brasil","Santa Catarina","Rio Fortuna","Canyon Espraiado/Campo dos Padres.","-49.320556","-27.990556","49º19'14''W","27º59'26''S","1450","1450","Floresta Ombrófila Mista Habito: erva terrícola","CRI004167","CRI004167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:30-03","UNESC","CRI","14437","PreservedSpecimen","Plantae","Melastomataceae","Leandra","barbinervis","Leandra barbinervis","(Cham. ex Triana) Cogn.","Oliveira, AA de","2010","08","25","Stival-Santos, A.; Silveira, S.","3232","2010","07","08","Brasil","Santa Catarina","Antônio Carlos","RPPN Caraguatá. RPPN Caraguatá.","-48.87","-27.45","48º52'12''W","27º27'S","710","710","Florística IFFSC 388 (Arvoreta) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arvoreta; Fruto roxo;","CRI013587","CRI013587",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","478246","PreservedSpecimen","Plantae","Melastomataceae","Leandra","barbinervis","Leandra barbinervis","(Cham. ex Triana) Cogn.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","24052","1970","03","24","Brazil","Paraná","Bocaiúva do Sul","Sesmaria, Rio Capivari, 2 km ao Oeste","-49.115","-25.2061",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=545010' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478246","NY00478246_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02098799","PreservedSpecimen","Plantae","Melastomataceae","Leandra","barbinervis","Leandra barbinervis","(Cham. ex Triana) Cogn.","M. Reginato",NA,NA,NA,"M. Reginato","1083","2010","01","08","Brazil","Paraná","Piraquara","Mananciais da Serra","-49.025191","-25.507967",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085040' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098799","NY02098799_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","478248","PreservedSpecimen","Plantae","Melastomataceae","Leandra","barbinervis","Leandra barbinervis","(Cham. ex Triana) Cogn.",NA,NA,NA,NA,"A. C. Brade","16300","1940","07","06","Brazil","Rio de Janeiro",NA,"Flora da Serra dos Orgaos - Corrego do Frade",NA,NA,NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=545013' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478248","NY00478248_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","520506","PreservedSpecimen","Plantae","Melastomataceae","Leandra","barbinervis","Leandra barbinervis","(Cham. ex Triana) Cogn.","F. A. Michelangeli",NA,NA,NA,"F. C. Hoehne","1820","1919","03","04","Brazil","São Paulo","Ribeirao Pires","Alto da Serra","-46.4097","-23.71",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315761' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520506","NY00520506_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","478244","PreservedSpecimen","Plantae","Melastomataceae","Leandra","barbinervis","Leandra barbinervis","(Cham. ex Triana) Cogn.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","29759","1972","06","28","Brazil","Paraná","Bocaiúva do Sul","Rio Putuna","-49.115","-25.2061",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=545011' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478244","NY00478244_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","478247","PreservedSpecimen","Plantae","Melastomataceae","Leandra","barbinervis","Leandra barbinervis","(Cham. ex Triana) Cogn.","J. J. Wurdack",NA,NA,NA,"B. Maguire","44563","1959","12","06","Brazil","São Paulo","Sao Paulo","Biological Station at Paranapiacaba","-46.3","-23.75",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=545008' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478247","NY00478247_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","478243","PreservedSpecimen","Plantae","Melastomataceae","Leandra","barbinervis","Leandra barbinervis","(Cham. ex Triana) Cogn.","A. C. Brade",NA,NA,NA,"A. C. Brade","16300","1940","07","06","Brazil","Rio de Janeiro",NA,"Serra dos Orgaos, corrego do Frade","-44.488794","-22.957731",NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=545005' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478243","NY00478243_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
