"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","408709","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chloroleucon","tortum","Chloroleucon tortum","(Mart.) Pittier","R. C. Barneby; J. W. Grimes","G. P. Lewis","1194","1982","03","14","South America","Brazil","Rio de Janeiro","Maricá","Barra de Maricá, prox. a Lagoa de Maricá","-42.827875","-22.923546","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=698209' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408709","NY00408709_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 17:30:00-03","NY","NYBG","408710","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chloroleucon","tortum","Chloroleucon tortum",NA,"R. C. Barneby; J. W. Grimes","H. C. de Lima","1606","1981","04","20","South America","Brazil","Rio de Janeiro","Maricá","Barra de Maricá","-42.8183","-22.9194","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=698210' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408710","NY00408710_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 21:39:00-03","NY","NYBG","886120","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chloroleucon","tortum","Chloroleucon tortum",NA,"R. C. Barneby; J. W. Grimes","C. D. Johnson","2552-82","1982","08","04","South America","Brazil","Rio de Janeiro",NA,"Praia, Flamengo",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986548' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886120","NY00886120_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","408713","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chloroleucon","tortum","Chloroleucon tortum","(Mart.) Pittier","R. C. Barneby; J. W. Grimes","Z. A. Trinta","980","1964","09","27","South America","Brazil","Rio de Janeiro",NA,"Entre Macaé e Rio das Ostras","-41.870619","-22.438265","sheet","Fromm number 2056 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=698216' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408713","NY00408713_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01091654","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chloroleucon","tortum","Chloroleucon tortum","(Mart.) Pittier",NA,"H. C. de Lima","6240","2005","01","13","South America","Brazil","Rio de Janeiro","Saquarema","Estrada velha Jaconé Maricá. Morrote em frente ap Sítio do Sr. erminio.","-42.6155376","-22.9214013","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1250537' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091654","NY01091654_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 17:30:00-03","NY","NYBG","408717","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chloroleucon","tortum","Chloroleucon tortum",NA,"R. C. Barneby; J. W. Grimes","G. P. Lewis","1627","1987","05","08","South America","Brazil","Rio de Janeiro","Cabo Frio","Estrada nova para Buzios, Baia Formoso, estrada da Rasa, entrada para Capao da Pedra, fazenda do Senhor Enrique Massala","-42.0183","-22.8794","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=698214' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408717","NY00408717_01","70","70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","408711","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chloroleucon","tortum","Chloroleucon tortum","(Mart.) Pittier","R. C. Barneby; J. W. Grimes","H. M. Curran","331","1915",NA,NA,"South America","Brazil","Rio de Janeiro","Rio de Janeiro","Botanical Garden","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=698211' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408711","NY00408711_01 NY00408711_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","03082226","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chloroleucon","tortum","Chloroleucon tortum","(Mart.) Pittier",NA,"R. D. Ribeiro","239","2004","05","22","South America","Brazil","Rio de Janeiro","Armação dos Búzios","Em torno do Centro.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3312277' target='other'> <mi>dwc_moreinfo</mi></a>","NY03082226","NY03082226_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-10-28 13:49:00-02","NY","NYBG","1018119","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chloroleucon","tortum","Chloroleucon tortum",NA,NA,"H. C. de Lima","6118","2003","08","31","South America","Brazil","Rio de Janeiro",NA,"Búzios, Residência da Heloisa Dantas.","-41.9351149","-22.7783974","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1248747' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018119","NY01018119_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","408715","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chloroleucon","tortum","Chloroleucon tortum","(Mart.) Pittier","R. C. Barneby; J. W. Grimes","A. P. Duarte","5776","1961","10",NA,"South America","Brazil","Rio de Janeiro","Cabo Frio","Arraial do Cabo","-42.026055","-22.968776","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=698213' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408715","NY00408715_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
