"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","occurrenceRemarks","barcode","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","imagecode","phylum","order","typeStatus","continentOcean","preparationType","infraspecificEpithet","class","relatedCatalogItem","relationshipType","previousCatalogNumber","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","sex"
"1","2021-04-05 14:25:14-03","UNESC","CRI","3664","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","klotzschiana","Gymnanthes klotzschiana","Müll.Arg.","L. Oliveira","R. Záchia","1423","1993","09","12","Brasil","Rio Grande do Sul","Rosário","Beira da mata com predomínio de aroeiras.","Arvoreta com flores. Habito: Arvoreta","CRI010543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:14-03","UNESC","CRI","2758","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","klotzschiana","Gymnanthes klotzschiana","Müll.Arg.","L. Oliveira","R. M. Klein",NA,"1972","08","25","Brasil","São Paulo","São Paulo","Instituto de Biociências.","Habito: Arvoreta","CRI010544","-46.6300010681152","-23.5400009155273","53584","720","720","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:29-03","UNESC","CRI","7654","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","argutidens","Sebastiania argutidens","Pax & K.Hoffm.","Vanilde Citadini-Zanette","Jean Gabriel Cemin",NA,"2008","03","26","Brasil","Santa Catarina","Turvo",NA,"Coleta faz parte do estudo realizado por Jean Gabriel Cemim & Caroline de Faveri -","CRI010540","-49.681944","-28.927778",NA,"9","9",NA,"2008","04","20","49º40'55''W","28º55'40''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:14-03","UNESC","CRI","15236","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","argutidens","Sebastiania argutidens","Pax & K.Hoffm.","Aline Votri Guislon & Renato Colares","Aline V. Guislon; Renato Colares & Iara Z. Zanoni",NA,"2018","06","14","Brasil","Santa Catarina","Criciúma","APA Morro Albino e Estevão. Área L1 (Fitossociologia)","Habito: Arvoreta","CRI014651","-49.377778","-28.765556",NA,"50","50",NA,"2018","06","14","49º22'40''W","28º45'56''S","CRI014651",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:29-03","UNESC","CRI","11913","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","argutidens","Sebastiania argutidens","Pax & K.Hoffm.","Guilherme Alves Elias","Jean Gabriel Cemin; Marciel Fernandes e Kleber Emerick",NA,"2009","08","04","Brasil","Santa Catarina","Turvo",NA,NA,"CRI002370","-49.685","-28.915556",NA,"30","30",NA,"2016","07","13","49º41'6''W","28º54'56''S","CRI002370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:29-03","UNESC","CRI","14678","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","argutidens","Sebastiania argutidens","Pax & K.Hoffm.","Renato Colares","Aline Votri Guislon; Renato Colares & Felipe Seron",NA,"2018","07","19","Brasil","Santa Catarina","Criciúma","Bairro Dagostim. Área L3","Habito: Arbustivo","CRI013988","-49.605","-28.762778",NA,"130","130",NA,"2018","07","19","49º36'18''W","28º45'46''S","CRI013988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:29-03","UNESC","CRI","10232","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","commersoniana","Sebastiania commersoniana","(Baill.) Sm.","M. G. Caxambu","E.M. Silva",NA,"2007","10","02","Brasil","Paraná","Goioerê","Parque Municipal Antônio Sestak.","Floresta Estacional Semidecidual Aluvial Habito: árvore ripária","CRI002359","-53.027778","-24.185278",NA,"464","464",NA,"2007","10","18","53º1'40''W","24º11'7''S","CRI002359",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:29-03","UNESC","CRI","10256","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","commersoniana","Sebastiania commersoniana","(Baill.) Sm.","M. G. Caxambu","E.L. Siqueira; A.S. dos Santos","138","2009","02","13","Brasil","Paraná","Luiziana","RPPN Depositozinho - Propriedade da COAMO - Agroindustrial Cooperativa.","Habito: árvore","CRI002361","-52.319722","-24.2025",NA,"656","656",NA,"2009","02","20","52º19'11''W","24º12'9''S","CRI002361",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:14-03","UNESC","CRI","14571","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","commersoniana","Sebastiania commersoniana","(Baill.) Sm.","Martis, R.","Pasetto, M. R.","10","2007","09","28","Brasil","Santa Catarina","Criciúma","Horto da UNESC","Flor branca Habito: Arbusto","CRI013875","-49.370278","-28.678333",NA,NA,NA,NA,"2007","09","28","49º22'13''W","28º40'42''S","CRI013875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","990946","PreservedSpecimen","Plantae","Euphorbiaceae","Actinostemon","unciformis","Actinostemon unciformis","Jabl.",NA,"R. P. Belém","614","1965","03","31","Brazil","Bahia","Ilhéus","Centro de Pesquisas do Cacau, CEPLAC, CEPEC, Ilhéeus","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1114857' target='other'> <mi>dwc_moreinfo</mi></a>","NY00990946","-39.2273659","-14.771874",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NY00990946_01","Magnoliophyta","Malpighiales","type","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
