"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","county","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00682077","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","A. C. Smith","E. Amaral","30302","1933","03","13","South America","Brazil","São Paulo","Itatuba","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=816869' target='other'> <mi>dwc_moreinfo</mi></a>","NY00682077","NY00682077_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00682080","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","G. T. Prance","R. P. Belém","2204","1966","05","16","South America","Brazil","Bahia","Rodovia Itacaré-Ubaitaba, (Ba). Plantação de cacau","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=816866' target='other'> <mi>dwc_moreinfo</mi></a>","NY00682080","NY00682080_01","-39.417","-14.242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00682102","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","G. T. Prance","T. S. dos Santos","380","1969","03","04","South America","Brazil","Bahia","CEPEC; plantação de cacau","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=816871' target='other'> <mi>dwc_moreinfo</mi></a>","NY00682102","NY00682102_01","-39.03","-14.82","Ilhéus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","778061","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","S. A. Mori","A. L. Peixoto","1540","1980","10","12","South America","Brazil","Espírito Santo","Reserva Florestal da CVRD","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=621940' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778061","NY00778061_01 NY00778061_02","-40.68","-19.42","Linhares",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00682079","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","G. T. Prance","R. P. Belém","2216","1966","05","16","South America","Brazil","Bahia","Rodovia Itacaré-Ubaitaba, (Ba). Plantação de cacau","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=816867' target='other'> <mi>dwc_moreinfo</mi></a>","NY00682079","NY00682079_01","-39.417","-14.242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","376122","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","G. T. Prance","R. S. Pinheiro","1164","1971","03","17","South America","Brazil","Bahia","Rodovia Banco Central a Gongugi","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=621937' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376122","NY00376122_01","-39.32","-14.31","Aurelino Leal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2017-06-12 12:15:00-03","NY","NYBG","02698809","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis",NA,NA,"C. Farney","3375","1994","05","19","South America","Brazil","Rio de Janeiro","ESTRADA SÃO FRANCISCO -- CAMPOS, MARGEM DA ESTRADA.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2979335' target='other'> <mi>dwc_moreinfo</mi></a>","NY02698809","NY02698809_01","-41.3244018554688","-21.7541999816895","Campos dos Goytacazes","62761","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2017-05-17 10:20:00-03","NY","NYBG","02681783","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis",NA,NA,"C. Duarte","118","2001","09","15","South America","Brazil","Rio de Janeiro","REBIO Poço das Antas, matasecundária próxima ao plantio da Bioert- modelo tradicional. Silva jardim/ Poço das Antas.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2944078' target='other'> <mi>dwc_moreinfo</mi></a>","NY02681783","NY02681783_01","-42.3917007446289","-22.6508007049561","Silva Jardim","29995","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","376127","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","G. T. Prance","Y. E. J. Mexia","4989","1930","08","20","South America","Brazil","Minas Gerais","Districto Ilheu. Fazenda da Tabunha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=621948' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376127","NY00376127_01","-39.03","-14.82",NA,NA,NA,"300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00682108","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze","S. A. Mori","A. M. V. de Carvalho","1672","1983","03","09","South America","Brazil","Bahia","Estrada Ilhéus/Uruçuca, km 25. Região da Mata Higrófila Sul Baiana","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=816865' target='other'> <mi>dwc_moreinfo</mi></a>","NY00682108","NY00682108_01","-39.08","-14.77","Uruçuca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
