"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","day","county","locality","decimalLongitude","decimalLatitude","yearIdentified","coordinatePrecision","imagecode","geoFlag","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","individualCount","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","887311","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Allophylus","membranifolius","Allophylus membranifolius","Radlk.","T. D. Pennington","L. Riedel","25","1829","11","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1092127' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1019428","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Allophylus","membranifolius","Allophylus membranifolius","Radlk.","M. S. Ferrucci","S. de V. A. Pessôa","706","1994","05","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1282320' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019428","25","Silva Jardim","Reserva Biológica de Poço das Antas, Regiao proxima a BR-101, área do aceiro.","-42.3917","-22.6508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","887310","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Allophylus","membranifolius","Allophylus membranifolius","Radlk.","T. D. Pennington","L. Riedel","25","1829","11","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1092125' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:48:48-03","EAO","IAN","4653","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapindaceae","Allophylus","membranifolius","Allophylus membranifolius","Radlk.",NA,"sc","s.n.",NA,NA,"Southern America","Brasil",NA,NA,NA,"IAN004653",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:19:21-03","ESALQ","ESA","111871","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Allophylus","membranifolius","Allophylus membranifolius",NA,"Coelho, R.L.G.","Andreata, R.H.P.","603.0","1983","11",NA,"Brasil","Rio de Janeiro",NA,NA,"ESA111871","16","Niterói",NA,"-43.1035995483398","-22.88330078125","2014","14785","ESA111871","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-02-15 11:50:05-02","IPA","IPA","64160","S","Plantae","Plantae",NA,"Sapindaceae","Allophylus","membranifolius","Allophylus membranifolius","Radlk.","Coelho, R.L.G.","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","56076","1991","11","Southern America","Brasil","Tocantins",NA,"Arbusto ca. 3m de altura. Mata de galeria.","IPA0064160","11","Paranã","Rio Paranã, balsa para Palmeirópolis.","-47.8830986022949","-12.6153001785278","2014","96675",NA,"auto","04","24","400","400",NA,NA,NA,NA,NA,NA
"7","2020-06-29 09:32:05-03","UFRRJ","RBR","30200","S","Plantae",NA,NA,"Sapindaceae","Allophylus","membranifolius","Allophylus membranifolius","Radlk.","M.S. Ferrucci","S.V.A. Pessoa","706","1994","05",NA,"Brasil","Rio de Janeiro",NA,NA,"RBR00030200","25","Silva Jardim","Reserva Biológica de Poço das Antas, Região Próxima a BR-101, Área de aceiro","-42.3917007446289","-22.6508007049561","2013","29995",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2013-04-01 09:14:44-03","IPT","BCTW","8796","S","Plantae","Magnoliophyta",NA,NA,"Allophylus","membranifolius","Allophylus membranifolius","Radlk.",NA,NA,NA,NA,NA,NA,"Brasil","Paraná",NA,NA,NA,NA,"Monte Alegre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA
"9","2020-12-21 16:44:20-03","MBM","MBM","425377","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Allophyllus","membranifolius","Allophyllus membranifolius","Radlk.","Moura, R.","Silva, L.","796","2015","10","Southern America","Brazil","Rio de Janeiro",NA,"Árvore com 8 metros de altura. Base dilatada. Casca interna rosa e externa marrom, fina, áspera. Flor branca.; Floresta Ombrófila Densa, solo pedregoso, Terço superior da encosta.","MBM425377","13","Itatiaia","Conglomerado 78-1-4-32","-44.55","-2.41","2017",NA,NA,NA,"03","16","680","680",NA,"-44.55","-2.41",NA,NA,NA
"10","2020-12-11 11:41:19-03","UFMG","BHCB","75990","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Allophylus","membranifolius","Allophylus membranifolius","Radlk.",NA,"Couto, FR","160","2002","11","Southern America","Brasil","Minas Gerais",NA,"Árvore, frutos maduros de amarelos a vermelhos; Mata atlântica","BHCB021104","21","Caratinga","Estação Biológica de Caratinga. Mata do Jaó.","-42.1391983032227","-19.7896995544434","2014","49886",NA,"auto","06","05",NA,NA,NA,NA,NA,NA,NA,NA
