"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","relatedCatalogItem"
"75","2020-11-12 16:59:34-03","UEL","FUEL","56169","PreservedSpecimen","Plantae","Leguminosae","Mimosa","hatschbachii","Mimosa hatschbachii","Ferraz, JR","705","2019","11","05",NA,"Brasil",NA,NA,NA,"FUEL056169","Tracheophyta","Fabales","Barneby","Ferraz, JR","Paraná","Foz do Jordão","BR-373","-52.099392","-25.635228",NA,NA,"886","886","2019",NA,NA,NA,"11","05","-52.099392","-25.635228",NA,NA,NA
"76","2020-11-12 16:59:34-03","UEL","FUEL","56170","PreservedSpecimen","Plantae","Leguminosae","Mimosa","hatschbachii","Mimosa hatschbachii","Ferraz, JR","716","2019","11","05",NA,"Brasil",NA,NA,NA,"FUEL056170","Tracheophyta","Fabales","Barneby","Ferraz, JR","Paraná","Foz do Jordão","próximo à Comunidade da Paz","-52.121544","-25.670006",NA,NA,"868","868","2019",NA,NA,NA,"11","05","-52.121544","-25.670006",NA,NA,NA
"77","2020-11-12 16:59:34-03","UEL","FUEL","45252","PreservedSpecimen","Plantae","Leguminosae","Mimosa","hatschbachii","Mimosa hatschbachii","Barbosa, E; Cunha, EM","1753","2006","10","26",NA,"Brasil",NA,NA,NA,NA,"Tracheophyta","Fabales","Barneby","Ribas, OS","Paraná","Candói","Lagoa Seca, lajeado","-52.0558013916016","-25.5722007751465",NA,NA,NA,NA,NA,"42664","auto",NA,NA,NA,NA,NA,NA,NA,NA
"78","2020-11-12 16:59:34-03","UEL","FUEL","21553","PreservedSpecimen","Plantae","Leguminosae","Mimosa","hatschbachii","Mimosa hatschbachii","Hatschbach, G; Silva, JM; Deodato, F","65307","1996","09","18",NA,"Brasil",NA,NA,NA,NA,"Tracheophyta","Fabales","Barneby","Hatschbach, G","Paraná","Guarapuava","Colônia São Judas","-51.4580993652344","-25.395299911499",NA,NA,NA,NA,"1996","53832","auto",NA,"11",NA,NA,NA,NA,NA,NA
"79","2020-11-12 16:59:34-03","UEL","FUEL","16415","PreservedSpecimen","Plantae","Leguminosae","Mimosa","hatschbachii","Mimosa hatschbachii","Hatschbach, G","43241","1980","10","26",NA,"Brasil",NA,NA,NA,"FUEL016415","Tracheophyta","Fabales","Barneby",NA,"Paraná","Guarapuava","Rio Campo Real","-51.4580993652344","-25.395299911499",NA,"isotype",NA,NA,NA,"53832","auto",NA,NA,NA,NA,NA,NA,NA,NA
"80","2019-11-01 15:00:13-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Fabaceae","Mimosa","hatschbachii","Mimosa hatschbachii","Hatschbach, G","43241","1980","10","26","Southern America","Brasil",NA,NA,"Flor rosada; Subarbusto semi-reptante; Campo rochoso",NA,"Dicotyledoneae",NA,"Barneby","Silva, AS; Crísci, DB","Paraná ","Guarapuava","Rio Campo Real","-51.4580993652344","-25.395299911499",NA,NA,NA,NA,NA,"53832","auto",NA,NA,NA,NA,NA,NA,NA,NA
"81","2019-05-06 11:57:50-03","UFU","HUFU","57269","S","Plantae","Fabaceae","Mimosa","hatschbachii","Mimosa hatschbachii","Barbosa, E.; Cunha, E.M.","1753","2006","10","26",NA,"Brasil",NA,NA,NA,"HUFU00009666",NA,NA,"Barneby","Ribas, O.S.","Paraná","Candoí","Lagoa Seca, Lajeado.","-52.0558013916016","-25.5722007751465","HUFU00009666",NA,NA,NA,NA,"42664","auto",NA,NA,NA,NA,NA,NA,NA,NA
"82","2020-08-20 20:38:52-03","UFSC","FLOR","29083","PreservedSpecimen","Plantae","Fabaceae","Mimosa","hatschbachii","Mimosa hatschbachii","Barbosa, E.; Hatschbach, G. & Ribas, O.S.","108","1998","01","22",NA,"Brasil",NA,NA,"prostrada, flor rosada","FLOR0029083",NA,"Fabales","Barneby","Hatschbach, G.","Paraná","Guarapuava","Colônia São Judas Tadeu.","-51.4580993652344","-25.395299911499",NA,NA,NA,NA,"1998","53832","auto",NA,NA,NA,NA,NA,NA,NA,NA
"83","2020-08-20 14:56:08-03","UFSC","FLOR","15087","PreservedSpecimen","Plantae","Fabaceae","Mimosa","hatschbachii","Mimosa hatschbachii","Reitz, R.; Klein, R.M.","17810","1965","12","16",NA,"Brasil",NA,NA,"flor rósea. Paratypus. Mem. N.Y. Bot. Gard. 65.247. 1991.","FLOR0015087",NA,"Fabales","Barneby","Barneby, R.C.","Paraná","Guarapuava","Fazenda Capão Redondo.","-51.4580993652344","-25.395299911499",NA,"Paratypus","1000","1000",NA,"53832","auto",NA,NA,NA,NA,NA,NA,NA,NA
"84","2021-02-08 12:42:09-03","UFRGS","ICN","159259","S","Plantae","Fabaceae","Mimosa","hatschbachii","Mimosa hatschbachii","Hatschbach, G; Goldenberg, R; Silva, JM","72419","2001","09","19","América do Sul","Brasil",NA,NA,"Prostrada, flor lilás; Dos lajeados","ICN00018095","Dicotyledon",NA,"Barneby","Hatschbach, G","PR","Candói","Colônia S. Judas Tadeu","-52.0558013916016","-25.5722007751465","ICN00018095",NA,NA,NA,NA,"42664","auto",NA,NA,NA,NA,NA,NA,NA,NA
"85","2021-02-08 12:42:09-03","UFRGS","ICN","083550","S","Plantae","Fabaceae","Mimosa","hatschbachii","Mimosa hatschbachii","Hatschbach, G; Ribas, OS","51902","1988","11","25","América do Sul","Brasil",NA,NA,"Semi reptante, ramosa, flor rosada; Afloramentos (lajeados) de rocha","ICN00018098","Dicotyledon",NA,"Barneby","Hatschbach, G","PR","Cantagalo","Rod. BR-277, p#?#roximo ao Rio Cavernoso","-52.1263999938965","-25.3743991851807","ICN00018098",NA,NA,NA,"1988","29583","auto",NA,NA,NA,NA,NA,NA,NA,NA
