"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","class","dayIdentified","typeStatus","coordinatePrecision","geoFlag","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","656347","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Petunia","elegans","Petunia elegans","Miers","J. R. Stehmann","G. F. J. Pabst","7118","1962","10","15","South America","Brazil","Minas Gerais","Serra da Moeda, a 26km de Belo Horizonte, rumo Congonhas do Campo.","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=46508' target='other'> <mi>dwc_moreinfo</mi></a>","NY00656347","NY00656347_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","656272","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Petunia","elegans","Petunia elegans","Miers",NA,"L. P. de Queiroz","2670","1990","10","06","South America","Brazil","São Paulo","Reserva do Instituto Florestal. Caminho da Cachoeira, ao longo do rio das Trutas. Campo de Altitude.","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=46511' target='other'> <mi>dwc_moreinfo</mi></a>","NY00656272","NY00656272_01","Campos do Jordao","-45.57","-22.72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","656271","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Petunia","elegans","Petunia elegans","Miers",NA,"G. G. Hatschbach","22344","1969","10","07","South America","Brazil","Paraná","Vila Velha.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=46510' target='other'> <mi>dwc_moreinfo</mi></a>","NY00656271","NY00656271_01","Ponta Grossa","-50.012929","-25.234872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","656270","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Petunia","elegans","Petunia elegans","Miers",NA,"G. G. Hatschbach","22935","1969","11","19","South America","Brazil","Paraná","Rod. do Café, Rio Capivari.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=46509' target='other'> <mi>dwc_moreinfo</mi></a>","NY00656270","NY00656270_01","Tibagi","-50.4133","-24.5094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","911269","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Petunia","ledifolia","Petunia ledifolia","Sendtn.",NA,"P. Clausen","39","1843",NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992165' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911269","NY00911269_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","911267","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Petunia","ledifolia","Petunia ledifolia","Sendtn.",NA,"L. Riedel","s.n.","1824",NA,NA,"South America","Brazil",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992158' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911267","NY00911267_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","911270","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Petunia","ledifolia","Petunia ledifolia","Sendtn.",NA,"P. Clausen","39","1843",NA,NA,"South America","Brazil",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992166' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911270","NY00911270_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","911268","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Petunia","ledifolia","Petunia ledifolia","Sendtn.","J. R. Stehmann","N. Hensold","CFCR2757","1982","01","08","South America","Brazil","Minas Gerais","Estr. p/Serra de Ouro Branco, 12 Km",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992163' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911268","NY00911268_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-03-20 11:47:26-03","MCN-PUC-MINAS","HPUC-MG","ANG1066","S","Plantae",NA,NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans",NA,NA,"M.F.Vasconcelos","14-047","2014","04","02",NA,"Brasil","Minas Gerais","Ladoa dos Ingleses","1.3","1.3",NA,"Corola rosa-arroxeada.",NA,NA,"Nova Lima","-43.95","-20.2","43º57'W","20º12'S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-01-28 13:11:34-03","MCN-PUC-MINAS","HPUC-MG","ANG1621","S","Plantae",NA,NA,"Solanaceae","Calibrachoa","elegans","Calibrachoa elegans",NA,NA,"M.F.Vasconcelos","13-364","2013","05","04",NA,"Brasil","Minas Gerais","Condomínio Villa Bella, Serra da Moeda","1.3","1.3",NA,"Corola roxa.",NA,NA,"Itabirito","-43.95","-20.25","43°57'W","20°15'S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
