"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","recordNumber","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","continentOcean"
"1","2019-08-27 13:26:34-03","IAP","PACA-AGP","1947","PreservedSpecimen","Plantae","Magnoliophyta","Liliatae","Orchidales","Orchidaceae","Eurystyles","lorenzii","Eurystyles lorenzii","(Cogn.) Schltr.","J. Dutra, Pabst","1954","09","03","C. Orth SJ","1936","09","09","Brasil","RS","São Leopoldo","Quilombo","-51.1472015380859","-29.7602996826172","10287","Confirmada por C.R. Buzatto em 04.2014. Habitat: In silva, epiphytica Fenofase: flor","PACA001947","auto",NA,NA,NA,NA,NA,NA,NA
"2","2020-10-14 10:04:04-03","FURB","FURB","17579","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Eurystyles","lorenzii","Eurystyles lorenzii","(Cogn.) Schltr.","Mancinelli, WS","2010","01","25","Schmitt, J.L.; Cristofolini, C. & Caglioni, E.","2009","11","06","Brasil","Santa Catarina","Vitor Meireles","Pratinha.","-49.8591667","-26.7294445",NA,"Epífita IFFSC e798a (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: epífita; flor branca e lilás","FURB35261",NA,"540","-49.8591667","-26.7294445","590","590","FURB35261",NA
"3","2020-10-14 10:04:04-03","FURB","FURB","31508","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Eurystyles","lorenzii","Eurystyles lorenzii","(Cogn.) Schltr.","Schmitt, JL","2010","11","03","Schmitt, J.L.; Caglioni, E.","2010","10","11","Brasil","Santa Catarina","Vitor Meireles","Pratinha.","-49.8591667","-26.7294445",NA,"Epífita IFFSC e798b (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita de arbórea; flor branca","FURB02772",NA,"3022","-49.8591667","-26.7294445","590","590","FURB02772",NA
"4","2020-10-14 10:04:04-03","FURB","FURB","9157","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Eurystyles","lorenzii","Eurystyles lorenzii","(Cogn.) Schltr.","Caetano, JO","2011","10",NA,"Gasper, A.L. de; Brogni, E. & Wolff, A.G.B.","2008","01","11","Brasil","Santa Catarina","Porto União","Bom Princípio.","-50.9380555","-26.3711111",NA,"Florística IFFSC 974. Habitat: Floresta Ombrófila Mista; Estágio Médio a Avançado (explorado) Habito: epífita; flor azulada","FURB35260",NA,"1206","-50.9380555","-26.3711111","1011","1011","FURB35260",NA
"5","2021-02-11 17:20:56-03","UFPR","UPCB","67316","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Eurystyles","lorenzii","Eurystyles lorenzii","(Cogn.) Schltr.","Mancinelli, W.S.","2009","11","15","Mancinelli, W.S.","2009","11","15","Brasil","Santa Catarina","Joinville","Morro da Tromba","-48.957778","-26.211944",NA,"Epífita, flores brancas com vermelho, ocorrente em Floresta Ombrófila Densa Montana..",NA,NA,"1062","-48.957778","-26.211944","600","600",NA,NA
"6","2021-02-11 17:20:56-03","UFPR","UPCB","67338","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Eurystyles","lorenzii","Eurystyles lorenzii","(Cogn.) Schltr.","Mancinelli, W.S.","2009","11","16","Mancinelli, W.S.","2009","11","16","Brasil","Paraná","Tibagi","Canyon do Guartelá","-50.234167","-24.582222",NA,"Epífita, flores brancas com vermelho, ocorrente em Floresta Ombrófila Mista..",NA,NA,"1064b","-50.234167","-24.582222","980","980",NA,NA
"7","2021-02-11 17:20:56-03","UFPR","UPCB","72401","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Eurystyles","lorenzii","Eurystyles lorenzii","(Cogn.) Schltr.","Mancinelli, W.S.","2010","11","02","Mancinelli, W.S.","2010","11","30","Brasil","Paraná","Tibagi","Canyon do Guartelá","-50.4136009216309","-24.5093994140625","56988","Epífita..",NA,"auto","1354",NA,NA,"750","750",NA,NA
"8","2021-01-26 14:12:44-03","CPACT","ECT","1702","PreservedSpecimen","Plantae","Embryophyta",NA,NA,"Orchidaceae","Eurystyles","lorenzii","Eurystyles lorenzii","(Cogn.) Schltr.","T.Perleberg","2008","08","23","T.Perleberg","2008","08","23","Brasil","Rio Grande do Sul","Pelotas","Distrito de Rincão da Cruz, Morro Quilongongo. Nome comum: orquídea. Altitude obida a partir dos dados de coordenadas geográficas.","-52.541667","-31.408056",NA,NA,"ECT0001702",NA,"281","52º32'30''W","31º24'29''S","223","223","ECT0001702",NA
"9","2021-01-26 14:12:44-03","CPACT","ECT","1703","PreservedSpecimen","Plantae","Embryophyta",NA,NA,"Orchidaceae","Eurystyles","lorenzii","Eurystyles lorenzii","(Cogn.) Schltr.","T.Perleberg","2008","09","28","T.Perleberg","2008","09","28","Brasil","Rio Grande do Sul","Pelotas","Distrito de Rincão da Cruz, Morro Quilongongo. Nome comum: orquídea. Altitude obida a partir dos dados de coordenadas geográficas.","-52.541667","-31.408056",NA,NA,"ECT0001703",NA,"291","52º32'30''W","31º24'29''S","223","223","ECT0001703",NA
"10","2021-01-26 14:12:44-03","CPACT","ECT","1701","PreservedSpecimen","Plantae","Embryophyta",NA,NA,"Orchidaceae","Eurystyles","lorenzii","Eurystyles lorenzii","(Cogn.) Schltr.","T.Perleberg","2008","08","20","T.Perleberg","2008","06","23","Brasil","Rio Grande do Sul","Pelotas","Distrito de Rincão da Cruz, Morro Quilongongo. Nome comum: orquídea. Altitude obida a partir dos dados de coordenadas geográficas.","-52.541667","-31.408056",NA,NA,"ECT0001701",NA,"269","52º32'30''W","31º24'29''S","223","223","ECT0001701",NA
