"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","scientificNameAuthorship","recordedBy","recordNumber","year","continentOcean","preparationType","barcode","imagecode","month","day","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber"
"1","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","3371","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","araujei","Tillandsia araujei","Sergio Gurken","Brasil","RJ","Rio de Janeiro","Grumari e Itanhangá","-43.2075004577637","-22.9027996063232","57442","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02171637","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","araujei","Tillandsia araujei",NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2321571' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Mez","J. N. Rose","s.n.","1915","South America","sheet","NY02171637","NY02171637_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","400305","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","araujei","Tillandsia araujei","L. B. Smith","Brazil","Rio de Janeiro","Rio de Janeiro","Base of Dois Irmaos","-43.2075","-22.9031",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201100' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Mez","J. N. Rose","20241","1915","South America","sheet","NY00400305","NY00400305_01","07","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01093287","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","araujei","Tillandsia araujei","C. M. Vieira","Brazil","Rio de Janeiro","Rio de Janeiro","Recreio dos Bandeirantes, Prainha, Área de Proteção Ambiental da Prainha, topo do morro da Boa Vista.","-43.2075","-22.9031",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1232258' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Mez","J. M. A. Braga","3356","1996","South America","sheet","NY01093287","NY01093287_01","06","06","350","350",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:29:40-03","UFRJ","RFA","6509","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","araujei","Tillandsia araujei","E. Pereira","Brasil","Rio de Janeiro","Rio de Janeiro","Estrada de Jacarepaguá","-43.2075004577637","-22.9027996063232","57442",NA,"Rupestre","auto","Mez","P. Occhioni; E. Pereira",NA,"1961",NA,NA,"RFA51246",NA,NA,NA,NA,NA,"1978",NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:29:40-03","UFRJ","RFA","31596","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","araujei","Tillandsia araujei","L.O.F. Souza","Brasil","Rio de Janeiro","Niterói","Itacoatiara, Pedra de itacoatiara, vertente leste da pedra","-43.1035995483398","-22.88330078125","14785",NA,"Erva, rupícola, heliófila, ca. 10 cm, folha coriácea verde-acinzentada, brácteas escapais róseas, brácteas florais rosas, flores brancas","auto","Mez","L.F.P. Ferreira; L.O.F. Souza","4","2005",NA,NA,"RFA51243",NA,"10","22",NA,NA,"2005","10","22",NA,NA,NA,NA,NA
"7","2020-06-29 11:29:40-03","UFRJ","RFA","28630","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","araujei","Tillandsia araujei","L.M. Versieux","Brasil","Rio de Janeiro","Rio de Janeiro","P.N.M. da Prainha. Morro da Boa Vista","-43.2075004577637","-22.9027996063232","57442",NA,"Erva rupícola, pendente e heliófila. Folhas verdes oliva com indumento cinéreo. Brácteas do escapo verde claras e bráctea floral rósea. Flores brancas","auto","Mez","A.M. Calvente; L.M. Versieux","83","2004",NA,NA,"RFA51242",NA,"01","29",NA,NA,"2004","01","29",NA,NA,NA,NA,NA
"8","2020-02-08 10:12:23-03","NBC","NL-BOTANY","U.1167971","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Tillandsia","araujei","Tillandsia araujei",NA,"Brazil",NA,NA,"Flora Brasiliensis, Est. Guanabara; Barra de Tijuca, at the coast ca. 10 km W. of Rio de Janeiro.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1167971 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Mez","Colaris WJJ",NA,"1969","Southern America",NA,"NL-U1167971","NL-U1167971","05","03",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"9","2021-01-14 15:26:06-03","MN","R","227940","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","araujei","Tillandsia araujei",NA,"Brasil","Rio de Janeiro",NA,NA,"-43.5358333","-23.0527778",NA,NA,NA,NA,"Mez","Couto, D.R.","3177","2014",NA,NA,"R010002166","R010002166","10","02",NA,NA,NA,NA,NA,NA,"-43,5358333","-23,0527778",NA,NA
"10","2021-01-14 15:26:06-03","MN","R","230732","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","araujei","Tillandsia araujei",NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.242778","-22.991389",NA,NA,NA,NA,"Mez","Baez, C. 300; Lima, T.; Floriano. J.; Silva, F. & Bonduki, V.",NA,"2015",NA,NA,"R010031178",NA,"11","20","491","491",NA,NA,NA,NA,"43°14'34''W","22°59'29''S",NA,NA
"11","2021-01-14 15:26:06-03","MN","R","28041","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","araujei","Tillandsia araujei",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mez",NA,NA,NA,NA,NA,"R010008142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-01-14 15:26:06-03","MN","R","197409","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","araujei","Tillandsia araujei","Smith, L.B.","Brasil","Rio de Janeiro","Niterói",NA,"-43.1035995483398","-22.88330078125","14785",NA,NA,"auto","Mez","Trece, V.G.","51","2000",NA,NA,"R010008159",NA,"01","31",NA,NA,"2000","03","27",NA,NA,NA,NA,NA
"13","2021-01-14 15:26:06-03","MN","R","192970","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","araujei","Tillandsia araujei","Moura, R.","Brasil","Rio de Janeiro","Niterói",NA,"-43.1035995483398","-22.88330078125","14785",NA,NA,"auto","Mez","Figueiredo, C.","4","1997",NA,NA,"R010008149",NA,"09","07",NA,NA,"1997","10",NA,NA,NA,NA,NA,NA
"14","2021-01-14 15:26:06-03","MN","R","193506","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","araujei","Tillandsia araujei","Smith, L.B.","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto","Mez","Santos, N. 5618; Roppa, O.A. & Cidney",NA,"1964",NA,NA,"R010008154",NA,"05","23",NA,NA,"1964",NA,NA,NA,NA,NA,NA,NA
"15","2021-01-14 15:26:06-03","MN","R","193505","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","araujei","Tillandsia araujei","Smith, L.B.","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto","Mez","Santos, N. 5629; Roppa, O.A. & Cidney",NA,"1964",NA,NA,"R010008155",NA,"05","23",NA,NA,"1964",NA,NA,NA,NA,NA,NA,NA
"16","2021-01-14 15:26:06-03","MN","R","193504","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","araujei","Tillandsia araujei","Smith, L.B.","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto","Mez","Santos, N. 5350",NA,"1965",NA,NA,"R010008156",NA,"01","15",NA,NA,"1968",NA,NA,NA,NA,NA,NA,NA
"17","2021-01-14 15:26:06-03","MN","R","193503","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","araujei","Tillandsia araujei","Smith, L.B.","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto","Mez","Santos, N. 5620; Roppa, O.A. & Cidney",NA,"1964",NA,NA,"R010008157",NA,"05","23",NA,NA,"1964",NA,NA,NA,NA,NA,NA,NA
"18","2021-01-14 15:26:06-03","MN","R","193502","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","araujei","Tillandsia araujei","Smith, L.B.","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto","Mez","Santos, N. 5619; Roppa, O.A. & Cidney",NA,"1964",NA,NA,"R010008153",NA,"05","23",NA,NA,"1964",NA,NA,NA,NA,NA,NA,NA
"19","2021-01-14 15:26:06-03","MN","R","193501","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","araujei","Tillandsia araujei","Smith, L.B.","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto","Mez","Santos, N. 5625; Roppa, O.A. & Cidney",NA,"1964",NA,NA,"R010008150",NA,"05","23",NA,NA,"1964",NA,NA,NA,NA,NA,NA,NA
"20","2021-01-14 15:26:06-03","MN","R","193500","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","araujei","Tillandsia araujei","Smith, L.B.","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto","Mez","Santos, N. 5328; Roppa, O.A. & Arimatea",NA,"1965",NA,NA,"R010008151",NA,"01","12",NA,NA,"1968",NA,NA,NA,NA,NA,NA,NA
"21","2021-01-14 15:26:06-03","MN","R","193499","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","araujei","Tillandsia araujei","Smith, L.B.","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto","Mez","Santos, N. 5626; Roppa, O.A. & Cidney",NA,"1987",NA,NA,"R010008152",NA,"05","23",NA,NA,"1964",NA,NA,NA,NA,NA,NA,NA
"22","2021-01-14 15:26:06-03","MN","R","193498","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","araujei","Tillandsia araujei","Smith, L.B.","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto","Mez","Santos, N. 5622; Roppa, O.A. & Cidney",NA,"1964",NA,NA,"R010008145",NA,"05","23",NA,NA,"1964",NA,NA,NA,NA,NA,NA,NA
"23","2021-01-14 15:26:06-03","MN","R","193497","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","araujei","Tillandsia araujei","Smith, L.B.","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto","Mez","Santos, N. 5621; Roppa, O.A. & Cidney",NA,"1964",NA,NA,"R010008146",NA,"05","23",NA,NA,"1964","09",NA,NA,NA,NA,NA,NA
"24","2021-01-14 15:26:06-03","MN","R","193496","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","araujei","Tillandsia araujei","Smith, L.B.","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto","Mez","Santos, N. 5623; Roppa, O.A. & Cidney",NA,"1964",NA,NA,"R010008140",NA,"05","23",NA,NA,"1964",NA,NA,NA,NA,NA,NA,NA
