"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","geoFlag","verbatimLongitude","verbatimLatitude","phylum","imagecode","continentOcean","class","order","fieldNumber","preparationType","individualCount","typeStatus","relatedCatalogItem"
"1","2020-06-29 11:30:14-03","UFRJ","RFA","20478","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","alchorneicarpus","Croton alchorneicarpus","Croizat","G. F. Silva","2019","05","14","P. Occhioni","9206","1980","11","17","Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, Estrada para o planalto, km 5","-44.5633010864258","-22.4960994720459","19648","1500","1500","Arvoreta de 8 m de altura, flores alvas","RFA17147","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:30:14-03","UFRJ","RFA","19800","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","alchorneicarpus","Croton alchorneicarpus","Croizat","G. F. Silva","2019","05","14","P. Occhioni","8736","1979","01","27","Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, Registro - Agulhas Negras, km 4 - 5","-44.5633010864258","-22.4960994720459","19648",NA,NA,"Arvoreta, flor verde frequente","RFA16643","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:30:14-03","UFRJ","RFA","17503","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","alchorneicarpus","Croton alchorneicarpus","Croizat","G. F. Silva","2019","05","14","P. Occhioni","8035","1977","01","17","Brasil","São Paulo","Campos do Jordão","Estrada para o Pico Itapeva","-45.5900001525879","-22.7299995422363","21048",NA,NA,"Arbusto de 3 a 4 m, flor verde frequente","RFA14575","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:30:14-03","UFRJ","RFA","42230","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","alchorneicarpus","Croton alchorneicarpus","Croizat","G. F. Silva","2019","05","14","Lucas Giovane; C. Martins; J. Figueiredo; V. Prazeres","34","2017","12","07","Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, estrada para a parte alta nos arredores do brejo da Lapa.","-44.736389","-22.359444",NA,"2153","2153","Planta arbórea 5 metros, folhas laranjas que costumam sofrer abscisão, na copa da árvore ainda é possível notar, inflorescência com flores unissexuadas, não vistosas, verdes, carnosas, árvore com frutos.","RFA36099",NA,"44º44'11''W","22º21'34''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:30:14-03","UFRJ","RFA","42262","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","alchorneicarpus","Croton alchorneicarpus","Croizat","G. F. Silva","2019","05","14","Leonardo Pacheco; L. Albuquerque; R. Martins","20","2017","12","07","Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, estrada para a parte alta nos arredores do brejo da Lapa.","-44.736389","-22.359444",NA,"2153","2153","Árvores com algumas folhas laranja e flores masculinas e flores femininas não vistosas com coloração verde.","RFA35839",NA,"44º44'11''W","22º21'34''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:30:14-03","UFRJ","RFA","18714","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","alchorneicarpus","Croton alchorneicarpus","Croizat","G. F. Silva","2019","05","14","C. Pereira","813","1977","08","12","Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459","19648","1700","1700","Pequena árvore","RFA15711","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:30:14-03","UFRJ","RFA","4281","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","alchorneicarpus","Croton alchorneicarpus","Croizat","G. F. Silva","2019","05","14","P. Occhioni","820","1947","03","05","Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia - Maromba","-44.5633010864258","-22.4960994720459","19648",NA,NA,"Árvore; flores alvas (com amostra de madeira)","RFA40633","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:30:14-03","UFRJ","RFA","18627","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","alchorneicarpus","Croton alchorneicarpus","Croizat","G. F. Silva","2019","05","14","P. Occhioni","8208","1977","05",NA,"Brasil","Rio de Janeiro","Itatiaia","Serra do Itatiaia, Parque Nacional, entrada para o Planalto","-44.5633010864258","-22.4960994720459","19648","1200","1200","Árvore pequena, flor verde","RFA15646","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:30:14-03","UFRJ","RFA","4289","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","alchorneicarpus","Croton alchorneicarpus","Croizat","G. F. Silva","2019","05","14","P. Occhioni",NA,"1958","06","07","Brasil","Rio de Janeiro","Itatiaia","Serra do Itatiaia","-44.5633010864258","-22.4960994720459","19648",NA,NA,"Árvore pequena - N° 1477","RFA25000","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-01-20 14:40:27-03","UPM","MACK","1468","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","alchorneicarpus","Croton alchorneicarpus","Croizat.","V. G. A. Furtado","2018","04","20","M. Fascina","M83","2012","01","26","Brasil","SP","Campos do Jordão",NA,"-45.5900001525879","-22.7299995422363","21048",NA,NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
