"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","locality","phylum","order","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","class","dayIdentified","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:41-03","UNESC","CRI","2968","PreservedSpecimen","Plantae","Melastomataceae","Cambessedesia","hilariana","Cambessedesia hilariana","(Kunth) DC.","E. Pereira","E. Pereira","1955","05","25","Brasil","Minas Gerais","Diamantina","-43.600556","-18.25","43º36'2''W","18º14'60''S","1232","1232","CRI004041","CRI004041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:32-03","E","E","196623","PreservedSpecimen","Plantae","Melastomataceae","Cambessedesia","hilariana","Cambessedesia hilariana",NA,NA,"Martius",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00196623",NA,"917","E. Tropical South America","herbarium specimen of unspecif","BGBASE:227978","<a href=http://data.rbge.org.uk/herb/E00196623 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:32-03","E","E","313198","PreservedSpecimen","Plantae","Melastomataceae","Cambessedesia","hilariana","Cambessedesia hilariana",NA,NA,"Harley, R.M.; Giulietti, A.M.;Nic Lughadha, E; Freire Fierro, A.","1992","01","10","BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00313198",NA,"50709","E. Tropical South America","herbarium specimen of unspecif","BGBASE:316487","<a href=http://data.rbge.org.uk/herb/E00313198 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:32-03","E","E","196622","PreservedSpecimen","Plantae","Melastomataceae","Cambessedesia","hilariana","Cambessedesia hilariana",NA,NA,"Gardner, George",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00196622",NA,"4588","E. Tropical South America","herbarium specimen of unspecif","BGBASE:227977","<a href=http://data.rbge.org.uk/herb/E00196622 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Minas Geraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:32-03","E","E","84482","PreservedSpecimen","Plantae","Melastomataceae","Cambessedesia","hilariana","Cambessedesia hilariana",NA,NA,"Munhoz, C.","1995","03","28","BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00084482",NA,"234","E. Tropical South America","herbarium specimen of unspecif","BGBASE:93674","<a href=http://data.rbge.org.uk/herb/E00084482 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:32-03","E","E","283758","PreservedSpecimen","Plantae","Melastomataceae","Cambessedesia","hilariana","Cambessedesia hilariana",NA,NA,"Hatschbach, Gert Gunther","1988","05","15","BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00283758",NA,"52057","E. Tropical South America","herbarium specimen of unspecif","BGBASE:295073","<a href=http://data.rbge.org.uk/herb/E00283758 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:41:32-03","E","E","69089","PreservedSpecimen","Plantae","Melastomataceae","Cambessedesia","hilariana","Cambessedesia hilariana",NA,NA,"Harley, R.M., Bromley, G.L., de Carvalho, A.M. & Martinelli, G.","1980","03","22","BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00069089",NA,"20742","E. Tropical South America","herbarium specimen of unspecif","BGBASE:76926","<a href=http://data.rbge.org.uk/herb/E00069089 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:41:32-03","E","E","196621","PreservedSpecimen","Plantae","Melastomataceae","Cambessedesia","hilariana","Cambessedesia hilariana",NA,NA,"Pohl",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00196621",NA,"1218","E. Tropical South America","herbarium specimen of unspecif","BGBASE:227975","<a href=http://data.rbge.org.uk/herb/E00196621 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:41:32-03","E","E","196619","PreservedSpecimen","Plantae","Melastomataceae","Cambessedesia","setacea","Cambessedesia setacea",NA,NA,"Gardner, George",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00196619",NA,"2847","E. Tropical South America","herbarium specimen of unspecif","BGBASE:227966","<a href=http://data.rbge.org.uk/herb/E00196619 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Piauhy, Goyaz, &c.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1523247","PreservedSpecimen","Plantae","Melastomataceae","Cambessedesia","hilariana","Cambessedesia hilariana","(Kunth) DC.","J. J. Wurdack","H. S. Irwin","1968","02","14","Brazil","Minas Gerais",NA,"-43.4","-18.87",NA,NA,"1200","1200","NY01523247","NY01523247_01","20028","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1792350' target='other'> <mi>dwc_moreinfo</mi></a>","Serra do Cipó, ca. km 120 (ca. 145km N of Belo Horizonte).","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","02104214","PreservedSpecimen","Plantae","Melastomataceae","Cambessedesia","hilariana","Cambessedesia hilariana","(Kunth) DC.","F. A. Michelangeli","M. Verdi","2014","02","11","Brazil","Minas Gerais","Diamantina","-43.7628","-18.2842",NA,NA,"1243",NA,"NY02104214","NY02104214_01","6824","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2630487' target='other'> <mi>dwc_moreinfo</mi></a>","Galheiros. Lajeado.","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","03147518","PreservedSpecimen","Plantae","Melastomataceae","Cambessedesia","hilariana","Cambessedesia hilariana","(Kunth) DC.",NA,"F. C. A. Oliveira","1997","11","11","Brazil","Bahia",NA,"-45.5606","-11.1086",NA,NA,"525","525","NY03147518",NA,"918","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3388442' target='other'> <mi>dwc_moreinfo</mi></a>","Formosa do Rio Preto. Fazenda Estrondo. Ca. de 14 Km da ponte do rio Riachao em direcao a Sede da fazenda.","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
