"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","class","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","346058","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Ditassa","magisteriana","Ditassa magisteriana","Rapini","isotype","A. Rapini","597","1999","03","13","South America","Brazil","Minas Gerais","Santana do Riacho","Estrada para Lapinha. encosta oeste da Serra dfeo Cipó","-43.7","-19.07","1090","1090","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=493533' target='other'> <mi>dwc_moreinfo</mi></a>","NY00346058","NY00346058_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 10:59:57-03","ESALQ","ESA","97938","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Apocynaceae","Minaria","magisteriana","Minaria magisteriana",NA,NA,"Souza, V.C.; Zappi, D.C.; Hind, D.J.N.; Paula-Souza, J.; Jennings, L.; Romão, G.O.; Rando, J.G.; Ferreira, M.A.P.; Miranda, E.","32836.0","2007","02","19",NA,"Brasil","Minas Gerais","Santana do Pirapama.","Serra do Cipó (Serra da Lapa). Distrito de São José da Cachoeira. Trilha da Senhorinha. Campo rupestre.","-437.498","-189.422","1300","1300",NA,"Erva, flores alvas","ESA097938",NA,"Rapini, A.","2008","-437,498","-189,422",NA,NA,NA,NA
"3","2021-03-31 13:35:12-03","MN","R","217228","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Minaria","magisteriana","Minaria magisteriana","(Rapini) T.U.P. Konno & Rapini",NA,"Konno, T.U.P. 851; Sousa, G.M.",NA,"2002","03","15",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,NA,"-19.237222",NA,NA,NA,NA,"R010019492",NA,NA,NA,"43°W","19°14'14''S",NA,NA,NA,NA
"4","2020-12-21 16:12:28-03","MBM","MBM","243721","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","magisteriana","Ditassa magisteriana","Rapini","ISOTYPE","Rapini, A.; Pirani, J.R.; Forzza, R.C.; Marcato, A.C.; Assis, M.C.; Pirani, J.R.; Forzza, R.C.; Marcato, A.C.; Assis, M.C.","597","1998","03","04","Southern America","Brazil","Minas Gerais","Santana do Riacho","Estrada Santana do Riacho-Lapinha, encosta oeste da Serra do Cipó","-43.7","-19.066667","1090","1090",NA,"Subarbusto entre rochas. Flores alvas.; Subarbusto. Flores alvas; Entre rochas.","MBM243721","MBM243721","Rapini, A.","1999","-43.7","-19.066667",NA,NA,NA,NA
"5","2020-12-11 11:31:45-03","UFMG","BHCB","52345","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Ditassa","magisteriana","Ditassa magisteriana","Rapini","Isotypus","Rapini, A; Pirani, JR; Forzza, RC; Marcato, AR; Assis, MC","597","1998","03","04","Southern America","Brasil","Minas Gerais","Santana do Riacho","Estrada Santana do Riacho-Lapinha, encosta oeste da Serra do Cipó","-43.7","-19.066667","1090","1090",NA,"Subarbusto. Flores alvas.; Entre rochas","BHCB000032","BHCB000032",NA,"2002","-43.7","-19.066667",NA,NA,NA,NA
"6","2011-12-23 04:58:00-02","MO","MOBOT","2611579","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","magisteriana","Ditassa magisteriana","Rapini","Isotype","Alessandro Rapini|José R. Pirani|Rafaela C. Forzza|A.C. Marcato|M.C. Assis","Rapini 597","1998","3","4","South America","Brazil","Minas Gerais",NA,"Santana do Riacho, estrada Santana do Riacho-Lapinha, encosta oeste da Serra do Cipó","-43.7","-19.06666","1090.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:07-03","FZB-BH","BHZB","8935","S","Plantae",NA,NA,"Apocynaceae","Minaria","magisteriana","Minaria magisteriana",NA,NA,"Ordones, J. et al.","1855","2012","04","17",NA,"Brasil","MG","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo dos Gerais","-43.704722","-19.025","1223","1223",NA,"Ponto 88, 636319 7895899 1223m., Duplicata doada para Herb. HUEFS. Doação de duplicata para o Herbário COR Dezembro 2015",NA,NA,"Rapini, A.","2012","43W 42' 17","19S 01' 30","10",NA,NA,NA
"8","2021-03-23 11:51:25-03","USP","SPF","128232","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","magisteriana","Ditassa magisteriana","Rapini","holotype","Rapini, A; Pirani, JR; Forzza, RC; Marcato, AC; Assis, MC","597","1998","03","04",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, estrada Santana do Riacho-Lapinha, encosta oeste da Serra do Cipó.","-43.7","-19.066667","1090","1090",NA,"Subarbusto entre rochas. Flores alvas.","SPF00128232","SPF00128232","Rapini, A","1999","-43.7","-19.066667","12",NA,NA,NA
"9","2019-10-07 09:13:37-03","UEFS","HUEFS","162755","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Minaria","magisteriana","Minaria magisteriana","(Rapini) T.U.P.Konno & Rapini",NA,"Ribeiro, P.L.","262","2008","01","26",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó. Estrada a esquerda da Lapinha, antiga estrada para Congonhas, caminho para o Rio das Pedras.","-43.706944","-19.066667","1205","1205",NA,"Campo rupestre.","HUEFS0162755","HUEFS0162755","A.Rapini","2010","43W42'25''","19S4'0''","11","Asteranae",NA,NA
"10","2019-10-07 09:13:37-03","UEFS","HUEFS","162775","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Minaria","magisteriana","Minaria magisteriana","(Rapini) T.U.P.Konno & Rapini",NA,"Ribeiro, P.L.","282","2008","01","29",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, estrada à esquerda da lapinha, caminho para o Rio de Pedras.","-43.706944","-19.066667","1205","1205",NA,"Campo rupestre.","HUEFS0162775","HUEFS0162775","A.Rapini","2010","43W42'25''","19S4'0''","11","Asteranae",NA,NA
