"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","375031","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke","W. A. Ducke","W. A. Ducke","8-","1951","05","08","South America","Brazil","Pernambuco","Recife","Recife. Estrada para Aldeia","-34.992434","-7.975468","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=80744' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375031","NY00375031_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00859677","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke",NA,"L. Riedel","s.n.","1821",NA,NA,"South America","Brazil",NA,NA,"Iter Brasiliensis",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=960771' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859677","NY00859677_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","375029","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke","T. D. Pennington","W. A. Ducke","8","1951","05","08","South America","Brazil","Pernambuco","Recife","Margem do inicio da estrada de Aldeia","-34.8808","-8.0542","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=80742' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375029","NY00375029_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00859676","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke",NA,"L. Riedel","404","1821",NA,NA,"South America","Brazil",NA,NA,"Iter Brasiliensis",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=960765' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859676","NY00859676_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","375030","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke","W. A. Ducke","D. de Andrade-Lima","50-613","1950","07","24","South America","Brazil","Pernambuco","Sao Lourenço da Mata","Camarajibe. Marg. estr. Aldeia","-34.992434","-7.975468","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=80743' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-02-15 11:50:21-02","IPA","IPA","2462","S","Plantae","Plantae",NA,"Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke",NA,"Andrade-Lima","52-980","1852","02","15","Southern America","Brasil","Pernambuco","Camaragibe","Margem da estrada de Aldeia.","-34.9810981750488","-8.0216703414917",NA,"Árvore pequena. Frutos.","IPA0002462",NA,"11122","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-02-15 11:50:21-02","IPA","IPA","1824","S","Plantae","Plantae",NA,"Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke","Ducke, A.","Andrade-Lima","50-613","1950","07","24","Southern America","Brasil","Pernambuco","Camaragibe","margem estrada de Aldeia.","-34.9810981750488","-8.0216703414917",NA,"Árvore pequena; flores creme-clara. Folha nova com tomento no verso.","IPA0001824","IPA0001824","11122","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-02-15 11:50:21-02","IPA","IPA","2336","S","Plantae","Plantae",NA,"Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke",NA,"Ducke, A.; Andrade-Lima; Andrade-Lima","8","1951","10","08","Southern America","Brasil","Pernambuco",NA,"margem do início da estrada de Aldeia.",NA,NA,NA,"Árvore pequena na capoeira. Flor creme-claro.","IPA0002336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-02-15 11:50:21-02","IPA","IPA","86468","S","Plantae","Plantae",NA,"Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke","Almeida Jr.; E.B.","Pessoa, L.M.; Pinheiro, T.S.; Chagas, M.A.; Pinheiro, T.S.; Chagas, M.A.","904","2009","10","23","Southern America","Brasil","Pernambuco","Paulista","Estação Ecológica de Caetés","-34.122222","-7.970833",NA,"Árvore ca de 10m; botões e em plena floração; frutos imaturos.; Vegetação Arbórea-arbustiva, Mata Atlântica. Interior da área; freqüente.","IPA0086468",NA,NA,NA,"2009","03","03","-34.122222","-7.970833",NA,NA,NA
"10","2019-11-19 14:09:24-03","UFRPE","PEUFR","1079","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke","E. B. Almeida-Júnior","D.A. Lima","980","1952","02","15",NA,"Brasil","Pernambuco",NA,NA,NA,NA,NA,"Árvore pequena; frutos.","PEUFR001079",NA,NA,NA,"2008","07","14",NA,NA,NA,NA,NA
"11","2019-11-19 14:09:24-03","UFRPE","PEUFR","32275","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke","E. B. Almeida-Júnior","M.F.A. Lucena","899","2000","03","01",NA,"Brasil","Pernambuco","Barreiros","Mata da Gia","-35.1864013671875","-8.81832981109619",NA,"Arvoreta ca. 4m de altura; botões florais ferrugíneos; frequente.","PEUFR032275",NA,"24696","auto","2008","05","15",NA,NA,NA,NA,NA
"12","2019-11-19 14:09:24-03","UFRPE","PEUFR","28665","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke","E. B. Almeida-Júnior","M.F.A. Lucena; V. Santos; R. Oliveira; F. Melo","673","1998","09","29",NA,"Brasil","Pernambuco","Barreiros","Mata do Porto","-35.1864013671875","-8.81832981109619",NA,"Árvore ca. 6m de altura; caule com látex branco; folhas cartáceas com brilho aparente; ocasional.","PEUFR028665",NA,"24696","auto","2008","07","14",NA,NA,NA,NA,NA
"13","2019-06-27 10:26:50-03","UFES","VIES","36060","S","Plantae",NA,NA,"Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke",NA,"Alves-Araújo, A.; Pontes, T.","1047","2008","09","03",NA,"Brasil","Pernambuco","Igarassu","Mata da Zambana, borda do gasoduto. Usina São José. Mata Atlântica.","-34.9063987731934","-7.83416986465454",NA,NA,"VIES036060","VIES036060","24709","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:44:48-03","MBM","MBM","237047","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke","Pennington, T.D.","Hatschbach, G.; Hatschbach, M.; Motta, J.T.; Hatschbach, M.; Motta, J.T.","63165",NA,NA,NA,"Southern America","Brazil","Bahia","Jandaíra","Rodovia Linha Verde, 10-20km de Abadia","-37.7844009399414","-11.5642004013062",NA,NA,"MBM237047","MBM237047","49056","auto",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-24 17:19:21-03","UFMA","MAR","8452","S","Plantae",NA,NA,"Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke",NA,"ALMEIDA JR., E. B.","831","2007","07","14",NA,"Brasil","Pernambuco","Barreiros","Mata do Duval","-35.146389","-8.809722",NA,"Nome Popular: Massaranduba. Árvore com ~ 7m de alt.; látex branco; em floração",NA,NA,NA,NA,NA,NA,NA,"35º08'47W","08º48'35S",NA,NA,NA
"16","2021-03-24 17:19:21-03","UFMA","MAR","7276","S","Plantae",NA,NA,"Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke",NA,"ALMEIDA JR., E. B.","830","2007","07","14",NA,"Brasil","Pernambuco","Barreiros","Mata da Gia","-35.186389","-8.818333",NA,"Árvore de 6,5m, látex, em plena floração com flores brancas, botões ferrugineos, borda da mata, solo argiloso",NA,NA,NA,NA,NA,NA,NA,"35º11'11W","08º49'06S",NA,NA,NA
"17","2021-03-24 17:19:21-03","UFMA","MAR","6844","S","Plantae",NA,NA,"Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke",NA,"E.B. Almeida Jr.; Soares, Jr. R.C. e Pessoa, L.M.","857","2008","05","14",NA,"Brasil","Pernambuco","Barreiros","Mata da Gia","-35.146389","-8.809722",NA,"Árvore de 8m de alt., em botão de cor ferruginea, tronco fino, látex branco, folhas quando maduras e pilosa quando jovem",NA,NA,NA,NA,NA,NA,NA,"35º08'47W","08º48'35S",NA,NA,NA
"18","2021-03-24 17:19:21-03","UFMA","MAR","8453","S","Plantae",NA,NA,"Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke",NA,"ALMEIDA JR., E. B.","832","2007","07","14",NA,"Brasil","Pernambuco","Barreiros","Mata do Duval","-35.146389","-8.809722",NA,"Árvore com ~ 5m de alt.; látex branco; em floração",NA,NA,NA,NA,NA,NA,NA,"35º08'47W","08º48'35S",NA,NA,NA
"19","2021-03-24 17:19:21-03","UFMA","MAR","7267","S","Plantae",NA,NA,"Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke",NA,"ALMEIDA JR., E. B.","833","2007","07","14",NA,"Brasil","Pernambuco","Barreiros","Mata da Gia","-35.186389","-8.818333",NA,"Árvore de 10m de alt., em botão, látex abundante",NA,NA,NA,NA,NA,NA,NA,"35º11'11W","08º49'06S",NA,NA,NA
"20","2021-03-24 17:19:21-03","UFMA","MAR","6842","S","Plantae",NA,NA,"Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke",NA,"E.B. Almeida Jr. e Soares, Jr. R.C.",NA,"2008","05","14",NA,"Brasil","Pernambuco","Barreiros","Mata da Gia","-35.146389","-8.809722",NA,"Árvore de 4m de altura, folhas com pêlos ferrugineos, látex branco, folhas maduras quase glabras",NA,NA,NA,NA,NA,NA,NA,"35º08'47W","08º48'35S",NA,NA,NA
"21","2021-03-24 17:19:21-03","UFMA","MAR","7547","S","Plantae",NA,NA,"Sapotaceae","Manilkara","dardanoi","Manilkara dardanoi","Ducke",NA,"Almeida Jr, E. B.de; Soares Jr,R. C.; Pessoa , L. M.","857","2008","05","14",NA,"Brasil","Pernambuco","Barreiros","Mata da Guia","-35.146389","-8.809722",NA,"Árvore de 8m de alt., botão cor de ferrugínea, tronco fino, látex branco.folhas glabras quando maduras e pilosa quando jovem.",NA,NA,NA,NA,NA,NA,NA,"35º08'47W","08º48'35S",NA,NA,NA
