"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","class","relatedCatalogItem","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount"
"1","2020-09-23 10:37:42-03","E","E","83129","PreservedSpecimen","Plantae","Compositae","Gochnatia","sordida","Gochnatia sordida","Ribas, O.S. & da Luz, M.F.","1567","1996","10","28","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:91689","<a href=http://data.rbge.org.uk/herb/E00083129 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","797762","PreservedSpecimen","Plantae","Asteraceae","Gochnatia","sordida","Gochnatia sordida","G. G. Hatschbach","24118","1970","04","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=33435' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797762","Magnoliophyta","Asterales","(Less.) Cabrera","G. G. Hatschbach","Paraná","Arapoti","Rio das Perdizes","-49.8267","-24.1581","NY00797762_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","797763","PreservedSpecimen","Plantae","Asteraceae","Gochnatia","sordida","Gochnatia sordida","G. G. Hatschbach","13045","1965","10","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=33437' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797763","Magnoliophyta","Asterales","(Less.) Cabrera","J. F. Pruski","Paraná","Palmeira","Rod. do Café, Rio Tibagi","-49.891776","-25.299294","NY00797763_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","797764","PreservedSpecimen","Plantae","Asteraceae","Gochnatia","sordida","Gochnatia sordida","F. C. Hoehne","23430","1928","11","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=33436' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797764","Magnoliophyta","Asterales","(Less.) Cabrera","J. F. Pruski","Paraná","Jaguariaíva","Jaguariahyva","-49.713647","-24.340602","NY00797764_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:19:03-03","UFRJ","RFA","9710","PreservedSpecimen","Plantae","Asteraceae","Gochnatia","sordida","Gochnatia sordida","G.G. Hatschbach","19690","1968","09","12",NA,"Brasil",NA,NA,"Arbusto 2m, capítulos creme. Habito: Arbusto","RFA28816",NA,NA,"(Less.) Cabrera","A.L. Cabrera","Paraná","Balsa Nova","Barra Rio Papagaios.","-49.6356010437012","-25.5839004516602",NA,"27346","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-24 17:10:29-03","UTFPR","DVPR","3033","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","sordidum","Moquiniastrum sordidum","Siqueira, EL; et al.","744","2013","09","21",NA,"Brasil",NA,NA,"Arbusto heliófito, ca. 1,6m, capítulos de cor creme.; Relevo: ondulado. Vegetação estepe (Campos Gerais).","DVPR003033","Magnoliophyta",NA,"(Less.) G. Sancho","Barboza, E","Paraná","Tibagi","Guartelá, Sítio São Sebastião, Propriedade da Sra. Júlia","-50.4136009216309","-24.5093994140625",NA,"56988","auto","2014","01",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:24:51-03","PUCPR","HUCP","15588","S","Plantae","Asteraceae","Gochnatia","sordida","Gochnatia sordida","Potrich, FB","011","2003","10","16",NA,"Brasil",NA,NA,NA,"HUCP00007659","Eudicotiledonea",NA,"(Less.) Cabrera.","Potrich, FB","Paraná","Curitiba",NA,"-49.2731018066406","-25.4277992248535","HUCP00007659","25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:24:51-03","PUCPR","HUCP","20038","S","Plantae","Asteraceae","Moquiniastrum","sordidum","Moquiniastrum sordidum","Selusniaki, M; Beltrami, L","1960","2007","12","09",NA,"Brasil",NA,NA,NA,"HUCP00007610","Eudicotiledonea",NA,"(Less.) G.Sancho","Selusniaki, M","Paraná","Balsa Nova",NA,"-49.6356010437012","-25.5839004516602","HUCP00007610","27346","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-10-27 11:21:59-03","PUCPR","HUCP","6615","S","Plantae","Asteraceae","Moquiniastrum","sordidum","Moquiniastrum sordidum","Marino, F; Tassi, VMM","004","1984","09","02",NA,"Brasil",NA,NA,NA,"HUCP00007662","Eudicotiledonea",NA,"(Less.) G.Sancho","Acra, LA","Paraná","Curitiba","Barreirinha, Parque Barreirinha.","-49.2731018066406","-25.4277992248535","HUCP00007662","25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-04 15:24:51-03","PUCPR","HUCP","13090","S","Plantae","Asteraceae","Moquiniastrum","sordidum","Moquiniastrum sordidum","Francisco, EM","014","1999","02","09",NA,"Brasil",NA,NA,"Nº 24433.","HUCP00007607","Eudicotiledonea",NA,"(Less.) G.Sancho","Nakajima, JN","Paraná","Ventania","Sítio do Pinheiro","-50.2428016662598","-24.2458000183105","HUCP00007607","32424","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
