"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","relatedCatalogItem","dayIdentified","eventTime","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","886386","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calycorectes","teixeireanus","Calycorectes teixeireanus","Mattos","A. Giaretta","isotype","W. Hoehne","5759","1964","07","13","South America","Brazil","Rio de Janeiro","Rio de Janeiro, Barra da Tijuca.","-43.369099","-22.995332","sheet","Protologue gives the date as 13-VIII-1964, while the label on the specimen reads 13 / VII / 1964. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022784' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886386","NY00886386_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","405346","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Mitranthes","langsdorffii","Mitranthes langsdorffii","O.Berg",NA,"isotype","J. S. Blanchet","2309",NA,NA,NA,"South America","Brazil","Bahia",NA,"-39.039072","-15.159747","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=605306' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405346","NY00405346_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","886385","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Neomitranthes","langsdorffii","Neomitranthes langsdorffii","(O.Berg) Mattos",NA,NA,"A. P. Duarte","6058","1961","08","29","South America","Brazil","Bahia","Entre Ajuda e Porto Seguro.","-39.0717334","-16.4673861","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022782' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886385","NY00886385_01","Porto Seguro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","886387","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Neomitranthes","langsdorfii","Neomitranthes langsdorfii","(Berg) Mattos",NA,NA,"J. Fontella","429","1970","09","10","South America","Brazil","Rio de Janeiro","Pedra de Itauna a uns 50 m da base da Pedra.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022787' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886387","NY00886387_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:46:06-03","EAO","IAN","120605","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Neomitranthes","langsdorffii","Neomitranthes langsdorffii","(O.Berg) Mattos","Giaretta, A",NA,"Belém, RP; Pinheiro, RS","2684","1966","09","28","Southern America","Brasil","Bahia","Rod. BR-5, S. de Eunápolis, 16km. Plantação de cacau.",NA,NA,NA,"Árvore de 5cm. x 10cm; flores brancas, cálice verde.","IAN120605",NA,NA,"2015","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:46:06-03","EAO","IAN","137013","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Neomitranthes","langsdorffii","Neomitranthes langsdorffii","(O.Berg) Mattos","Giaretta, A",NA,"Belém, RP; Pinheiro, RS","2684","1966","09","28","Southern America","Brasil","Bahia","Rod. BR-5, S. de Eunápolis, 16km. Plantação de cacau.",NA,NA,NA,"Árvore de 5cm. x 10cm; flores brancas, cálice verde.","IAN137013",NA,NA,"2015","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:21:41-03","UFBA","ALCB","131407","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Neomitranthes","langsdorffii","Neomitranthes langsdorffii","(O.Berg) Mattos Silva","Sobral, M",NA,"Giaretta, A; Menezes, LFT; Souza, MC; Ribeiro, M","991","2011","11","03","Southern America","Brasil","Espírito Santo",NA,"-39.741667","-19.433333",NA,"ca 2,5 m de atura, botões vináceos, frutos negros e vinosos.; Floresta de restinga seca sonre cordões arenosos coalescentes.","ALCB048168","ALCB048168","Degredo",NA,NA,"-39.741667","-19.433333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:21:41-03","UFBA","ALCB","112169","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Neomitranthes","langsdorffii","Neomitranthes langsdorffii","(O.Berg) Mattos Silva","Giaretta, A",NA,"Ogasawara, HA; Siqueira, GB; Araújo, T; Daneu, I","241","2012","09","26","Southern America","Brasil","Bahia","Parque Nacional Pau-Brasil, estrada Eunapolis - Arraial d'Ajuda.","-49.283889","-16.467222",NA,"ca. 2 m alt. Folhas discolores, botões creme esverdeados, cálice verde.","ALCB060521",NA,"Porto Seguro","2017","02","-49.283889","-16.467222","99","99",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:21:41-03","UFBA","ALCB","136810","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Neomitranthes","langsdorffii","Neomitranthes langsdorffii","(O.Berg) Mattos Silva","Souza, MC",NA,"Dias, HM; Santos, JA; Machado, UN; Serafim, UJAS; Jesus, JBG de","297","2007","10","09","Southern America","Brasil","Bahia","Extremo Sul da Bahia. Ilha do Cassurubá, na região conhecida como telhas. Próximo à região de Barra Velha, distrito de Nova Viçosa. &nf;Região com pequenos sítios de população ribeirinha tradicional. àrea com impactos locais de agricultura de subsist","-39.286667","-17.824444",NA,"4,0 metros de altura, com botões esverdeados abundantes. Folhas simples, opostas. Comum na área.; Com degradação da mata por corte. Na borda de um fragmento de mata. Solo arenoso.","ALCB066787","ALCB066787","Caravelas","2011","07","-39.286667","-17.824444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:21:41-03","UFBA","ALCB","131463","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Neomitranthes","langsdorffii","Neomitranthes langsdorffii","(O.Berg) Mattos Silva","Sobral, M",NA,"Farney, C; Kurtz, BC; Lobão, AQ; Gomes. J.C.","4036","2000","03","29","Southern America","Brasil","Rio de Janeiro","Jaconé de Sambaqui de Jaconé.","-42.5102996826172","-22.9200000762939",NA,"ca 5m de altura, folhas verdes, discolores, flores em botões esverdeados, flores abertas com corola alva, frutos imaturos verdes, frutos maduros vinosos, levemente adocicados.; Restinga arbustiva-arbórea","ALCB048173","ALCB048173","Saquarema","2005",NA,NA,NA,NA,NA,"17036","auto",NA,NA,NA,NA,NA,NA
