"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","phylum","order","individualCount","continentOcean","preparationType","previousCatalogNumber","infraspecificEpithet","typeStatus","class","relatedCatalogItem","fieldNumber"
"1","2021-04-05 14:33:23-03","UNESC","CRI","10236","PreservedSpecimen","Plantae","Celastraceae","Maytenus","gonoclada","Maytenus gonoclada","Mart.","M. Gropp","M. G. Caxambu","1016","2006","02","11","Brasil","Santa Catarina","Bombinhas","Praia de Mariscal.","-48.517222","-27.138611","48º31'2''W","27º8'19''S","20","20","Formação Pioneira com Influência Marinha (restinga) Habitat: restinga alterada Habito: árvore","CRI006468","CRI006468",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:07-03","UNESC","CRI","12710","PreservedSpecimen","Plantae","Celastraceae","Maytenus","gonoclada","Maytenus gonoclada","Mart.","Renato Colares & Aline V. Guislon","Alexandre Medeiros",NA,"2017","06","11","Brasil","Santa Catarina","Balneário Camboriú","Taquarinhas.","-48.6347007751465","-26.9906005859375",NA,NA,"3","3","Coleta 475. Fruto Castanho. Habito: Arbustivo","CRI010924",NA,"2017","09","18","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:23-03","UNESC","CRI","6503","PreservedSpecimen","Plantae","Celastraceae","Maytenus","robusta","Maytenus robusta","Reissek","Ademir Reis","V. Citadini-Zanette; Ademir Reis",NA,"1999","10","29","Brasil","Santa Catarina","Ilhota","Parque Bot. do Morro do Baú.","-48.8275","-26.900278","48º49'39''W","26º54'1''S","11","11","Habitat: beira da mata Habito: árvore","CRI006449","CRI006449","1999","10","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:07-03","UNESC","CRI","3003","PreservedSpecimen","Plantae","Celastraceae","Maytenus","robusta","Maytenus robusta","Reissek","Rita M. Carvalho Okano","Raquel Rejane Bonatto Negrelle","292","1992","07","31","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.65","-26.15","48º39'W","26º9'S","5","5",NA,"CRI006454","CRI006454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:07-03","UNESC","CRI","3002","PreservedSpecimen","Plantae","Celastraceae","Maytenus","robusta","Maytenus robusta","Reissek","Rita M. Carvalho Okano","Raquel Rejane Bonatto Negrelle","215","1992","05","15","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.65","-26.15","48º39'W","26º9'S","5","5",NA,"CRI006450","CRI006450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:07-03","UNESC","CRI","3004","PreservedSpecimen","Plantae","Celastraceae","Maytenus","robusta","Maytenus robusta","Reissek","Rita M. Carvalho Okano","Raquel Rejane Bonatto Negrelle; Jorge","489","1992","10","16","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.65","-26.15","48º39'W","26º9'S","5","5",NA,"CRI006453","CRI006453",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:23-03","UNESC","CRI","6506","PreservedSpecimen","Plantae","Celastraceae","Maytenus","robusta","Maytenus robusta","Reissek","Ademir Reis","Vanilde Citadini Zanette; Ademir Reis",NA,"1999","10","29","Brasil","Santa Catarina","Ilhota","Parque Bot. do Morro do Baú.","-48.8275","-26.900278","48º49'39''W","26º54'1''S","11","11",NA,"CRI006452","CRI006452","1999","10","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:07-03","UNESC","CRI","902","PreservedSpecimen","Plantae","Celastraceae","Maytenus","robusta","Maytenus robusta","Reissek","Marcos Sobral","Robson dos Santos","246","1996","02","17","Brasil","Santa Catarina","Governador Celso Ramos",NA,"-48.559444","-27.315278","48º33'34''W","27º18'55''S",NA,NA,"Habitat: restinga","CRI006460","CRI006460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:07-03","UNESC","CRI","10284","PreservedSpecimen","Plantae","Celastraceae","Maytenus","robusta","Maytenus robusta","Reissek","M. Sobral","Vanilde C. Zanette; Robson dos Santos & Marcos Sobral",NA,"2004","11","17","Brasil","Santa Catarina","Criciúma","UNESC.","-49.37","-28.678056","49º22'12''W","28º40'41''S","48","48",NA,"CRI006457","CRI006457","2004","11","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:23-03","UNESC","CRI","5449","PreservedSpecimen","Plantae","Celastraceae","Maytenus","robusta","Maytenus robusta","Reissek","Marcos Sobral","Robson dos Santos","243","1996","02","17","Brasil","Santa Catarina","Governador Celso Ramos",NA,"-48.559444","-27.315278","48º33'34''W","27º18'55''S","24","24","Habitat: restinga","CRI006448","CRI006448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
