"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","typeStatus","recordNumber","continentOcean","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag"
"1","2021-04-05 14:24:53-03","UNESC","CRI","12253","PreservedSpecimen","Plantae","Asteraceae","Aldama","santacatarinensis","Aldama santacatarinensis","(H.Rob. & A.J.Moore) E.E.Schill. & Panero","Guilherme Alves Elias & Peterson Teodoro Padilha","2017","03","30","Guilherme Alves Elias; Peterson Teodoro Padilha","2017","03","23","Brasil","Santa Catarina","Timbé do Sul","Paredão da Serra da Rocinha antes da pavimentação.","-49.9275","-28.811667","49º55'39''W","28º48'42''S","CRI010437","CRI010437",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:09:44-03","UFBA","ALCB","82754","PreservedSpecimen","Plantae","Asteraceae","Aldama","santacatarinensis","Aldama santacatarinensis","(H.Rob.A.J.Moore) E.E.Schill. & Panero","Alves, M","2019","03",NA,"Hatschbach, G; Hatschbach, M; Silva, JM","1993","04","15","Brasil","Santa Catarina","Praia Grande","Serra do Faxinal","-49.9502983093262","-29.1966991424561",NA,NA,"ALCB063100","ALCB063100","Dicotyledon","isótipo","59135","Southern America","21549","1200","1200","1 m. Capítulo amarelo.","auto"
"3","2021-04-07 11:41:16-03","UFMS","CGMS","49163","PreservedSpecimen","Plantae","Asteraceae","Aldama","santacatarinensis","Aldama santacatarinensis","(H.Rob. & A.J.Moore) E.E.Schill. & Panero",NA,"2020",NA,NA,"G. Hatschbach; E. Barbosa; E.F. Costa","2005","03","16","Brasil","Santa Catarina","Lauro Muller","Serra do Rio do Rastro.","-49.3967018127441","-28.3927993774414",NA,NA,"CGMS1079106",NA,NA,NA,"79208",NA,"15992","1200","1200","Capítulo amarelo. Habitat: Base do paredão rochoso. Habito: Arbusto. 1,80m de altura.","auto"
"4","2020-12-21 16:14:03-03","MBM","MBM","399247","PreservedSpecimen","Plantae","Asteraceae","Aldama","santacatarinensis","Aldama santacatarinensis","(H. Rob. & A.J. Moore) E.E. Schill. & Panero","Barboza, E.","2015","07","20","Savarais, M.","2015","03","06","Brazil","Santa Catarina","Praia Grande","Estrada do Faxinal","-50.017694","-29.182778","-50.017694","-29.182778","MBM399247","MBM399247",NA,NA,"625","Southern America",NA,"919","919",NA,NA
"5","2020-12-21 16:14:03-03","MBM","MBM","389487","PreservedSpecimen","Plantae","Asteraceae","Aldama","santacatarinensis","Aldama santacatarinensis","(H. Rob. & A.J. Moore) E.E. Schill. & Panero","Cordeiro, J.; Felitto, G.","2013","04",NA,"Felitto, G.; Larocca, P.; Larocca, P.","2013","03","31","Brazil","Santa Catarina","Lauro Müller",NA,"-49.3967018127441","-28.3927993774414",NA,NA,"MBM389487","MBM389487",NA,NA,"551","Southern America","15992",NA,NA,"Subarbusto, 80cm; flores do disco amarelas e flores do raio marrons.; Afloramento rochoso.","auto"
"6","2021-01-26 14:12:08-03","CPACT","ECT","5810","PreservedSpecimen","Plantae","Asteraceae","Aldama","santacatarinensis","Aldama santacatarinensis","(H.Rob. & A.J.Moore) E.E.Schill. & Panero","G.Heiden","2015","02","02","G.Heiden; J.R.V.Iganci | S.Bernardson | H.Nomoto","2015","02","02","Brasil","Rio Grande do Sul","São José dos Ausentes","Serra da Rocinha. BR 285, próximo da divisa entre São José dos Ausentes/RS e Timbé do Sul/SC. Campo de altitude subtropical (campos de cima da serra), afloramento basáltico.","-49.953056","-28.799722","49º57'11''W","28º47'59''S","ECT0005810","ECT0005810","Embryophyta",NA,"2276",NA,NA,"1213","1213",NA,NA
"7","2019-11-13 16:04:27-03","UNISANTA","HUSC","11857","PreservedSpecimen","Plantae","Asteraceae","Aldama","santacatarinensis","Aldama santacatarinensis","(H.Rob. & A.J.Moore) E.E.Schill. & Panero","M.Magenta; J.R. Pirani","2016",NA,NA,"M. Vergara","2003","01","29","Brasil","Rio Grande do Sul",NA,"Rio do Boi.",NA,NA,NA,NA,NA,NA,"Magnoliophyta",NA,"s.n.",NA,NA,NA,NA,"Na margem do Rio do Boi. Entre os seixos. Capítulos amarelos.",NA
"8","2019-05-06 11:52:27-03","UFU","HUFU","48773","S","Plantae","Asteraceae","Aldama","santacatarinensis","Aldama santacatarinensis","(H. Rob. & A.J.Moore) E.E. Schill. & Panero","Nakajima, J.N.","2016","03",NA,"Hatschbach, G.; Hatschbach, M.","1993","04","15","Brasil","Santa Catarina","Praia Grande","Serra do Faxinal","-49.9502983093262","-29.1966991424561",NA,NA,"HUFU00042420","HUFU00042420",NA,NA,"59135",NA,"21549","1200","1200","Arbusto, 1m, capítulo amarelo. Paredão rochoso.","auto"
"9","2019-11-21 09:59:46-03","IBt","SP","341411","S","Plantae","Asteraceae","Aldama","santacatarinensis","Aldama santacatarinensis","(H.Rob. & A.J.Moore) E.E.Schill. & Panero","Simão Bianchini, R","2015","04","23","Hashimoto, G","1987","04","19","Brasil","Santa Catarina","Bom Jardim da Serra","Serra do Rio do Rastro.","-49.624698638916","-28.3369007110596",NA,NA,"SP032112","SP032112",NA,NA,"20980",NA,"32577","1400","1400",NA,"auto"
"10","2019-11-21 09:59:46-03","IBt","SP","355217","S","Plantae","Asteraceae","Aldama","santacatarinensis","Aldama santacatarinensis","(H.Rob. & A.J.Moore) E.E.Schill. & Panero","Simão Bianchini, R","2015","04","23","Sobral, M; Costa, CB","2000","03",NA,"Brasil","Santa Catarina","Timbé do Sul",NA,"-49.8471984863281","-28.8302993774414",NA,NA,"SP032111","SP032111",NA,NA,"8944",NA,"15081",NA,NA,NA,"auto"
