"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","typeStatus","infraspecificEpithet","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-04-05 14:25:32-03","UNESC","CRI","14447","PreservedSpecimen","Plantae","Melastomataceae","Miconia","valtheri","Miconia valtheri","Naudin","Oliveira, AA de","2010","09","30","Stival-Santos, A.; Legal, E.; Meyer, D. & Silveira, S.","2752","2010","05","19","Brasil","Santa Catarina","Águas Mornas","Vargem Grande. Vargem Grande.","-48.871389","-27.718889","48º52'17''W","27º43'8''S","250","250","Florística IFFSC 285 (Arbórea) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: arbórea; Fruto roxo;","CRI013544","CRI013544",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:32-03","UNESC","CRI","3367","PreservedSpecimen","Plantae","Melastomataceae","Miconia","valtheri","Miconia valtheri","Naudin","Maria Leonor de Souza D#?#el Rey",NA,NA,NA,"Vanilde Citadini-Zanette; Clair Maria Martinello & A. A. Mohamadd","1963","1993","05","13","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","Habitat: mata atlântica secundária de encosta Habito: arbusto a arvoreta","CRI004237","CRI004237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:41-03","UNESC","CRI","14944","PreservedSpecimen","Plantae","Melastomataceae","Miconia","valtheri","Miconia valtheri","Naudin","Oliveira, AA de","2010","04","30","Stival-Santos, A.; Legal, E. & Silveira, S.","2223","2010","03","30","Brasil","Santa Catarina","Botuverá","Reserva Biológica Canela Preta. Reserva Biológica Canela Preta.","-49.14","-27.27","49º8'24''W","27º16'12''S","639","639","Florística IFFSC 467 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Avançado; entorno do fragmento, beira de estrada Habito: arbusto; Fruto verde;","CRI014278","CRI014278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:32-03","UNESC","CRI","3206","PreservedSpecimen","Plantae","Melastomataceae","Miconia","valtheri","Miconia valtheri","Naudin","Maria Leonor de Souza D#?#el Rey",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Robson dos Santos","1790","1993","01","15","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","Habitat: interior de mata atlântica secundária de encosta Habito: árvore","CRI004445","CRI004445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:32-03","UNESC","CRI","11514","PreservedSpecimen","Plantae","Melastomataceae","Miconia","valtheri","Miconia valtheri","Naudin","A. A. de Oliveira","2010","04","26","A. Stival-Santos; E. Legal & S. Silveira","2119","2010","03","17","Brasil","Santa Catarina","São José","Forquilhas.","-48.689444","-27.540278","48º41'22''W","27º32'25''S","135","135","Floresta Ombrófila Densa Habito: arbustiva","CRI004240","CRI004240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:32-03","UNESC","CRI","3363","PreservedSpecimen","Plantae","Melastomataceae","Miconia","valtheri","Miconia valtheri","Naudin",NA,NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1959","1996","04","22","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","Habitat: mata atlântica secundária de encosta Habito: arbusto a arvoreta","CRI004239","CRI004239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:32-03","UNESC","CRI","13368","PreservedSpecimen","Plantae","Melastomataceae","Miconia","valtheri","Miconia valtheri","Naudin","Aline Votri Guislon & Renato Colares","2017","07","05","Aline Votri Guislon & Renato Colares",NA,"2017","07","05","Brasil","Santa Catarina","Orleans","Parque Estadual da Serra Furada","-49.389722","-28.191389","49º23'23''W","28º11'29''S","514","514","Habitat: Terrestre Habito: Arbóreo","CRI011975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:41-03","UNESC","CRI","14941","PreservedSpecimen","Plantae","Melastomataceae","Miconia","valtheri","Miconia valtheri","Naudin","Oliveira, AA de","2010","03","25","Dreveck, S.; Carneiro, F.E.","1604","2010","01","26","Brasil","Santa Catarina","Jaraguá do Sul","Garibaldi. Garibaldi.","-49.175833","-26.552222","49º10'33''W","26º33'8''S","180","180","Florística IFFSC 907 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: arbustiva; flor botão floral marrom","CRI014276","CRI014276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:32-03","UNESC","CRI","14049","PreservedSpecimen","Plantae","Melastomataceae","Miconia","valtheri","Miconia valtheri","Naudin","Valdemar Boff","1995","11","29","Valdemar Boff",NA,"1995","11","29","Brasil","Santa Catarina","Jacinto Machado",NA,"-49.763599395752","-28.9974994659424",NA,NA,NA,NA,"Habitat: Terrestre Habito: Arbóreo","CRI012699",NA,"23999","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:32-03","UNESC","CRI","14447","PreservedSpecimen","Plantae","Melastomataceae","Miconia","valtheri","Miconia valtheri","Naudin","Oliveira, AA de","2010","09","30","Stival-Santos, A.; Legal, E.; Meyer, D. & Silveira, S.","2752","2010","05","19","Brasil","Santa Catarina","Águas Mornas","Vargem Grande. Vargem Grande.","-48.871389","-27.718889","48º52'17''W","27º43'8''S","250","250","Florística IFFSC 285 (Arbórea) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: arbórea; Fruto roxo;","CRI013544","CRI013544",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:25:32-03","UNESC","CRI","3367","PreservedSpecimen","Plantae","Melastomataceae","Miconia","valtheri","Miconia valtheri","Naudin","Maria Leonor de Souza D#?#el Rey",NA,NA,NA,"Vanilde Citadini-Zanette; Clair Maria Martinello & A. A. Mohamadd","1963","1993","05","13","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","Habitat: mata atlântica secundária de encosta Habito: arbusto a arvoreta","CRI004237","CRI004237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:33:41-03","UNESC","CRI","14944","PreservedSpecimen","Plantae","Melastomataceae","Miconia","valtheri","Miconia valtheri","Naudin","Oliveira, AA de","2010","04","30","Stival-Santos, A.; Legal, E. & Silveira, S.","2223","2010","03","30","Brasil","Santa Catarina","Botuverá","Reserva Biológica Canela Preta. Reserva Biológica Canela Preta.","-49.14","-27.27","49º8'24''W","27º16'12''S","639","639","Florística IFFSC 467 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Avançado; entorno do fragmento, beira de estrada Habito: arbusto; Fruto verde;","CRI014278","CRI014278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:25:32-03","UNESC","CRI","3206","PreservedSpecimen","Plantae","Melastomataceae","Miconia","valtheri","Miconia valtheri","Naudin","Maria Leonor de Souza D#?#el Rey",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Robson dos Santos","1790","1993","01","15","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","Habitat: interior de mata atlântica secundária de encosta Habito: árvore","CRI004445","CRI004445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:25:32-03","UNESC","CRI","11514","PreservedSpecimen","Plantae","Melastomataceae","Miconia","valtheri","Miconia valtheri","Naudin","A. A. de Oliveira","2010","04","26","A. Stival-Santos; E. Legal & S. Silveira","2119","2010","03","17","Brasil","Santa Catarina","São José","Forquilhas.","-48.689444","-27.540278","48º41'22''W","27º32'25''S","135","135","Floresta Ombrófila Densa Habito: arbustiva","CRI004240","CRI004240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:25:32-03","UNESC","CRI","3363","PreservedSpecimen","Plantae","Melastomataceae","Miconia","valtheri","Miconia valtheri","Naudin",NA,NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1959","1996","04","22","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","Habitat: mata atlântica secundária de encosta Habito: arbusto a arvoreta","CRI004239","CRI004239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-05 14:25:32-03","UNESC","CRI","13368","PreservedSpecimen","Plantae","Melastomataceae","Miconia","valtheri","Miconia valtheri","Naudin","Aline Votri Guislon & Renato Colares","2017","07","05","Aline Votri Guislon & Renato Colares",NA,"2017","07","05","Brasil","Santa Catarina","Orleans","Parque Estadual da Serra Furada","-49.389722","-28.191389","49º23'23''W","28º11'29''S","514","514","Habitat: Terrestre Habito: Arbóreo","CRI011975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-05 14:33:41-03","UNESC","CRI","14941","PreservedSpecimen","Plantae","Melastomataceae","Miconia","valtheri","Miconia valtheri","Naudin","Oliveira, AA de","2010","03","25","Dreveck, S.; Carneiro, F.E.","1604","2010","01","26","Brasil","Santa Catarina","Jaraguá do Sul","Garibaldi. Garibaldi.","-49.175833","-26.552222","49º10'33''W","26º33'8''S","180","180","Florística IFFSC 907 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: arbustiva; flor botão floral marrom","CRI014276","CRI014276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-04-05 14:25:32-03","UNESC","CRI","14049","PreservedSpecimen","Plantae","Melastomataceae","Miconia","valtheri","Miconia valtheri","Naudin","Valdemar Boff","1995","11","29","Valdemar Boff",NA,"1995","11","29","Brasil","Santa Catarina","Jacinto Machado",NA,"-49.763599395752","-28.9974994659424",NA,NA,NA,NA,"Habitat: Terrestre Habito: Arbóreo","CRI012699",NA,"23999","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
