"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag"
"1","2016-09-29 21:50:00-03","NY","NYBG","00917694","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Calliandra","carrascana","Calliandra carrascana","R. C. Barneby","J. A. Lombardi","1707","1997","05","23","South America","Brazil","Minas Gerais","Januária","Distrito de Fabiao, 2 km na estrada partindo do abrigo do Malhador","-44.2547","-15.12","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997821' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917694","NY00917694_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","76934","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Calliandra","carrascana","Calliandra carrascana",NA,"J. A. Lombardi","1656","1997","05","23","South America","Brazil","Minas Gerais",NA,"Januária-MG, distrito de Fabiao, 2 kkm na estrada partindo do abrigo do Malhador","-44.2528","-15.1308","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=528664' target='other'> <mi>dwc_moreinfo</mi></a>","NY00076934","NY00076934_01","Barneby","isotype",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00917670","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Calliandra","carrascana","Calliandra carrascana","R. C. Barneby","A. Salino","3068","1997","05","24","South America","Brazil","Minas Gerais",NA,"Januária, Vale do Rio Peruaçu. A caminho do Abrigo dos Bichos","-44.2547","-15.12","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997812' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917670","NY00917670_01","Barneby",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-20 21:17:09-03","UFV","VIC","34700","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Calliandra","carrascana","Calliandra carrascana","Fernandes, J.M.","Forzza, R.C.; et al.","4045","2005","07","14",NA,"Brasil","Minas Gerais","Januária","Estrada Serra das Araras - Januária, 19 Km do trevo Serra das Araras - Januária. Mata seca sobre o sumidouro do Rio Pardo de Minas, afloramento calcário.","-45.236944","-15.495833",NA,"Arvoreta, c.a. de 2,0 metros de altura, frequente. Flores com cálice verde; corola verde clara e levemente rosada, estames alvos.","VIC034700","VIC034700","Barneby",NA,"2010","11","03","-45.236944","-15.495833",NA,NA
"5","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0017804","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Calliandra","carrascana","Calliandra carrascana","R. Barneby","G. Hatschbach","48350","1984","9","19",NA,"Brazil","Bahia",NA,"Capão da Volta (Mun. Ibiquara).","-41.473709","-13.50655",NA,"Twiggy bush, 1.0m tall, target stamens, pink apex.",NA,NA,"Barneby",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:36:09-03","UFJF","CESJ","32359","PreservedSpecimen","Plantae","Angiosperma",NA,"Fabaceae","Calliandra","carrascana","Calliandra carrascana",NA,"J.A. Lombardi; A. Salino","1707","1997","05","23","América do Sul","Brasil","Minas Gerais","Januária","Distrito de Fabião, 2km na estrada partindo do abrigo Malhador 15º07'85S 44º15'17W","-44.3616981506348","-15.4881000518799",NA,"Mata decídua, carrasco. Arvoreta, ca 3m. Frutos imaturos verdes","CESJ032359",NA,"Barneby",NA,NA,NA,NA,NA,NA,"148972","auto"
"7","2020-12-11 11:35:41-03","UFMG","BHCB","37138","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Calliandra","carrascana","Calliandra carrascana",NA,"Lombardi, JA; Salino, A","1656","1997","05","23","Southern America","Brasil","Minas Gerais","Januária","Distrito de Fabião, 2km na estrada partindo do abrigo do Malhador","-44.254722","-15.140278",NA,"Arbusto, ca. 2.5m. Filetes brancos.; Em carrasco","BHCB000129","BHCB000129 BHCB000129_01","Barneby","Holotypus","1998",NA,NA,"-44.254722","-15.140278",NA,NA
"8","2020-12-11 11:35:41-03","UFMG","BHCB","37189","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Calliandra","carrascana","Calliandra carrascana",NA,NA,"s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Januária","Distrito de Fabião.","-44.3616981506348","-15.4881000518799",NA,NA,NA,NA,"Barneby",NA,NA,NA,NA,NA,NA,"148972","auto"
"9","2020-12-11 11:35:41-03","UFMG","BHCB","37071","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Calliandra","carrascana","Calliandra carrascana",NA,"Salino, A","3068","1997","05","24","Southern America","Brasil","Minas Gerais","Januária","Vale do Rio Peruaçu., A caminho do Abrigo dos Bichos.","-44.3616981506348","-15.4881000518799",NA,"Typus; Arbusto ca. de 2 m, frutos imaturos verdes.","BHCB008883",NA,"Barneby",NA,NA,NA,NA,NA,NA,"148972","auto"
"10","2019-07-11 08:30:59-03","ICAUFMG","MCCA","2662","S","Plantae",NA,NA,"Leguminosae","Calliandra","carrascana","Calliandra carrascana",NA,"SILVEIRA, J.E",NA,"2018","11","11",NA,"Brasil","Minas Gerais","Bonito de Minas",NA,"-44.7543983459473","-15.3233003616333",NA,NA,"MCCA02787","MCCA02787","Barneby",NA,NA,NA,NA,NA,NA,"95199","auto"
"11","2019-07-11 08:30:59-03","ICAUFMG","MCCA","2664","S","Plantae",NA,NA,"Leguminosae","Calliandra","carrascana","Calliandra carrascana",NA,"SILVEIRA, J.E",NA,"2018","12","18",NA,"Brasil","Minas Gerais","Bonito de Minas",NA,"-44.7543983459473","-15.3233003616333",NA,NA,"MCCA02789","MCCA02789","Barneby",NA,NA,NA,NA,NA,NA,"95199","auto"
"12","2019-12-13 08:11:38-03","ICAUFMG","MCCA","2991","S","Plantae",NA,NA,"Leguminosae","Calliandra","carrascana","Calliandra carrascana","SILVEIRA, J.E.","SILVEIRA, J.E",NA,"2018","12","18",NA,"Brasil","Minas Gerais","Bonito de Minas","APA Pandeiros","-44.7543983459473","-15.3233003616333",NA,NA,"MCCA03117","MCCA03117","Barneby",NA,"2019","04","02",NA,NA,"95199","auto"
"13","2019-11-13 11:21:39-03","USP","SPF","141109","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Calliandra","carrascana","Calliandra carrascana","Barneby, RC","Lombardi, JA","1707","1997","05","23",NA,"Brasil","Minas Gerais","Januária",NA,"-44.254722","-15.132778",NA,NA,"SPF00141109",NA,"Barneby",NA,"1998",NA,NA,"-44.254722","-15.132778",NA,NA
"14","2020-07-23 12:14:09-03","CEPLAC","CEPEC","105528","PreservedSpecimen","Plantae",NA,NA,"Mimosaceae","Calliandra","carrascana","Calliandra carrascana","R. C. Barneby","G. Hatschbach","48350","1984","09","19",NA,"Brasil","Bahia","IBICOARA","Capão da Volta.","-41.2846984863281","-13.4105997085571",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34188","auto"
"15","2020-11-12 16:59:18-03","UEL","FUEL","33165","PreservedSpecimen","Plantae","Tracheophyta","Fabales","Leguminosae","Calliandra","carrascana","Calliandra carrascana","Barneby, R","Lombardi, JA; Salino, A","1656","1997","05","23",NA,"Brasil","Minas Gerais","Januária","Distrito de Fabião","-44.3616981506348","-15.4881000518799",NA,NA,"FUEL033165",NA,"Barneby","isotype","1998",NA,NA,NA,NA,"148972","auto"
"16","2020-11-12 16:59:18-03","UEL","FUEL","33164","PreservedSpecimen","Plantae","Tracheophyta","Fabales","Leguminosae","Calliandra","carrascana","Calliandra carrascana",NA,"Salino, A","3068","1997","05","24",NA,"Brasil","Minas Gerais","Januária","Vale do rio Peruaçu","-44.3616981506348","-15.4881000518799",NA,NA,"FUEL033164",NA,"Barneby","paratype","1998",NA,NA,NA,NA,"148972","auto"
