"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","barcode","continentOcean","class","order","minimumElevationInMeters","individualCount","imagecode","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","occurrenceRemarks"
"1","2019-12-04 15:26:26-03","PUCPR","HUCP","5515","S","Plantae","Monocotiledonea","Bromeliaceae","Vriesea","biguassuensis","Vriesea biguassuensis","Reitz.","Tardivo, RC","077","1992","02","13","Brasil","Paraná","Guaraqueçaba","Ilha do Rabelo","-48.3288993835449","-25.3066997528076","37295","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-07 08:35:08-03","MN","R","232921","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","biguassuensis","Vriesea biguassuensis","Reitz","Gomes-da-Silva, J.","38",NA,NA,NA,"Brasil","Santa Catarina",NA,NA,NA,NA,NA,NA,"R010043423",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2018-06-22 05:25:00-03","MO","MOBOT","2454080","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","biguassuensis","Vriesea biguassuensis","Reitz","Pe. Raulino Reitz","Reitz 4134a",NA,NA,NA,"Brazil","Santa Catarina",NA,"Biguaçu. Fachinal",NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","2958459","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","biguassuensis","Vriesea biguassuensis","Reitz","-. Seidel","943","1983","5",NA,"Brazil","Rio de Janeiro","Três Rios",NA,"-43.2092018127441","-22.11669921875","24903","auto","US01914348","South America - Neotropics","Monocotyledonae","Bromeliales","40","1","US01914348_01",NA,NA,NA,NA,NA,NA,NA
"5","2020-08-20 14:58:52-03","UFSC","FLOR","45954","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","biguassuensis","Vriesea biguassuensis","Reitz","Martinelli, G.; Barreto, S.; Barbará, T. & Azoury, R.","14973","1998","05","20","Brasil","Santa Catarina","Campo Alegre","Subida para os campos do Iquirirí, matas na margem do Rio Negro.","-49.048889","-26.01",NA,NA,"FLOR0045954",NA,NA,"Poales","800",NA,NA,"Martinelli, G.","1998","09","49º2'56''W","26º0'36''S","800","epífita. Ciófila, epífita, crecendo na parte baixa dos troncos, folhas concolores; bainha verde clara; infl. com escapo verde, brácteas escapais verde levemente amareladas; raque amarelo; flores com brácteas florais amarelas, as d"
