"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","typeStatus","maximumElevationInMeters","identifiedBy","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","1477590","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","quartzophila","Tibouchina quartzophila","Brade","A. C. Brade","19767[= herb. RB 67103]","1949","05","06","South America","Brazil","Espírito Santo","Cachoeiro de Itapemirim","Vargem Alta; Morro de Sal","-41.018318","-20.669524","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1833757' target='other'> <mi>dwc_moreinfo</mi></a>","NY01477590","NY01477590_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2423187","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","quartzophila","Tibouchina quartzophila","Brade","R. Goldenberg","2132","2015","04","29","South America","Brazil","Espírito Santo","Vargem Alta","Morro de Sal, estrada para Pedra Azul, 500 m a N de Vargem Alta.","-41.0069007873535","-20.6714000701904",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685470' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423187","NY02423187_01","27188","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","245800","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","quartzophila","Tibouchina quartzophila","Brade","A. C. Brade","19767","1949","06","06","South America","Brazil","Espírito Santo","Cachoeiro de Itapemirim","Vargem Alta: Morro de Sal","-41.018318","-20.669524","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=132379' target='other'> <mi>dwc_moreinfo</mi></a>","NY00245800","NY00245800_01",NA,NA,"isotype","600",NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-02-02 14:38:33-02","BGBM","B","B 10 0465927","S","Plantae",NA,NA,"Melastomataceae","Tibouchina","quartzophila","Tibouchina quartzophila","Brade","A. C. Brade","19767","1949","05","06","Middle and South America","Brazil",NA,NA,"Est. Esp. Santo. Vargem Alta: Morro de Sal. Mun. Cachoeiro do Itapemirim.",NA,NA,"600",NA,"<a href=http://herbarium.bgbm.org/object/B100465927 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100465927","B100465927",NA,NA,"isotype","600",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-25 09:28:14-03","UNICAMP","UEC","206247","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Tibouchina","quartzophila","Tibouchina quartzophila","Brade","Goldenberg, R; Filgueiras, TS; Rodrigues, R","2132","2015","04","29",NA,"Brazil","Espírito Santo","Vargem Alta","Morro de Sal. Estrada para Pedra Azul, 500m a N de Vargem Alta.","-41.586964","-21.141411",NA,NA,"Arbusto escandente, sobre areia quartzosa grossa, à meia-sombra. Flores com hipanto verde (sombra) ou vinoso (exposto ao sol), pétalas brancas, estames com filetes brancos, conectivo com apêndice esverdeado e anteras lilases-claras;","UEC164992",NA,NA,NA,NA,NA,"Goldenberg, R","2015","-41.586964","-21.141411",NA,NA,NA,NA
"6","2020-12-21 16:35:14-03","MBM","MBM","374479","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","quartzophila","Tibouchina quartzophila","Brade","Brade, A.C.","19767","1949","05","06","Southern America","Brazil","Espírito Santo","Cachoeiro de Itapemirim","Vargem Alta, Morro de Sal","-41.1128005981445","-20.8488998413086","600",NA,"Arbusto 1-1,5m. Flores alvas.","MBM374479","MBM374479","35694","auto","ISOTYPE","600",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-11 17:20:23-03","UFPR","UPCB","83340","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","quartzophila","Tibouchina quartzophila","Brade","Goldenberg, R.","2132","2015","04","29",NA,"Brasil","Espírito Santo","Vargem Alta","Morro de Sal, estrada para Pedra Azul, 500m a N de Vargem Alta.","-41.0069007873535","-20.6714000701904",NA,NA,"Arbusto escandente, sobre areia quartzosa gross, à meia-sombra. Flores com hipanto verde (sombra) ou vinoso (exposto ao sol), pétalas brancas, estames com filetes brancos, conectivo com apêndice esverdeado e anteras lilases-claras; e","UPCB0023332","UPCB0023332 UPCB0023332_1","27188","auto",NA,NA,"Goldenberg, R.","2015",NA,NA,NA,NA,NA,NA
"8","2021-02-11 17:20:23-03","UFPR","UPCB","84942","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","quartzophilla","Tibouchina quartzophilla","Brade","Kollmann, L. et al.","11595","2009","04","25",NA,"Brasil","Espírito Santo","Vargem Alta","Fazenda Morro Branco","-40.989167","-20.666389",NA,NA,"Arbusto 4m ao sol, solo de quartzo, flores brancas, caule marrom-avermelhado..","UPCB0023298","UPCB0023298",NA,NA,NA,NA,"Kollmann, L.","2009","-40.989167","-20.666389","04","26",NA,NA
"9","2020-07-27 12:50:00-03","MO","MOBOT","101209710","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Pleroma","quartzophilum","Pleroma quartzophilum","(Brade) P.J.F. Guim. & Michelang.","Alexander C. Brade","Brade 19767","1949","5","6","South America","Brazil","Espírito Santo","Cachoeiro de Itapemirim","Vargem Alta. Morro do Sal","-41.1128005981445","-20.8488998413086","600.00000000",NA,NA,NA,NA,"35694","auto","Holotype",NA,"fide Guimarães et al.",NA,NA,NA,NA,NA,"1",NA
"10","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","37327",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","quartzophila","Tibouchina quartzophila","Brade","L. Kollmann; A.P. Fontana, C. Esgario & E.Leme","11595","2009","04","25",NA,"Brasil","Espírito Santo","Vargem Alta","morro de quartz, Faz. Morro Branco","-40.989167","-20.666389","650",NA,"Arbusto 4 m ao sol, solo de quartz, flore brancas, caule marrom avermelhado.","MBML037327","MBML037327_1 MBML037327_2",NA,NA,NA,"650","L. Kollmann/26-4-2009",NA,"40W59'21","20S39'59",NA,NA,NA,NA
