"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","778551","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","nitida","Peperomia nitida","Dahlst.","R. Callejas Posada","R. Callejas Posada","1833","1983","11","30","South America","Brazil","Paraná","Guaraqueçaba","Rio de Cedro, rodovia Antonina-Guaraqueçaba.","-48.53","-25.17","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795570' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778551","NY00778551_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","559493","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","nitida","Peperomia nitida","Dahlst.",NA,"A. P. Duarte","155","1910","09",NA,"South America","Brazil","São Paulo",NA,"Margens do Atibaia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=172107' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559493","NY00559493_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00956977","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","nitida","Peperomia nitida","Dahlst.","R. Callejas Posada","R. Callejas Posada","1912","1983","12","13","South America","Brazil","Mato Grosso do Sul","Amambaí","15 km. antes de Amambaí.","-55.17","-23","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084082' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956977","NY00956977_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","559498","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","nitida","Peperomia nitida","Dahlst.",NA,"R. E. Braga","114","1959","10","29","South America","Brazil","Paraná",NA,"Rio Ivai",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=172108' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559498","NY00559498_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","559496","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","nitida","Peperomia nitida","Dahlst.","R. Callejas Posada","G. G. Hatschbach","42574","1979","11","22","South America","Brazil","Paraná","Cerro Azul","Rio Bom Sucesso","-49.2608","-24.8236","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=172102' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559496","NY00559496_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 14:02:00-03","NY","NYBG","559501","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","nitida","Peperomia nitida",NA,NA,"F. Biganzoli","411","1998","09","29","South America","Argentina","Misiones","San Ignacio","Parque Provincial Teyú Cuaré. Alrededores de la casa de Le Noble",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=172110' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","559497","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","nitida","Peperomia nitida","Dahlst.",NA,"G. G. Hatschbach","7422","1960","10","05","South America","Brazil","Paraná","Cerro Azul","Ribeirao de Veado","-49.2608","-24.8236","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=172106' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559497","NY00559497_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","559499","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","nitida","Peperomia nitida","Dahlst.","R. Callejas Posada","B. Rambo","49831","1951","02","06","South America","Brazil","Santa Catarina","Itapiranga","Itapiranga","-53.7119","-27.1694","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=172104' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559499","NY00559499_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1731540","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","nitida","Peperomia nitida","Dahlst.",NA,"C. W. Mosén","3985","1875","07","30","South America","Brazil","São Paulo",NA,"Campinas","-47.039738","-22.887661","photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1945724' target='other'> <mi>dwc_moreinfo</mi></a>","NY01731540","NY01731540_01","Image of Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00559500","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","nitida","Peperomia nitida","Dahlst.",NA,"R. Callejas Posada","1916","1983","12","14","South America","Brazil","Mato Grosso do Sul","Amambai","20 km NO de Amambai, sobre la estrada Amambai-Ponta Porá. Rio Amambai. Bosque de Galeria","-55.55","-22.75","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=172109' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559500","NY00559500_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
